time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
225.42,3.65,-0.19,1.56,0.76,0.21,0.56,0.23,0.44,-0.39,0,0,0,0,1,0,401,470,114,493,1
225.52,3.20,-0.15,1.10,0.76,0.21,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,400,471,114,492,1
225.63,3.59,0.21,1.22,0.75,0.21,0.56,0.23,0.44,-0.40,0,0,0,0,0,0,400,471,114,492,1
225.74,3.46,0.46,1.25,0.75,0.21,0.56,0.23,0.45,-0.38,0,0,0,0,0,0,400,470,114,490,1
225.84,3.95,0.17,1.37,0.76,0.21,0.55,0.23,0.44,-0.39,0,0,0,0,0,0,399,470,114,491,1
225.95,3.39,-0.03,1.48,0.76,0.20,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,400,471,114,493,1
226.05,4.09,-0.31,1.48,0.76,0.21,0.56,0.23,0.45,-0.39,0,0,0,0,0,0,400,472,113,493,1
226.16,4.59,-0.31,1.91,0.75,0.21,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,399,471,114,492,1
226.26,2.99,0.17,1.33,0.75,0.20,0.57,0.23,0.44,-0.39,0,0,0,0,0,0,399,471,114,492,1
226.37,3.62,0.31,1.25,0.75,0.20,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,399,471,114,492,1
226.47,3.12,0.17,1.25,0.75,0.21,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,399,471,114,492,1
226.58,3.44,0.04,1.26,0.75,0.21,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,398,472,113,492,1
226.68,3.24,0.25,1.26,0.76,0.21,0.56,0.23,0.44,-0.39,0,1,0,0,0,0,399,471,114,491,1
226.79,3.61,-0.03,1.31,0.76,0.21,0.56,0.23,0.44,-0.40,0,0,0,0,0,0,399,470,115,492,1
226.90,3.46,-0.07,1.37,0.75,0.20,0.57,0.23,0.44,-0.39,0,0,0,0,0,0,401,472,118,494,1
227.00,3.79,0.13,0.84,0.75,0.21,0.56,0.24,0.44,-0.38,0,0,0,0,0,0,403,472,120,494,1
227.11,3.61,-0.14,1.18,0.75,0.20,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,409,472,122,494,1
227.21,3.16,-0.04,0.89,0.75,0.21,0.56,0.23,0.44,-0.39,0,0,0,0,0,0,413,472,123,495,1
