S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
6,4,10,15,19,0,5,1,7,11,19,12,0,2,4,1,9,9,6,35,16,5,42,11,0,43,1,1.553673267,0.642886758,0.741419911,1.656766057,0.411917001,0.548654675,1.364251494,0.186519474,0.540113807,1.378963232,0.306947976,0.682089746,11_Sep_2023_14_04
2,5,7,15,19,0,7,0,9,5,21,8,0,3,9,1,9,11,4,35,21,1,45,12,1,45,1,1.553673267,0.642886758,0.741419911,1.656766057,0.411917001,0.548654675,1.364251494,0.186519474,0.540113807,1.378963232,0.306947976,0.682089746,11_Sep_2023_14_04
7,4,13,14,19,8,8,1,8,7,19,9,1,2,4,2,9,15,4,41,16,3,45,10,1,41,0,1.553671002,0.642888308,0.741410315,1.656757355,0.411908001,0.548642993,1.364240646,0.186542541,0.540145516,1.378985047,0.306916773,0.682088077,11_Sep_2023_14_04
5,5,9,17,17,0,8,0,10,9,19,11,1,2,6,6,6,12,7,35,17,5,42,11,9,41,0,1.553671002,0.642888308,0.741410315,1.656757355,0.411908001,0.548642993,1.364240646,0.186542541,0.540145516,1.378985047,0.306916773,0.682088077,11_Sep_2023_14_04
3,6,13,17,18,0,8,0,8,8,21,9,1,0,8,3,10,15,10,38,13,2,45,11,0,43,0,1.553726196,0.642902911,0.741520762,1.656721234,0.411903322,0.54864198,1.364199519,0.186535627,0.540186942,1.379009962,0.30687964,0.682071984,11_Sep_2023_14_04
5,3,10,18,21,0,5,8,9,9,21,8,0,1,6,9,5,7,5,37,19,4,46,11,0,44,0,1.553726196,0.642902911,0.741520762,1.656721234,0.411903322,0.54864198,1.364199519,0.186535627,0.540186942,1.379009962,0.30687964,0.682071984,11_Sep_2023_14_04
6,7,10,19,17,4,8,1,9,7,17,8,1,1,5,6,13,9,5,35,17,11,44,7,0,44,0,1.553689957,0.642902076,0.741443157,1.656758189,0.411880702,0.548657954,1.364205122,0.186537072,0.540193379,1.378967762,0.306898504,0.682109892,11_Sep_2023_14_04
5,6,10,17,12,0,9,11,10,4,19,8,1,3,10,7,14,15,4,34,16,0,42,9,1,40,0,1.553689957,0.642902076,0.741443157,1.656758189,0.411880702,0.548657954,1.364205122,0.186537072,0.540193379,1.378967762,0.306898504,0.682109892,11_Sep_2023_14_04
1,7,10,17,20,0,9,0,10,11,19,10,0,2,6,7,8,13,9,33,17,2,42,10,0,44,0,1.55373323,0.642909646,0.741515815,1.656708837,0.411874056,0.548642039,1.36414814,0.186530873,0.540245414,1.378987551,0.306865424,0.682116747,11_Sep_2023_14_04
5,5,11,16,13,0,10,8,9,7,20,7,2,3,5,7,8,12,8,35,21,1,43,11,1,44,1,1.55373323,0.642909646,0.741515815,1.656708837,0.411874056,0.548642039,1.36414814,0.186530873,0.540245414,1.378987551,0.306865424,0.682116747,11_Sep_2023_14_04
