S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M3x,M3y,M3z,M1x,M1y,M1z,M4x,M4y,M4z,M2x,M2y,M2z,sesion_time_stamp
6,0,6,7,6,0,0,0,6,7,21,8,3,12,0,3,0,9,2,79,36,2,13,3,5,7,0,1.503222585,0.608097911,0.914695859,1.618534684,0.389335752,0.688161671,1.342865586,0.124115184,0.699988604,1.356302023,0.256215096,0.858852088,11_Sep_2023_14_45
9,1,4,3,7,0,1,0,9,5,26,7,0,15,0,7,0,7,0,74,38,3,12,3,0,5,1,1.503222585,0.608097911,0.914695859,1.618534684,0.389335752,0.688161671,1.342865586,0.124115184,0.699988604,1.356302023,0.256215096,0.858852088,11_Sep_2023_14_45
8,0,10,7,7,0,1,1,5,9,18,5,1,16,0,4,0,7,0,73,37,3,13,4,8,2,1,1.503250957,0.608091772,0.914833426,1.618539333,0.38930431,0.688158154,1.342781425,0.124109276,0.700064242,1.356357574,0.256206095,0.858918309,11_Sep_2023_14_45
7,2,3,7,7,0,1,0,4,1,17,10,0,15,0,2,0,15,0,51,38,2,14,4,1,4,1,1.503250957,0.608091772,0.914833426,1.618539333,0.38930431,0.688158154,1.342781425,0.124109276,0.700064242,1.356357574,0.256206095,0.858918309,11_Sep_2023_14_45
5,0,8,7,7,0,2,0,3,6,20,9,2,16,0,11,1,14,2,52,38,1,14,8,0,4,1,1.503205657,0.608028293,0.91477567,1.618562818,0.389274865,0.688193679,1.342933178,0.124095231,0.700065196,1.356424928,0.256203592,0.859005272,11_Sep_2023_14_45
6,1,9,8,6,0,0,0,6,4,20,8,2,16,0,4,0,13,1,48,39,7,13,3,2,6,1,1.503205657,0.608028293,0.91477567,1.618562818,0.389274865,0.688193679,1.342933178,0.124095231,0.700065196,1.356424928,0.256203592,0.859005272,11_Sep_2023_14_45
8,2,6,11,7,1,2,0,6,7,18,13,1,16,0,2,0,11,2,69,39,3,14,3,11,7,2,1.503258109,0.608018041,0.914792061,1.618584394,0.389255404,0.688206375,1.343041778,0.124081448,0.700080335,1.356491685,0.256191105,0.859080255,11_Sep_2023_14_45
6,2,9,6,6,1,1,4,4,10,21,7,2,17,0,3,0,11,1,82,45,1,13,7,13,3,2,1.503258109,0.608018041,0.914792061,1.618584394,0.389255404,0.688206375,1.343041778,0.124081448,0.700080335,1.356491685,0.256191105,0.859080255,11_Sep_2023_14_45
9,2,7,5,6,2,2,0,3,6,21,9,0,16,0,3,8,11,0,77,40,3,13,4,1,5,0,1.503322244,0.608027041,0.914830387,1.618600845,0.389238536,0.688212931,1.342912078,0.124085151,0.700204074,1.356565237,0.256183624,0.859139979,11_Sep_2023_14_45
6,1,6,7,7,0,2,0,7,6,20,8,2,13,0,5,10,12,1,65,47,5,13,12,4,6,7,1.503322244,0.608027041,0.914830387,1.618600845,0.389238536,0.688212931,1.342912078,0.124085151,0.700204074,1.356565237,0.256183624,0.859139979,11_Sep_2023_14_45
3,3,1,14,8,0,5,0,2,4,21,5,2,15,0,4,0,11,0,67,40,3,10,4,3,4,2,1.503377199,0.60803324,0.914863586,1.618621707,0.389221698,0.688248694,1.343075871,0.124078594,0.700292408,1.356632829,0.256167382,0.859212816,11_Sep_2023_14_45
6,1,6,5,7,0,1,0,7,1,20,8,1,16,0,3,0,8,4,65,43,0,13,4,5,6,2,1.503377199,0.60803324,0.914863586,1.618621707,0.389221698,0.688248694,1.343075871,0.124078594,0.700292408,1.356632829,0.256167382,0.859212816,11_Sep_2023_14_45
7,1,7,6,7,0,0,0,7,4,20,9,6,19,0,0,0,13,0,69,44,1,18,4,5,7,1,1.503429413,0.608042598,0.914907992,1.61864078,0.389214933,0.688248038,1.343194246,0.124051638,0.700368643,1.356716275,0.256154895,0.859314382,11_Sep_2023_14_45
5,2,6,6,7,0,3,0,6,5,16,9,2,16,0,5,0,11,0,67,42,3,11,4,4,6,1,1.503429413,0.608042598,0.914907992,1.61864078,0.389214933,0.688248038,1.343194246,0.124051638,0.700368643,1.356716275,0.256154895,0.859314382,11_Sep_2023_14_45
10,2,2,4,6,0,2,0,13,2,23,14,0,14,0,5,9,10,1,62,47,3,15,7,3,8,4,1.503486514,0.608044863,0.914944649,1.618647814,0.389205337,0.688259423,1.343265176,0.12403363,0.700421453,1.35679841,0.2561436,0.859398246,11_Sep_2023_14_45
3,2,4,7,5,0,1,0,7,3,21,8,1,17,0,4,2,10,0,46,48,3,13,3,6,9,2,1.503486514,0.608044863,0.914944649,1.618647814,0.389205337,0.688259423,1.343265176,0.12403363,0.700421453,1.35679841,0.2561436,0.859398246,11_Sep_2023_14_45
2,6,5,7,4,0,0,0,7,9,21,4,2,11,0,3,0,10,1,46,49,3,17,2,0,8,2,1.503560901,0.608055532,0.914963305,1.61865592,0.38918981,0.688276768,1.343219042,0.124053329,0.700615525,1.356874466,0.256123245,0.859489381,11_Sep_2023_14_45
5,4,6,0,5,0,1,5,6,0,18,10,2,11,1,6,0,10,7,47,50,0,13,5,6,9,3,1.503560901,0.608055532,0.914963305,1.61865592,0.38918981,0.688276768,1.343219042,0.124053329,0.700615525,1.356874466,0.256123245,0.859489381,11_Sep_2023_14_45
4,2,2,7,3,0,0,0,4,7,21,8,1,16,0,5,0,12,0,45,47,0,14,2,0,13,2,1.503598094,0.608064055,0.914973021,1.618658662,0.389159679,0.688310385,1.343373775,0.124023266,0.700626969,1.357046604,0.256012708,0.859522879,11_Sep_2023_14_45
5,1,3,5,4,0,0,0,7,4,24,12,2,19,0,6,0,7,1,42,45,3,15,5,3,7,2,1.503598094,0.608064055,0.914973021,1.618658662,0.389159679,0.688310385,1.343373775,0.124023266,0.700626969,1.357046604,0.256012708,0.859522879,11_Sep_2023_14_45
4,4,7,5,7,0,8,0,5,4,26,8,1,15,0,6,0,11,1,45,47,3,13,1,3,10,1,1.503648877,0.608074605,0.914978206,1.618664026,0.389124185,0.688337862,1.343443632,0.124019444,0.700757682,1.357135177,0.255985647,0.859590769,11_Sep_2023_14_45
3,1,8,4,6,0,0,0,6,6,25,7,5,15,0,11,0,12,0,47,50,3,10,4,7,3,0,1.503648877,0.608074605,0.914978206,1.618664026,0.389124185,0.688337862,1.343443632,0.124019444,0.700757682,1.357135177,0.255985647,0.859590769,11_Sep_2023_14_45
7,2,6,5,6,0,1,0,6,6,25,4,0,14,0,3,4,10,1,43,47,2,11,5,5,7,0,1.503694296,0.608074009,0.914991498,1.61865747,0.389091045,0.688353658,1.343439102,0.124021821,0.700930834,1.357102752,0.256072283,0.859697342,11_Sep_2023_14_45
4,6,7,7,5,2,1,0,9,4,22,12,5,16,0,3,0,9,0,43,46,4,9,5,6,9,2,1.503694296,0.608074009,0.914991498,1.61865747,0.389091045,0.688353658,1.343439102,0.124021821,0.700930834,1.357102752,0.256072283,0.859697342,11_Sep_2023_14_45
3,1,3,2,3,0,1,0,6,6,23,12,12,15,4,7,0,9,1,43,46,2,13,4,1,8,0,1.50374186,0.608074665,0.914996266,1.618620634,0.389012098,0.688450396,1.343505859,0.12401706,0.701029897,1.357133627,0.256084353,0.859788239,11_Sep_2023_14_45
6,2,2,7,6,0,3,0,7,0,23,8,2,16,0,3,0,7,2,43,41,5,11,0,3,8,0,1.50374186,0.608074665,0.914996266,1.618620634,0.389012098,0.688450396,1.343505859,0.12401706,0.701029897,1.357133627,0.256084353,0.859788239,11_Sep_2023_14_45
5,2,5,7,5,1,0,0,7,0,23,10,1,15,0,7,1,7,0,42,45,2,13,0,1,9,1,1.503791094,0.608060479,0.915018439,1.618646979,0.38903296,0.688393593,1.343557596,0.124005236,0.701103806,1.357229114,0.256055713,0.859866619,11_Sep_2023_14_45
9,0,3,7,4,0,7,0,8,4,21,8,1,17,11,5,8,15,1,43,42,8,12,2,1,11,0,1.503791094,0.608060479,0.915018439,1.618646979,0.38903296,0.688393593,1.343557596,0.124005236,0.701103806,1.357229114,0.256055713,0.859866619,11_Sep_2023_14_45
3,7,5,6,5,1,2,0,13,4,23,8,2,16,0,4,0,11,0,40,42,2,11,5,8,8,1,1.503847241,0.608054817,0.915038943,1.618654013,0.389001936,0.68843317,1.343632102,0.12398798,0.701182842,1.357313991,0.256036341,0.859930396,11_Sep_2023_14_45
6,4,4,6,5,0,1,0,11,4,22,3,2,14,6,6,2,7,0,41,44,3,10,7,3,15,1,1.503847241,0.608054817,0.915038943,1.618654013,0.389001936,0.68843317,1.343632102,0.12398798,0.701182842,1.357313991,0.256036341,0.859930396,11_Sep_2023_14_45
8,2,6,2,6,1,6,0,7,6,24,10,2,14,3,7,7,10,0,42,43,2,13,2,6,9,3,1.503904819,0.608052492,0.915071845,1.618612528,0.38891083,0.688565135,1.343668818,0.123982668,0.701254845,1.357384443,0.256021947,0.860011935,11_Sep_2023_14_45
5,2,4,6,6,0,2,0,7,8,19,9,0,14,0,6,0,14,1,44,42,2,9,8,1,13,0,1.503904819,0.608052492,0.915071845,1.618612528,0.38891083,0.688565135,1.343668818,0.123982668,0.701254845,1.357384443,0.256021947,0.860011935,11_Sep_2023_14_45
4,0,6,7,7,1,4,0,7,5,24,6,1,15,0,4,1,11,5,44,43,3,13,4,0,13,2,1.503952503,0.608056545,0.915089667,1.61862421,0.388897598,0.688586235,1.343756795,0.123966984,0.701337457,1.357475877,0.256014049,0.860093713,11_Sep_2023_14_45
3,2,5,4,5,0,2,1,9,6,29,8,7,16,0,5,0,13,0,47,43,3,12,3,8,13,3,1.503952503,0.608056545,0.915089667,1.61862421,0.388897598,0.688586235,1.343756795,0.123966984,0.701337457,1.357475877,0.256014049,0.860093713,11_Sep_2023_14_45
5,9,8,4,6,1,1,1,10,5,27,9,2,19,0,4,4,13,1,48,41,5,10,0,6,10,2,1.504011035,0.608064651,0.915118814,1.6186378,0.388884783,0.688616216,1.343843222,0.123948023,0.70143044,1.357539892,0.255991369,0.860182583,11_Sep_2023_14_45
0,2,4,6,8,0,1,0,7,3,27,11,1,21,0,3,0,15,0,50,40,2,8,3,0,15,5,1.504011035,0.608064651,0.915118814,1.6186378,0.388884783,0.688616216,1.343843222,0.123948023,0.70143044,1.357539892,0.255991369,0.860182583,11_Sep_2023_14_45
6,2,5,7,7,0,2,4,13,3,25,7,1,15,0,7,0,13,0,47,40,2,8,2,3,12,1,1.5041641,0.6081267,0.915229201,1.618691683,0.388954431,0.688473105,1.343796015,0.123899445,0.701402068,1.357612491,0.255979598,0.860252976,11_Sep_2023_14_45
9,3,7,5,6,0,2,0,8,6,26,5,0,15,0,2,3,11,2,48,37,3,7,3,0,11,3,1.5041641,0.6081267,0.915229201,1.618691683,0.388954431,0.688473105,1.343796015,0.123899445,0.701402068,1.357612491,0.255979598,0.860252976,11_Sep_2023_14_45
2,0,6,14,7,1,2,0,9,4,27,6,2,16,2,4,1,15,1,49,42,3,10,1,2,11,0,1.504266143,0.608161509,0.915178239,1.618666291,0.388869941,0.688609242,1.343832254,0.123866469,0.701464415,1.357694268,0.255949855,0.860360563,11_Sep_2023_14_45
5,2,10,7,5,0,0,0,3,3,26,8,1,15,0,3,0,13,1,45,41,7,9,5,2,11,9,1.504266143,0.608161509,0.915178239,1.618666291,0.388869941,0.688609242,1.343832254,0.123866469,0.701464415,1.357694268,0.255949855,0.860360563,11_Sep_2023_14_45
