S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
4,20,3,11,8,2,1,0,23,2,15,9,0,13,2,8,0,17,8,13,10,5,25,6,0,46,4,1.533804536,0.624163985,0.924641788,1.644542456,0.401920885,0.721674442,1.372666001,0.139295176,0.75558722,1.379386425,0.270473421,0.911828935,11_Sep_2023_14_35
4,21,7,10,7,1,0,0,18,0,11,3,11,21,2,5,1,15,7,9,14,6,27,3,0,49,2,1.533804536,0.624163985,0.924641788,1.644542456,0.401920885,0.721674442,1.372666001,0.139295176,0.75558722,1.379386425,0.270473421,0.911828935,11_Sep_2023_14_35
5,22,6,9,8,0,2,1,23,1,12,4,0,14,5,5,3,16,10,13,15,4,23,4,0,48,1,1.533781409,0.624188125,0.924593985,1.644649386,0.401958138,0.721602619,1.372560382,0.139294907,0.755181074,1.379286528,0.270546347,0.911569655,11_Sep_2023_14_35
6,15,5,11,7,0,0,0,27,0,12,4,2,11,2,5,1,16,9,11,13,3,26,7,0,45,2,1.53379941,0.624189436,0.924526632,1.64474833,0.40196839,0.721575916,1.372476339,0.139440194,0.75483191,1.379170299,0.270608813,0.911296964,11_Sep_2023_14_35
5,21,7,6,7,0,0,0,23,0,13,0,11,11,3,7,6,15,8,15,13,6,29,6,1,43,6,1.53379941,0.624189436,0.924526632,1.64474833,0.40196839,0.721575916,1.372476339,0.139440194,0.75483191,1.379170299,0.270608813,0.911296964,11_Sep_2023_14_35
6,25,6,13,8,0,3,0,23,0,13,3,1,11,5,6,1,18,7,13,18,4,21,7,0,43,0,1.533780932,0.624217391,0.924481452,1.644870877,0.402003914,0.72155261,1.372341633,0.139694363,0.754428506,1.379079819,0.270663083,0.91097647,11_Sep_2023_14_35
6,23,5,10,5,0,2,0,19,1,10,3,1,9,3,7,1,20,6,10,14,3,24,10,0,40,3,1.533780932,0.624217391,0.924481452,1.644870877,0.402003914,0.72155261,1.372341633,0.139694363,0.754428506,1.379079819,0.270663083,0.91097647,11_Sep_2023_14_35
6,20,5,6,8,1,2,1,23,0,14,7,0,14,1,6,3,17,6,13,17,4,22,7,0,42,8,1.533782363,0.624243796,0.924417913,1.644984245,0.402005494,0.721536636,1.372504711,0.139608458,0.754281938,1.378999114,0.270714849,0.910706937,11_Sep_2023_14_35
7,20,6,16,7,0,3,2,21,0,9,5,0,13,2,14,3,15,3,14,16,6,25,10,0,41,3,1.533782363,0.624243796,0.924417913,1.644984245,0.402005494,0.721536636,1.372504711,0.139608458,0.754281938,1.378999114,0.270714849,0.910706937,11_Sep_2023_14_35
5,22,3,12,6,1,0,2,23,2,9,7,3,11,4,2,2,17,2,12,15,3,24,9,0,41,1,1.533777714,0.624242365,0.924343765,1.645114422,0.402040631,0.721545219,1.372290134,0.139767528,0.753832519,1.37891078,0.270769805,0.910451055,11_Sep_2023_14_35
3,17,7,11,13,1,0,9,25,1,12,4,1,13,2,7,4,17,8,13,13,3,26,8,0,36,3,1.533777714,0.624242365,0.924343765,1.645114422,0.402040631,0.721545219,1.372290134,0.139767528,0.753832519,1.37891078,0.270769805,0.910451055,11_Sep_2023_14_35
