S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,
7,10,1,24,22,2,7,0,18,4,15,2,0,8,4,9,10,11,36,13,26,7,18,19,7,40,11,13,23,7,2,0,1.6150153875351,0.65102082490921,0.788110792636871,1.70824289321899,0.405411213636398,0.577655851840973,1.49034512042999,0.655790150165558,0.348807662725449,1.408278465271,0.578975319862366,0.530908942222595,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,8,1,23,26,11,7,0,20,5,16,5,1,9,8,11,8,10,31,10,24,2,24,19,10,42,11,9,27,7,1,0,1.6150153875351,0.65102082490921,0.788110792636871,1.70824289321899,0.405411213636398,0.577655851840973,1.49034512042999,0.655790150165558,0.348807662725449,1.408278465271,0.578975319862366,0.530908942222595,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,8,1,21,28,3,5,0,19,8,15,5,0,4,0,11,7,5,35,13,25,3,25,19,12,46,9,9,25,8,2,1,1.61499929428101,0.651010394096375,0.788116097450256,1.70824575424194,0.405386060476303,0.577675342559814,1.49033427238464,0.655768513679504,0.348821997642517,1.40822970867157,0.57897812128067,0.530933439731598,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,7,1,24,29,0,7,0,15,6,10,3,1,0,2,10,7,11,34,14,27,4,19,26,9,46,13,9,22,8,1,0,1.61499929428101,0.651010394096375,0.788116097450256,1.70824575424194,0.405386060476303,0.577675342559814,1.49033427238464,0.655768513679504,0.348821997642517,1.40822970867157,0.57897812128067,0.530933439731598,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,7,1,21,29,1,9,0,21,7,10,1,0,4,3,15,7,8,35,11,29,6,23,20,8,47,11,8,20,7,7,0,1.61498010158539,0.651001870632172,0.788123607635498,1.70824074745178,0.405330687761307,0.577736139297485,1.49033153057098,0.655743718147278,0.348831355571747,1.40823400020599,0.578936159610748,0.530928611755371,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,6,0,24,29,1,7,0,20,6,13,3,0,2,4,16,10,8,34,12,29,3,25,16,9,44,9,12,19,6,6,1,1.61498010158539,0.651001870632172,0.788123607635498,1.70824074745178,0.405330687761307,0.577736139297485,1.49033153057098,0.655743718147278,0.348831355571747,1.40823400020599,0.578936159610748,0.530928611755371,16_Aug_2023_13_12,,,,,,,,,,,,,,,
9,7,4,22,29,0,6,0,19,3,14,5,4,4,2,13,9,1,34,11,23,4,26,14,11,46,4,10,28,8,2,0,1.61496615409851,0.65099161863327,0.788132786750793,1.70824253559113,0.405315011739731,0.577753305435181,1.49036645889282,0.655734121799469,0.348841845989227,1.40826106071472,0.578965067863464,0.530950248241425,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,9,0,23,30,0,8,0,15,6,14,4,0,6,4,11,8,7,33,8,26,8,26,7,9,41,10,9,25,6,6,1,1.61496615409851,0.65099161863327,0.788132786750793,1.70824253559113,0.405315011739731,0.577753305435181,1.49036645889282,0.655734121799469,0.348841845989227,1.40826106071472,0.578965067863464,0.530950248241425,16_Aug_2023_13_12,,,,,,,,,,,,,,,
3,7,1,22,28,0,10,0,18,11,13,6,0,7,0,11,9,6,35,13,23,8,24,10,7,46,7,9,22,6,3,2,1.61495280265808,0.650977373123169,0.788136780261993,1.70824837684631,0.40533709526062,0.577731728553772,1.49037718772888,0.655722558498383,0.348840624094009,1.40814173221588,0.579001069068909,0.530982196331024,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,14,1,21,30,0,12,0,18,4,13,6,0,6,3,12,6,7,35,14,27,5,23,11,8,45,10,13,25,7,3,3,1.61495280265808,0.650977373123169,0.788136780261993,1.70824837684631,0.40533709526062,0.577731728553772,1.49037718772888,0.655722558498383,0.348840624094009,1.40814173221588,0.579001069068909,0.530982196331024,16_Aug_2023_13_12,,,,,,,,,,,,,,,
6,5,0,27,31,0,2,0,18,7,13,5,2,5,3,12,3,7,36,16,25,5,29,11,6,45,8,11,27,3,5,0,1.61494278907776,0.650976061820984,0.78814834356308,1.70825004577637,0.405285775661469,0.57779860496521,1.49038255214691,0.655698299407959,0.348852276802063,1.40815210342407,0.578963994979858,0.530987977981567,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,5,6,20,28,0,4,0,18,14,12,3,3,5,3,13,7,9,38,13,26,4,23,16,8,45,8,10,22,7,1,2,1.61494278907776,0.650976061820984,0.78814834356308,1.70825004577637,0.405285775661469,0.57779860496521,1.49038255214691,0.655698299407959,0.348852276802063,1.40815210342407,0.578963994979858,0.530987977981567,16_Aug_2023_13_12,,,,,,,,,,,,,,,
7,7,1,25,29,0,5,8,16,9,13,2,0,8,3,10,9,6,32,14,20,4,23,14,5,45,9,15,23,1,1,0,1.61492908000946,0.650971531867981,0.788148701190949,1.70826411247253,0.405346810817719,0.577736854553223,1.4903872013092,0.655676126480103,0.348863273859024,1.40816211700439,0.578957140445709,0.530993402004242,16_Aug_2023_13_12,,,,,,,,,,,,,,,
6,4,3,25,27,1,7,1,17,8,9,7,0,5,3,11,2,11,35,13,20,7,24,13,7,42,8,13,20,6,1,1,1.61492908000946,0.650971531867981,0.788148701190949,1.70826411247253,0.405346810817719,0.577736854553223,1.4903872013092,0.655676126480103,0.348863273859024,1.40816211700439,0.578957140445709,0.530993402004242,16_Aug_2023_13_12,,,,,,,,,,,,,,,
