S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,11,42,11,0,12,0,15,8,64,9,1,7,0,15,0,10,14,20,21,15,78,11,2,84,10,19,57,17,1,1,1.5197765827179,0.643101394176483,0.824749350547791,1.62907576560974,0.411447495222092,0.612931847572327,1.34269976615906,0.649082660675049,0.377975791692734,1.29804110527039,0.566549420356751,0.573088526725769,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,10,45,9,1,13,0,17,9,63,8,0,3,0,12,0,11,20,18,25,13,80,23,3,90,8,16,56,11,0,0,1.51970624923706,0.643087923526764,0.824756264686585,1.62910604476929,0.411430686712265,0.612995028495789,1.34274935722351,0.649044990539551,0.377905577421188,1.29811644554138,0.566434860229492,0.572967112064362,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,11,38,11,0,10,2,16,7,66,6,1,5,3,13,0,13,17,16,22,9,79,28,1,88,7,20,54,14,0,0,1.51970624923706,0.643087923526764,0.824756264686585,1.62910604476929,0.411430686712265,0.612995028495789,1.34274935722351,0.649044990539551,0.377905577421188,1.29811644554138,0.566434860229492,0.572967112064362,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,11,41,11,0,10,6,17,6,62,8,1,4,0,9,2,4,17,18,21,14,78,28,0,90,5,17,53,14,0,0,1.51962685585022,0.643063962459564,0.82475483417511,1.62913537025452,0.411432027816772,0.613038599491119,1.34293973445892,0.648948848247528,0.377814918756485,1.29809963703156,0.566446781158447,0.572901725769043,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,12,42,13,0,11,0,17,6,68,5,0,2,4,13,0,12,15,20,24,15,85,24,0,93,5,20,50,13,0,0,1.51962685585022,0.643063962459564,0.82475483417511,1.62913537025452,0.411432027816772,0.613038599491119,1.34293973445892,0.648948848247528,0.377814918756485,1.29809963703156,0.566446781158447,0.572901725769043,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,6,43,9,0,12,0,15,10,64,10,0,5,1,12,0,8,20,20,27,13,84,30,2,90,10,17,53,11,1,1,1.51954066753387,0.643059432506561,0.824753165245056,1.62924063205719,0.41147518157959,0.612944185733795,1.34295642375946,0.648938894271851,0.377724021673203,1.298175573349,0.566350936889648,0.572787761688232,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,12,42,12,3,13,0,16,6,63,14,2,0,4,9,1,9,16,19,23,13,86,27,4,96,7,16,54,9,0,0,1.51954066753387,0.643059432506561,0.824753165245056,1.62924063205719,0.41147518157959,0.612944185733795,1.34295642375946,0.648938894271851,0.377724021673203,1.298175573349,0.566350936889648,0.572787761688232,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,12,43,11,0,10,0,16,1,66,8,1,3,1,11,1,11,14,20,26,13,85,26,2,92,9,18,53,10,0,0,1.51946449279785,0.643053710460663,0.824767053127289,1.62928259372711,0.411488562822342,0.612971901893616,1.34293818473816,0.648822665214539,0.377576231956482,1.29820132255554,0.566322982311249,0.572701573371887,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,9,43,11,0,13,0,15,3,61,12,1,0,0,14,1,6,16,21,23,12,81,23,0,88,9,18,51,13,0,1,1.51946449279785,0.643053710460663,0.824767053127289,1.62928259372711,0.411488562822342,0.612971901893616,1.34293818473816,0.648822665214539,0.377576231956482,1.29820132255554,0.566322982311249,0.572701573371887,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,15,40,10,13,12,1,15,5,65,8,8,0,8,11,0,17,14,20,21,16,81,22,7,97,10,20,50,12,1,1,1.51939725875855,0.643047153949737,0.824766874313355,1.62923038005829,0.411430984735489,0.613161444664001,1.34307980537415,0.648877441883087,0.377542465925217,1.29824757575989,0.566290080547333,0.572575747966766,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,14,47,11,1,9,0,15,5,62,7,1,6,4,8,0,9,16,20,22,18,84,27,2,99,8,17,51,9,0,0,1.51933550834656,0.64304655790329,0.824766755104065,1.62934255599976,0.41148367524147,0.613052666187286,1.34308779239655,0.648763060569763,0.377408772706985,1.29827404022217,0.566271662712097,0.572476804256439,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,12,40,11,0,14,0,10,7,63,7,0,3,0,9,8,4,14,20,20,8,85,22,2,98,7,15,51,10,1,0,1.51933550834656,0.64304655790329,0.824766755104065,1.62934255599976,0.41148367524147,0.613052666187286,1.34308779239655,0.648763060569763,0.377408772706985,1.29827404022217,0.566271662712097,0.572476804256439,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,13,43,13,0,10,1,14,5,61,6,0,3,0,13,1,8,15,20,21,15,87,25,2,102,3,18,49,12,0,1,1.51926779747009,0.643043279647827,0.824770867824554,1.62936735153198,0.411474078893662,0.61309939622879,1.34376037120819,0.648261427879334,0.377547860145569,1.29832696914673,0.56624847650528,0.57237696647644,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,9,46,11,11,14,0,13,6,61,8,2,3,1,9,0,10,12,21,22,13,90,20,2,96,9,17,50,12,0,9,1.51926779747009,0.643043279647827,0.824770867824554,1.62936735153198,0.411474078893662,0.61309939622879,1.34376037120819,0.648261427879334,0.377547860145569,1.29832696914673,0.56624847650528,0.57237696647644,16_Aug_2023_13_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
