S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
18,2,28,30,35,0,0,0,1,5,9,17,0,7,1,0,2,0,2,10,25,6,65,27,0,86,5,0,35,9,0,0,1.44742822647095,0.596955060958862,0.880022406578064,1.55596840381622,0.396982461214066,0.630275130271912,1.29534077644348,0.12379601597786,0.630294263362885,1.28468787670136,0.302076905965805,0.778481423854828,16_Aug_2023_11_24
20,1,27,28,35,0,0,0,2,4,8,16,1,13,1,0,1,0,3,8,23,4,65,25,1,89,1,0,27,6,0,0,1.44738638401032,0.596942365169525,0.879964649677277,1.55611991882324,0.396941632032394,0.630306005477905,1.29547357559204,0.123765923082829,0.630122005939483,1.28474724292755,0.302027255296707,0.778342664241791,16_Aug_2023_11_24
20,0,26,32,35,0,7,0,8,12,10,15,0,9,0,0,0,0,2,12,24,7,65,27,1,85,3,0,31,7,0,0,1.44738638401032,0.596942365169525,0.879964649677277,1.55611991882324,0.396941632032394,0.630306005477905,1.29547357559204,0.123765923082829,0.630122005939483,1.28474724292755,0.302027255296707,0.778342664241791,16_Aug_2023_11_24
21,0,29,29,31,0,1,7,2,5,9,17,2,10,0,1,2,0,3,14,24,9,63,26,2,91,3,0,29,7,12,0,1.44737231731415,0.596910119056702,0.879855811595917,1.55624258518219,0.397022068500519,0.630168318748474,1.29556655883789,0.123724140226841,0.629741847515106,1.28479862213135,0.301958620548248,0.778187215328217,16_Aug_2023_11_24
17,0,27,31,35,1,1,0,3,4,7,15,1,13,1,1,1,0,1,6,23,5,59,25,2,85,3,0,28,6,0,0,1.44737231731415,0.596910119056702,0.879855811595917,1.55624258518219,0.397022068500519,0.630168318748474,1.29556655883789,0.123724140226841,0.629741847515106,1.28479862213135,0.301958620548248,0.778187215328217,16_Aug_2023_11_24
21,1,26,27,33,0,0,1,2,5,12,14,0,13,10,1,1,1,2,11,25,6,65,25,1,85,2,0,25,14,0,0,1.44733655452728,0.596888959407806,0.879792988300324,1.55634117126465,0.397021293640137,0.630169451236725,1.29567062854767,0.123679332435131,0.629538238048553,1.2848459482193,0.301905423402786,0.778035998344421,16_Aug_2023_11_24
18,0,31,33,33,3,0,1,2,12,10,15,2,11,0,10,0,0,2,10,24,4,63,27,2,87,2,0,30,7,0,0,1.44730174541473,0.596871018409729,0.879736542701721,1.5564934015274,0.397137731313705,0.629963636398315,1.2957980632782,0.123669877648354,0.629379510879517,1.28490471839905,0.301895260810852,0.777871310710907,16_Aug_2023_11_24
19,0,27,26,33,0,0,0,5,7,9,17,1,9,3,0,2,1,0,11,19,6,64,25,1,88,5,0,29,7,1,0,1.44730174541473,0.596871018409729,0.879736542701721,1.5564934015274,0.397137731313705,0.629963636398315,1.2957980632782,0.123669877648354,0.629379510879517,1.28490471839905,0.301895260810852,0.777871310710907,16_Aug_2023_11_24
21,1,25,29,34,0,3,0,0,14,10,14,0,11,0,0,0,0,1,11,25,3,63,28,2,88,2,0,30,8,3,2,1.44726598262787,0.596850275993347,0.879679977893829,1.55659079551697,0.397157728672028,0.62995707988739,1.29591715335846,0.123628340661526,0.629158556461334,1.28497719764709,0.301833927631378,0.777693271636963,16_Aug_2023_11_24
22,1,28,28,33,0,1,0,5,5,9,15,1,10,0,1,0,0,1,9,22,2,63,24,1,88,2,4,30,6,0,0,1.44726598262787,0.596850275993347,0.879679977893829,1.55659079551697,0.397157728672028,0.62995707988739,1.29591715335846,0.123628340661526,0.629158556461334,1.28497719764709,0.301833927631378,0.777693271636963,16_Aug_2023_11_24
20,1,25,33,34,0,2,13,4,5,9,14,0,10,1,0,2,0,3,8,24,4,65,30,0,84,2,15,27,9,0,1,1.44723010063171,0.59683108329773,0.879627704620361,1.55668592453003,0.397182434797287,0.629973351955414,1.29602789878845,0.123628087341785,0.629001140594482,1.28502142429352,0.301808327436447,0.777551710605621,16_Aug_2023_11_24
21,0,28,29,33,0,2,5,0,2,10,16,0,14,1,0,1,0,1,6,23,3,63,27,0,88,3,1,30,7,0,0,1.44719707965851,0.596812963485718,0.87957239151001,1.55682909488678,0.397177815437317,0.629890382289887,1.29651010036469,0.123550206422806,0.629517912864685,1.28506863117218,0.301776260137558,0.777413427829742,16_Aug_2023_11_24
20,4,22,31,33,0,13,0,2,8,11,16,0,11,0,0,7,1,2,11,23,0,65,26,0,86,2,2,30,9,2,1,1.44714868068695,0.596794962882996,0.879518449306488,1.55693531036377,0.397207260131836,0.629867732524872,1.29664373397827,0.123500227928162,0.629199206829071,1.28517878055573,0.301727384328842,0.777239918708801,16_Aug_2023_11_24
20,1,29,30,33,0,1,0,3,6,10,16,0,9,0,9,0,0,3,10,22,4,63,26,0,89,3,0,29,6,0,0,1.44714868068695,0.596794962882996,0.879518449306488,1.55693531036377,0.397207260131836,0.629867732524872,1.29664373397827,0.123500227928162,0.629199206829071,1.28517878055573,0.301727384328842,0.777239918708801,16_Aug_2023_11_24
