S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,8,29,61,0,4,0,7,3,12,3,2,1,0,8,0,2,19,5,13,2,37,24,9,51,6,14,17,3,0,1,1.54383993148804,0.642691195011139,0.772097289562225,1.66640949249268,0.411827832460403,0.568145036697388,1.38643193244934,0.647663295269012,0.322240620851517,1.33586072921753,0.562607824802399,0.514719009399414,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,9,28,63,0,3,0,8,3,13,6,0,1,2,6,1,3,18,8,11,2,34,20,4,57,5,15,17,3,1,0,1.54383993148804,0.642691195011139,0.772097289562225,1.66640949249268,0.411827832460403,0.568145036697388,1.38643193244934,0.647663295269012,0.322240620851517,1.33586072921753,0.562607824802399,0.514719009399414,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,7,27,72,0,4,0,8,4,15,4,0,1,1,8,1,13,18,5,15,1,37,21,0,55,6,12,13,1,0,1,1.54383373260498,0.642692387104034,0.772092521190643,1.66638731956482,0.411871939897537,0.56807678937912,1.38639521598816,0.647660911083221,0.322236627340317,1.3358393907547,0.562650740146637,0.51471883058548,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,14,29,76,0,4,0,9,3,15,10,1,3,2,8,9,2,16,8,19,4,36,23,4,55,4,18,17,3,0,1,1.54383373260498,0.642692387104034,0.772092521190643,1.66638731956482,0.411871939897537,0.56807678937912,1.38639521598816,0.647660911083221,0.322236627340317,1.3358393907547,0.562650740146637,0.51471883058548,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,9,34,82,1,8,0,7,4,18,9,1,4,7,8,1,3,20,4,15,5,34,23,0,53,8,17,18,2,0,1,1.54382956027985,0.642687916755676,0.772085547447205,1.66637790203094,0.411907762289047,0.568020820617676,1.38635873794556,0.647657632827759,0.322228014469147,1.33582663536072,0.562641084194183,0.514709293842316,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,16,33,82,5,4,1,7,7,15,7,0,0,0,7,0,5,18,3,18,0,35,21,0,57,5,18,17,2,2,0,1.54382956027985,0.642687916755676,0.772085547447205,1.66637790203094,0.411907762289047,0.568020820617676,1.38635873794556,0.647657632827759,0.322228014469147,1.33582663536072,0.562641084194183,0.514709293842316,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,9,33,79,0,5,0,7,3,15,8,1,2,3,5,0,6,21,2,17,1,35,22,3,58,7,14,17,0,0,2,1.54382014274597,0.642675340175629,0.7720827460289,1.66636204719543,0.41193163394928,0.567983090877533,1.38631868362427,0.647652268409729,0.322225540876389,1.33563053607941,0.562733471393585,0.514762461185455,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,10,34,79,0,6,0,9,1,12,9,0,1,1,9,5,2,17,2,15,4,34,20,3,57,6,14,17,3,5,13,1.54382014274597,0.642675340175629,0.7720827460289,1.66636204719543,0.41193163394928,0.567983090877533,1.38631868362427,0.647652268409729,0.322225540876389,1.33563053607941,0.562733471393585,0.514762461185455,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,10,35,81,0,5,0,11,7,14,8,1,3,2,13,1,3,19,0,15,1,35,22,1,60,6,10,19,2,1,2,1.54381358623505,0.642662882804871,0.772077739238739,1.66634356975555,0.411955505609512,0.567951738834381,1.38630533218384,0.647621810436249,0.322259604930878,1.33558714389801,0.562748372554779,0.514782071113586,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,6,41,80,0,2,2,9,5,9,9,1,2,7,1,12,5,18,1,15,4,35,17,3,58,8,8,16,4,0,2,1.54381358623505,0.642662882804871,0.772077739238739,1.66634356975555,0.411955505609512,0.567951738834381,1.38630533218384,0.647621810436249,0.322259604930878,1.33558714389801,0.562748372554779,0.514782071113586,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
