S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,
7,1,0,1,3,0,26,16,34,3,15,10,10,3,2,2,1,4,15,39,0,0,18,58,9,1,91,0,24,106,3,23,-0.996055663,0.637568653,-0.16243045,-1.165615916,0.444184035,-0.002514255,-1.036568999,0.640743732,0.351287514,-0.950056612,0.595609188,0.148566872,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
10,15,0,1,3,2,33,16,32,5,13,20,1,2,1,0,1,3,14,40,0,0,15,55,10,3,92,2,23,99,2,24,-0.996059656,0.63757211,-0.162419513,-1.165604711,0.444178253,-0.002507153,-1.036661863,0.640778005,0.351299822,-0.950074971,0.595640063,0.14857392,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,0,0,0,6,3,31,9,35,6,13,12,7,1,3,1,0,4,11,38,0,0,11,53,11,0,92,0,24,101,2,21,-0.996065497,0.637576997,-0.162410721,-1.165606856,0.44427371,-0.002535355,-1.036669016,0.640888274,0.351240724,-0.950092614,0.595665514,0.14857693,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,0,12,0,3,2,29,13,33,7,15,14,5,4,1,0,3,3,15,41,1,0,14,54,9,3,90,1,24,99,1,26,-0.996065497,0.637576997,-0.162410721,-1.165606856,0.44427371,-0.002535355,-1.036669016,0.640888274,0.351240724,-0.950092614,0.595665514,0.14857693,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,0,2,0,1,3,27,14,31,8,17,12,1,0,1,0,5,2,14,38,1,2,10,55,7,1,93,1,22,101,1,23,-0.996067047,0.637574613,-0.162402809,-1.165590167,0.44428277,-0.002531861,-1.036702394,0.640905082,0.3511675,-0.950094879,0.595683575,0.148578346,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,4,0,0,6,6,31,15,33,10,15,14,1,3,2,0,7,3,13,39,0,0,13,54,6,7,94,4,25,102,3,22,-0.996067047,0.637574613,-0.162402809,-1.165590167,0.44428277,-0.002531861,-1.036702394,0.640905082,0.3511675,-0.950094879,0.595683575,0.148578346,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,4,1,0,3,4,32,14,33,8,17,16,1,2,1,0,10,3,15,37,1,0,11,55,7,5,90,0,24,102,0,23,-0.996078312,0.637567699,-0.162397414,-1.165611625,0.444290012,-0.002501999,-1.036792159,0.640869915,0.351012856,-0.95010525,0.595626652,0.148611262,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,3,0,5,4,30,16,33,5,16,13,4,0,1,8,2,3,15,41,0,1,15,53,10,3,91,1,25,105,2,20,-0.996087372,0.637554049,-0.162386611,-1.165598631,0.444291592,-0.002493042,-1.036888838,0.64085722,0.350973636,-0.9501127,0.595709443,0.148587599,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
6,15,7,2,0,3,26,18,36,5,15,14,8,3,2,2,2,11,16,38,4,0,14,58,10,2,91,2,25,101,2,23,-0.996087372,0.637554049,-0.162386611,-1.165598631,0.444291592,-0.002493042,-1.036888838,0.64085722,0.350973636,-0.9501127,0.595709443,0.148587599,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,0,2,0,9,3,26,14,35,5,17,15,1,2,2,0,1,4,15,40,1,1,13,54,8,1,94,3,20,100,4,22,-0.996094048,0.637548983,-0.162378326,-1.16559875,0.44429484,-0.002480354,-1.036895514,0.640918016,0.350906104,-0.950123727,0.59574461,0.148589298,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
