time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
313.21,81.61,-114.81,-75.32,-0.26,0.55,0.53,0.02,0.09,-0.48,0,0,0,0,0,780,852,687,803,0,276,747,440,272,1
313.31,81.79,-78.35,-76.39,-0.48,0.63,0.56,-0.06,0.15,-0.49,0,0,0,0,0,729,795,623,769,0,284,790,471,270,1
313.42,137.5,-26.1,-85.8,-0.61,0.38,0.67,-0.1,0.22,-0.49,0,0,0,0,0,700,781,602,757,0,262,817,481,278,1
313.52,108.91,12.37,-82.99,-0.5,0.56,0.83,-0.12,0.29,-0.49,0,0,0,0,1,677,785,598,755,0,237,824,486,269,1
313.63,55.16,7.72,-43.45,-0.4,0.49,0.91,-0.12,0.36,-0.47,0,0,0,0,0,675,791,597,750,0,226,818,484,255,1
313.74,45.33,11.97,-14.33,-0.26,0.37,0.96,-0.12,0.41,-0.46,0,0,0,0,0,673,802,597,753,0,228,810,480,257,1
313.84,5.83,10.83,-16.1,-0.25,0.35,0.88,-0.12,0.44,-0.46,0,0,0,0,0,674,810,594,751,0,224,803,478,254,1
313.95,28.03,20.55,4.55,-0.27,0.16,0.79,-0.11,0.45,-0.45,0,0,0,0,0,663,803,592,741,0,230,794,465,242,1
314.05,-2.93,-18.74,2.33,-0.18,0.13,1.1,-0.09,0.46,-0.45,0,0,0,0,0,656,789,591,764,0,231,737,439,233,1
314.16,-3.49,-20.97,12.85,-0.25,0.49,0.65,-0.1,0.44,-0.47,0,0,0,0,0,659,779,594,786,0,228,688,440,235,1
314.26,2.68,-8.5,6.12,-0.38,0.24,0.9,-0.11,0.46,-0.46,0,0,0,0,0,666,782,609,804,1,225,684,443,230,1
314.37,7.76,-1.66,4.81,-0.27,0.24,0.85,-0.11,0.46,-0.46,0,0,0,0,0,670,791,616,808,0,217,687,446,228,1
314.48,8.06,0.11,0.81,-0.34,0.22,0.89,-0.11,0.47,-0.45,0,0,0,1,0,671,789,617,809,0,214,686,450,229,1
314.58,2.87,0.44,1.63,-0.32,0.19,0.89,-0.1,0.47,-0.44,0,0,0,0,0,670,790,613,809,0,218,686,454,230,1
314.69,3.18,1.7,0.5,-0.32,0.2,0.9,-0.1,0.47,-0.45,0,0,0,1,0,670,793,617,809,0,218,685,458,233,1
314.79,0.72,2.13,-1.8,-0.32,0.23,0.87,-0.1,0.47,-0.45,0,1,0,0,0,670,795,617,810,0,218,686,457,235,1
314.9,3.43,0.98,0.38,-0.3,0.2,0.88,-0.1,0.47,-0.45,0,0,0,0,0,670,797,617,809,0,214,686,458,231,1
315,2.48,1.49,0.41,-0.31,0.19,0.91,-0.1,0.47,-0.45,0,0,0,0,0,671,799,617,812,0,213,689,457,235,1
315.11,0.88,2.13,-1.38,-0.32,0.2,0.9,-0.1,0.47,-0.45,0,0,0,0,0,669,801,617,812,0,215,688,458,235,1
315.21,-6.41,7.19,-17.47,-0.32,0.2,0.96,-0.11,0.46,-0.45,0,0,0,0,0,668,801,613,805,0,208,688,455,243,1
315.32,-9.14,1.09,-17.51,-0.27,0.27,0.86,-0.11,0.45,-0.46,0,0,0,0,0,667,800,610,802,0,220,683,450,246,1
315.43,9.9,-5.12,3.31,-0.25,0.27,0.87,-0.11,0.45,-0.46,0,0,0,0,1,668,802,611,807,0,222,686,454,245,1
315.53,13.63,-5.92,8.53,-0.31,0.28,0.89,-0.12,0.45,-0.46,0,0,0,0,0,668,803,614,812,0,226,687,458,247,1
315.64,8.11,-2.11,-4.29,-0.3,0.24,0.92,-0.11,0.46,-0.46,0,0,0,0,0,670,804,614,812,0,229,689,458,252,1
315.74,5.96,-0.02,-1.43,-0.3,0.23,0.91,-0.12,0.45,-0.45,0,0,0,0,0,672,804,615,813,0,230,689,460,248,1
315.85,4.56,-1.18,3.81,-0.31,0.27,0.87,-0.12,0.45,-0.46,0,0,0,0,0,670,804,615,811,1,232,688,463,249,1
315.95,0.53,2.77,-0.38,-0.3,0.26,0.9,-0.12,0.46,-0.45,0,0,0,0,0,670,805,615,810,0,232,690,464,250,1
316.06,3.84,3.18,2.25,-0.29,0.26,0.86,-0.12,0.45,-0.45,0,0,0,0,0,670,804,613,808,0,233,689,461,251,1
316.17,3.58,4.64,-0.49,-0.29,0.25,0.91,-0.12,0.45,-0.46,0,0,0,0,0,671,803,612,809,0,228,690,461,247,1
316.27,31.65,25.85,-37.12,-0.31,0.46,0.97,-0.11,0.45,-0.45,0,0,0,0,0,669,811,613,808,0,241,754,476,254,1
316.38,-34.48,-5.55,-1.07,-0.04,0.14,1.34,-0.11,0.46,-0.45,0,0,0,0,0,727,844,610,795,0,284,789,482,259,1
316.48,-128.41,8,63.35,-0.24,0.88,0.71,-0.12,0.31,-0.5,0,1,0,0,0,725,828,601,752,0,280,785,483,274,1
316.59,-149.46,37.38,105.55,-0.34,0.72,0.64,-0.1,0.21,-0.5,0,0,0,0,0,722,810,606,727,0,282,770,473,280,1
316.69,-134.76,69.4,106.29,-0.37,0.6,0.55,-0.07,0.09,-0.47,0,0,0,0,0,725,808,628,732,0,307,717,432,278,1
316.8,-43.57,95.72,82.24,-0.33,0.49,0.47,-0.03,0.02,-0.45,0,0,0,0,0,735,828,674,771,0,296,689,372,276,1
316.9,-2.2,78.96,54.57,-0.32,0.59,0.48,0,-0.01,-0.42,0,0,0,0,0,774,853,711,800,0,276,673,353,279,1
317.01,66.72,41.9,41.86,-0.48,0.58,0.5,0.03,0,-0.44,0,0,0,0,0,779,867,715,803,0,245,663,362,294,1
317.11,7.17,21.22,21.6,-0.48,0.52,0.64,0.05,0.03,-0.44,0,0,0,0,0,786,884,728,811,0,249,668,428,339,1
317.22,23.41,15.27,15.99,-0.44,0.49,0.76,0.05,0.05,-0.46,0,0,0,0,0,795,904,735,815,0,268,678,410,346,1
317.33,4.78,-2.94,10.19,-0.47,0.58,0.64,0.06,0.05,-0.45,0,0,0,1,0,799,911,735,819,0,282,681,407,349,1
317.43,0.76,3.99,8.61,-0.47,0.52,0.66,0.05,0.05,-0.45,0,0,0,0,1,801,923,736,823,0,288,683,425,353,1
317.54,-1.02,3.9,-1.09,-0.47,0.5,0.66,0.05,0.04,-0.45,0,0,0,0,0,804,926,735,822,0,287,681,430,354,1
317.64,-8.36,8.59,-0.63,-0.48,0.61,0.66,0.05,0.04,-0.44,0,0,0,0,0,806,932,731,825,0,290,681,427,355,1
317.75,0.88,12.64,8.11,-0.44,0.58,0.63,0.06,0.02,-0.44,0,0,0,0,0,807,933,730,829,0,289,682,405,353,1
317.85,1.15,9.62,-0.02,-0.46,0.5,0.68,0.07,0.01,-0.44,0,0,0,0,0,808,933,731,828,0,291,682,402,348,1
317.96,5.67,7.19,-4.72,-0.45,0.58,0.68,0.08,0.02,-0.43,0,0,0,0,0,806,930,724,818,0,286,680,400,348,1
318.07,9.57,2.52,-3.01,-0.42,0.58,0.74,0.08,0.03,-0.44,0,0,0,0,0,803,930,721,816,0,283,677,426,349,1
318.17,2.4,-2.41,-1.58,-0.41,0.64,0.68,0.09,0.02,-0.43,0,0,0,0,0,803,928,721,806,0,280,677,441,346,1
318.28,-0.66,-3.39,1.61,-0.41,0.6,0.68,0.09,0.02,-0.44,0,0,0,0,0,802,926,719,805,0,275,674,434,343,1
318.38,-3.48,-3.18,2.81,-0.42,0.62,0.65,0.08,0.02,-0.44,0,0,1,0,0,802,926,722,807,0,276,673,428,341,1
318.49,2.69,-3.67,0.55,-0.41,0.59,0.66,0.08,0.01,-0.43,0,0,0,0,0,801,925,717,806,0,269,670,422,341,1
318.59,0.05,-3.12,1.41,-0.43,0.63,0.61,0.08,0.01,-0.43,0,0,0,0,0,800,924,714,805,0,267,668,435,339,1
318.7,9.33,-4.2,2.4,-0.43,0.57,0.65,0.07,0.01,-0.43,0,0,0,0,0,799,923,716,806,0,270,671,438,342,1
318.8,14.69,-2.33,0.96,-0.41,0.55,0.67,0.07,0.01,-0.43,0,0,0,0,0,799,923,715,805,0,273,671,441,343,1
318.91,4.23,-4.72,-4.24,-0.45,0.65,0.63,0.07,0.02,-0.43,0,0,0,0,0,798,923,713,803,0,272,669,440,344,1
319.02,0.23,4.31,6.65,-0.46,0.65,0.64,0.08,0.02,-0.44,0,0,0,0,0,798,921,715,803,0,271,669,441,343,1
319.12,6.17,0.52,6.82,-0.42,0.58,0.64,0.07,0.02,-0.43,0,0,1,0,0,797,921,717,804,0,273,671,446,344,1
319.23,4.44,1.97,2.07,-0.43,0.58,0.57,0.08,0.01,-0.43,0,0,0,0,0,797,921,717,805,0,273,671,448,344,1
319.33,13.63,5.35,-1.37,-0.42,0.55,0.65,0.08,0.02,-0.43,0,0,0,0,0,799,923,721,808,0,269,671,438,341,1
322.52,-10.52,-1.57,-5.52,-0.29,0.58,0.63,-0.2,0.25,-0.46,0,0,0,0,0,764,877,713,807,1,160,689,172,212,1
322.62,-2.41,11.11,-6.42,-0.31,0.74,0.61,-0.19,0.24,-0.46,0,0,0,0,0,764,878,715,810,0,159,697,171,215,1
322.73,-2.34,5.22,0.54,-0.24,0.77,0.7,-0.18,0.24,-0.47,1,0,0,0,0,767,881,722,811,0,160,697,172,217,1
322.83,-3.92,-5.98,4.51,-0.25,0.72,0.65,-0.18,0.24,-0.46,0,0,0,0,0,767,880,723,810,0,161,690,171,218,1
322.94,1.24,-7.45,5.18,-0.27,0.71,0.62,-0.19,0.24,-0.46,1,0,0,0,0,767,880,718,808,0,163,689,172,219,1
323.04,-6.44,-4.84,0.87,-0.29,0.66,0.58,-0.19,0.24,-0.46,0,0,0,0,0,765,878,712,805,0,163,686,171,219,1
323.15,0.03,5.85,0,-0.3,0.73,0.55,-0.19,0.23,-0.46,0,0,0,0,0,765,878,711,805,0,162,687,172,219,1
323.25,8,5.28,-0.48,-0.27,0.66,0.68,-0.19,0.24,-0.46,0,0,0,0,0,765,879,714,805,0,165,689,170,220,1
323.36,3.2,0.57,0.27,-0.25,0.69,0.64,-0.18,0.23,-0.46,0,0,0,0,0,764,879,713,805,0,163,689,169,220,1
