time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
74.25,3.3,12.92,2.9,-0.2,0.8,0.64,-0.19,0.18,-0.45,0,0,0,0,0,668,880,668,675,0,54,597,318,145,1
74.36,-0.43,-2.26,0.6,-0.24,0.78,0.62,-0.18,0.18,-0.45,0,0,0,0,0,666,880,666,674,0,54,599,318,146,1
74.46,1.89,-1.57,2.18,-0.2,0.81,0.54,-0.19,0.18,-0.45,0,0,0,0,0,664,878,665,667,0,50,597,318,147,1
74.57,15.3,-11.31,2.13,-0.23,0.74,0.52,-0.2,0.18,-0.44,0,0,0,0,0,661,877,664,666,0,46,596,318,148,1
74.68,5.17,-0.33,-3.17,-0.23,0.81,0.53,-0.2,0.18,-0.45,0,0,0,0,0,665,879,667,670,0,47,598,321,149,1
74.78,10.61,-4.57,-0.17,-0.25,0.8,0.54,-0.2,0.18,-0.44,0,0,0,0,0,668,878,669,673,0,48,598,322,148,1
74.89,1.54,11.7,4.16,-0.25,0.79,0.52,-0.2,0.18,-0.45,0,0,0,0,0,666,880,669,674,0,49,598,322,149,1
74.99,3.53,10.32,4.54,-0.22,0.75,0.58,-0.19,0.18,-0.46,0,0,0,0,0,665,881,672,675,0,50,598,319,148,1
75.1,-2.58,-1.32,2.69,-0.23,0.78,0.6,-0.18,0.18,-0.45,0,0,0,0,0,665,880,670,670,0,50,596,320,152,1
75.21,-3.37,-1.23,3.06,-0.18,0.83,0.52,-0.18,0.17,-0.45,0,0,0,0,0,663,878,667,668,1,50,597,318,152,1
75.31,11.95,-7.96,3.4,-0.23,0.8,0.46,-0.2,0.17,-0.45,0,0,0,0,0,662,877,666,665,0,46,593,318,152,1
75.42,-3.42,13.69,0.6,-0.24,0.81,0.48,-0.19,0.17,-0.44,0,0,0,0,0,662,877,667,668,1,47,595,318,149,1
75.52,15.97,-7.4,-0.36,-0.22,0.82,0.58,-0.19,0.16,-0.45,0,0,0,0,0,667,879,670,669,0,48,597,318,151,1
75.63,5.97,-2.36,1.47,-0.25,0.8,0.49,-0.19,0.17,-0.45,0,0,0,0,0,664,878,668,670,0,51,595,321,153,1
75.73,-4.03,2.76,0.04,-0.17,0.86,0.5,-0.19,0.16,-0.45,0,0,0,0,0,663,878,670,669,0,51,597,320,151,1
75.84,-1.53,-4.63,1.52,-0.21,0.85,0.46,-0.2,0.16,-0.45,0,0,0,0,0,663,879,669,669,1,51,597,323,152,1
75.94,5.97,2.6,4.07,-0.23,0.82,0.5,-0.19,0.17,-0.44,0,0,0,0,0,662,879,670,670,1,51,598,322,152,1
76.05,5.72,-0.13,3.03,-0.24,0.78,0.52,-0.2,0.16,-0.45,0,0,0,0,0,663,879,671,671,0,51,598,322,154,1
76.15,5.04,-1.51,0.72,-0.24,0.82,0.5,-0.2,0.17,-0.44,0,0,0,0,0,662,879,669,670,0,51,597,321,153,1
76.26,4.11,-3.12,-1.53,-0.2,0.84,0.5,-0.2,0.16,-0.44,0,0,0,0,0,664,878,671,670,0,51,598,322,154,1
76.37,1.37,-1.99,-0.51,-0.21,0.82,0.47,-0.2,0.16,-0.45,0,0,0,0,0,664,879,670,676,0,52,598,322,153,1
76.47,3.67,2.13,1.32,-0.23,0.81,0.5,-0.2,0.16,-0.43,0,0,0,1,0,664,881,671,675,0,52,599,324,153,1
76.58,0.86,1.44,3.1,-0.22,0.86,0.47,-0.2,0.16,-0.44,0,0,0,0,0,665,880,670,674,0,57,598,323,153,1
76.68,4.96,0.6,3.16,-0.21,0.82,0.49,-0.2,0.16,-0.44,0,0,0,0,0,664,880,672,675,0,56,598,323,154,1
76.79,4.33,0.21,2.06,-0.24,0.78,0.53,-0.2,0.16,-0.45,1,0,0,0,0,664,881,672,674,0,56,598,323,154,1
76.89,2.41,-1.78,-1.15,-0.23,0.8,0.5,-0.2,0.16,-0.44,0,0,0,0,0,663,880,672,673,0,56,598,323,154,1
77,1.41,-2.42,-2.97,-0.21,0.79,0.53,-0.2,0.16,-0.44,0,0,0,0,0,664,880,671,671,0,55,600,324,154,1
77.11,-0.25,-0.94,-1.72,-0.21,0.86,0.47,-0.2,0.16,-0.44,0,0,0,0,0,665,880,672,675,0,56,600,324,154,1
77.21,5.97,0.3,2.27,-0.22,0.84,0.49,-0.21,0.15,-0.44,0,0,0,0,0,665,880,672,676,0,57,600,325,153,1
77.32,9.87,-2.68,3.09,-0.24,0.81,0.49,-0.21,0.16,-0.43,0,0,0,0,0,665,878,672,675,0,55,600,325,153,1
77.42,1.18,2.23,0.94,-0.21,0.8,0.53,-0.21,0.16,-0.44,0,0,0,0,0,665,881,672,676,0,57,600,325,153,1
77.53,0.24,-7.66,-0.94,-0.22,0.84,0.49,-0.2,0.16,-0.44,0,0,0,0,0,665,880,671,675,0,59,599,325,153,1
77.63,1.44,1.93,0.94,-0.23,0.83,0.45,-0.21,0.16,-0.44,0,0,0,0,0,665,878,670,670,0,56,600,326,153,1
77.74,4.45,0.85,1.78,-0.2,0.82,0.48,-0.21,0.15,-0.44,0,0,0,0,0,664,879,670,671,0,59,600,326,152,1
77.84,8,1.28,3.02,-0.24,0.84,0.47,-0.21,0.15,-0.44,0,0,0,0,0,664,880,670,672,0,59,601,325,153,1
77.95,5.41,3.3,1.63,-0.22,0.82,0.54,-0.21,0.16,-0.43,0,0,0,0,0,666,881,673,676,0,60,601,326,154,1
78.06,-0.91,-1.06,0.94,-0.22,0.83,0.49,-0.2,0.15,-0.43,1,0,0,0,0,666,880,673,676,0,60,601,326,154,1
78.16,1.04,-2.68,0.32,-0.23,0.84,0.46,-0.21,0.15,-0.43,0,0,0,0,0,665,880,672,677,0,58,601,326,154,1
78.27,-1.38,2.15,1.09,-0.21,0.83,0.49,-0.21,0.15,-0.43,0,0,0,0,0,665,879,671,675,0,58,601,327,154,1
78.37,-0.98,-2.62,0.03,-0.21,0.83,0.48,-0.2,0.15,-0.43,0,0,0,0,0,664,880,672,674,0,60,601,326,155,1
78.48,0.67,0.41,1.56,-0.22,0.84,0.46,-0.2,0.15,-0.43,0,0,0,0,0,666,880,672,675,0,59,601,326,155,1
78.58,3.4,-2.01,1.92,-0.22,0.87,0.45,-0.21,0.14,-0.43,0,0,0,0,0,665,878,673,674,0,59,601,326,154,1
78.69,7.18,0.11,2.23,-0.21,0.84,0.44,-0.21,0.14,-0.43,0,0,0,0,0,665,879,671,670,0,60,601,326,155,1
78.79,7.79,1.33,1.9,-0.22,0.81,0.5,-0.21,0.15,-0.43,0,0,0,0,0,666,879,674,676,0,59,602,327,155,1
78.9,-1.38,-0.63,-0.66,-0.22,0.81,0.5,-0.21,0.14,-0.43,0,0,0,0,0,666,879,673,677,0,59,600,328,156,1
79.01,-0.81,-2.29,0.46,-0.22,0.85,0.44,-0.21,0.14,-0.43,0,0,0,0,0,665,880,672,676,0,59,601,327,155,1
79.11,6.83,-1.09,2.5,-0.21,0.83,0.46,-0.21,0.15,-0.43,0,0,0,0,0,665,879,673,675,0,59,601,328,156,1
79.22,5.49,0.55,1.58,-0.21,0.83,0.46,-0.21,0.15,-0.44,0,0,0,0,0,665,879,671,673,0,59,601,327,155,1
79.32,6.11,3.45,0.76,-0.21,0.86,0.46,-0.21,0.15,-0.43,0,0,0,0,0,665,879,671,674,0,60,601,327,156,1
79.43,3.43,2.47,1.58,-0.22,0.87,0.46,-0.21,0.15,-0.43,0,0,0,0,0,666,879,673,671,0,59,602,328,156,1
79.53,4.91,-2.16,1.95,-0.22,0.85,0.48,-0.21,0.15,-0.44,0,0,0,1,0,666,880,674,676,0,60,602,332,156,1
79.64,3.91,-2.83,0.77,-0.22,0.84,0.46,-0.21,0.15,-0.43,0,0,0,0,0,665,879,672,675,0,61,601,333,157,1
79.75,3.91,-0.95,1.85,-0.21,0.84,0.45,-0.21,0.15,-0.44,0,0,0,0,0,666,879,673,675,0,60,601,329,157,1
79.85,7.96,0.77,3.69,-0.24,0.79,0.49,-0.21,0.14,-0.44,1,0,0,0,0,666,881,673,676,0,60,601,333,156,1
79.96,5.91,1.41,2.11,-0.21,0.83,0.5,-0.21,0.14,-0.43,0,0,0,0,0,666,879,674,674,0,60,602,333,157,1
80.06,1.4,-1.07,-1.19,-0.23,0.85,0.45,-0.21,0.15,-0.44,0,0,0,0,0,664,880,673,674,0,60,602,333,157,1
80.17,7.37,-0.91,1.11,-0.2,0.84,0.47,-0.22,0.14,-0.44,0,0,0,0,0,666,880,673,674,0,60,600,333,156,1
80.27,7.01,-0.75,1.61,-0.22,0.83,0.49,-0.22,0.15,-0.43,0,0,0,0,0,663,880,672,672,0,60,601,332,156,1
80.38,-0.24,-1.2,0.38,-0.21,0.86,0.47,-0.21,0.15,-0.43,0,0,0,0,0,667,879,674,675,0,60,601,334,156,1
80.48,0.27,1.43,1.72,-0.22,0.87,0.43,-0.21,0.14,-0.43,0,0,0,0,0,666,879,673,675,0,59,600,333,156,1
80.59,5.96,0.98,2.86,-0.22,0.82,0.48,-0.21,0.14,-0.43,0,0,0,0,0,667,880,673,675,0,59,601,332,157,1
80.69,3.94,-0.22,1.7,-0.23,0.82,0.48,-0.22,0.14,-0.43,0,0,0,0,0,665,880,673,674,0,60,601,333,157,1
80.8,1.94,-2,-0.52,-0.21,0.83,0.46,-0.21,0.14,-0.43,0,0,0,0,0,666,878,671,673,0,60,598,334,157,1
80.91,6.78,0.04,0.65,-0.21,0.83,0.46,-0.21,0.14,-0.44,0,0,0,0,0,666,879,671,672,0,60,599,333,157,1
81.01,2.82,1.09,0.54,-0.2,0.86,0.46,-0.21,0.14,-0.43,0,0,0,0,0,665,880,671,671,0,58,600,333,157,1
81.12,7.53,-2.21,1,-0.22,0.84,0.48,-0.22,0.15,-0.43,0,0,0,0,0,667,880,671,672,0,59,601,333,156,1
81.22,2.07,-1.69,1.88,-0.21,0.85,0.47,-0.22,0.14,-0.43,0,0,0,0,0,667,880,673,675,0,60,600,334,156,1
81.33,0.62,0.73,2.01,-0.23,0.84,0.44,-0.22,0.14,-0.43,0,0,0,0,0,665,880,672,675,0,60,601,334,156,1
81.43,1.71,-0.7,0.46,-0.21,0.84,0.46,-0.22,0.14,-0.43,0,0,0,0,0,666,879,672,675,0,61,601,333,157,1
81.54,7.51,-0.87,1.06,-0.21,0.84,0.49,-0.21,0.14,-0.43,0,0,0,0,0,667,880,673,674,0,61,601,331,157,1
81.64,1.41,-0.72,1.92,-0.21,0.83,0.47,-0.22,0.14,-0.42,0,0,0,0,0,666,879,672,670,0,61,600,333,156,1
81.75,1.15,0.48,1.08,-0.21,0.85,0.44,-0.22,0.14,-0.43,0,0,0,0,0,666,879,671,671,0,61,601,333,157,1
