time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
66.96,3.31,0.36,1.24,0.11,-0.98,-0.13,-0.05,0.48,0.33,0,0,0,0,0,564,748,363,755,0,552,536,614,237,3
67.06,4.87,-0.37,1.8,0.11,-0.98,-0.14,-0.06,0.47,0.34,0,0,0,0,0,565,749,363,757,0,553,535,613,237,3
67.17,5.61,0.36,1.14,0.11,-0.99,-0.12,-0.05,0.48,0.33,0,0,0,0,0,564,748,363,756,0,551,536,613,236,3
67.27,3.65,-0.72,2.13,0.12,-0.98,-0.13,-0.06,0.48,0.32,0,0,0,0,0,564,749,364,755,0,553,535,614,236,3
67.38,4.71,-0.31,2.61,0.12,-1.01,-0.13,-0.06,0.48,0.33,0,0,0,0,0,564,749,364,757,0,553,536,614,236,3
67.48,3.36,0.47,1.37,0.11,-1,-0.14,-0.05,0.48,0.33,0,0,0,0,0,564,749,367,758,0,552,536,614,237,3
67.59,3.82,1.54,0.78,0.11,-1,-0.13,-0.05,0.48,0.33,0,0,0,0,0,564,749,365,758,0,552,536,615,236,3
67.69,3.15,1.9,1.39,0.1,-1.01,-0.11,-0.05,0.48,0.33,0,0,0,0,0,564,748,365,756,0,553,536,617,237,3
67.8,0.6,-0.34,1.76,0.12,-0.98,-0.14,-0.06,0.48,0.32,0,0,0,0,0,564,747,363,755,0,553,536,616,236,3
67.91,5.58,-0.65,1.58,0.12,-1,-0.12,-0.06,0.48,0.33,0,0,0,0,0,565,747,362,754,0,552,535,616,236,3
68.01,4.3,-0.72,1.05,0.12,-0.98,-0.12,-0.06,0.48,0.33,0,0,0,0,0,564,746,363,754,0,552,536,616,235,3
68.12,4.52,-0.67,2.54,0.12,-0.98,-0.13,-0.06,0.48,0.33,0,0,0,0,0,564,746,362,754,0,552,536,616,235,3
68.22,3.42,-0.19,1.96,0.12,-1.02,-0.11,-0.05,0.48,0.33,0,0,0,0,0,564,748,363,754,0,552,537,617,236,3
68.33,0.74,-0.52,1.69,0.12,-0.99,-0.14,-0.05,0.48,0.33,0,0,0,0,0,564,750,363,754,0,552,536,616,236,3
68.43,2.84,-0.42,1.74,0.12,-0.98,-0.14,-0.05,0.48,0.33,0,0,0,0,0,565,748,364,754,0,552,536,616,236,3
68.54,4.22,-0.17,1.25,0.12,-0.99,-0.13,-0.05,0.48,0.33,0,0,0,0,0,564,748,364,754,0,552,535,616,236,3
68.64,5.12,-0.67,1.49,0.12,-1,-0.13,-0.05,0.48,0.33,0,0,0,0,0,564,749,364,754,0,552,536,616,236,3
68.75,6.05,-0.3,-0.31,0.12,-1.03,-0.12,-0.05,0.48,0.33,0,0,0,0,0,564,750,364,755,0,552,535,616,236,3
68.86,3.53,0.61,-2.04,0.11,-1,-0.16,-0.05,0.47,0.33,0,0,0,0,0,564,749,364,754,0,552,536,615,236,3
68.96,4.11,1.01,-3.29,0.12,-0.97,-0.14,-0.06,0.47,0.33,0,0,0,0,0,564,748,362,753,0,552,535,616,236,3
69.07,7.49,0.12,-3.82,0.11,-1,-0.14,-0.06,0.47,0.33,0,0,0,0,0,562,748,362,752,0,551,535,615,236,3
69.17,-4.48,-3.03,-8.02,0.06,-0.99,-0.18,-0.06,0.47,0.32,0,0,0,0,0,563,748,361,751,0,551,534,614,234,3
69.28,9.79,1.35,-2.49,0.08,-0.93,-0.16,-0.06,0.47,0.33,0,0,0,0,0,563,747,362,751,0,551,533,612,235,3
69.38,5.05,-1.09,2.12,0.06,-0.97,-0.15,-0.07,0.48,0.33,0,0,0,0,0,562,747,363,750,0,550,533,611,235,3
69.49,6.26,0.04,3.98,0.06,-1,-0.16,-0.06,0.47,0.33,0,0,0,0,0,562,748,363,751,1,544,533,611,235,3
69.6,3.33,-0.23,0.45,0.08,-1.03,-0.15,-0.06,0.47,0.33,0,0,0,0,0,562,747,362,750,0,549,533,611,234,3
69.7,1.82,-0.08,-3.69,0.09,-1.02,-0.13,-0.06,0.47,0.33,0,0,0,0,0,562,744,361,749,0,550,533,611,236,3
69.81,-11.75,-0.04,-12.24,0.05,-1.04,-0.13,-0.07,0.48,0.32,0,0,0,0,0,562,745,363,749,0,551,534,604,236,3
69.91,4.55,3.63,-16.24,0,-1.03,-0.11,-0.07,0.48,0.32,0,0,0,0,0,563,731,366,749,0,556,529,607,237,3
70.02,-0.29,0.41,-18.89,-0.02,-0.99,-0.12,-0.08,0.48,0.32,0,0,0,0,0,568,707,353,749,0,560,540,611,240,3
70.12,1.12,-1.37,-19.7,-0.05,-1.01,-0.18,-0.09,0.49,0.32,0,0,0,0,0,570,682,329,745,0,565,546,610,244,3
70.23,9.83,-1.2,-22.36,-0.11,-1.03,-0.19,-0.1,0.5,0.31,0,0,0,0,0,571,667,315,742,0,569,552,611,245,3
70.33,8.78,6.36,-28.42,-0.16,-1.09,-0.11,-0.11,0.5,0.31,0,0,0,0,0,570,642,301,736,0,575,555,612,248,3
70.44,3.38,8.55,-38.76,-0.18,-1.06,-0.08,-0.13,0.5,0.3,0,0,0,0,0,568,620,290,728,0,581,559,612,250,3
70.54,6.47,0.58,-37.98,-0.25,-0.98,-0.1,-0.16,0.5,0.3,0,0,0,0,0,564,617,282,719,0,586,564,615,248,3
70.65,9.2,0.31,-36.72,-0.37,-0.8,-0.18,-0.19,0.49,0.29,0,0,0,0,0,556,613,261,700,0,591,564,623,246,3
70.76,-9.2,7.75,-19.77,-0.49,-0.96,-0.06,-0.21,0.48,0.28,0,0,0,0,0,552,608,253,694,0,590,570,629,244,3
70.86,-5.82,-15.39,-12.03,-0.54,-0.91,-0.12,-0.21,0.48,0.27,0,0,1,0,0,550,609,247,687,0,592,585,638,234,3
70.97,-49.41,-27.4,10.47,-0.42,-1.16,0,-0.2,0.49,0.27,0,0,0,0,0,553,629,250,686,0,594,593,654,229,3
