time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
96.22,6.95,0.58,0.06,-0.23,0.87,0.41,-0.23,0.13,-0.41,0,0,0,0,0,667,880,675,675,0,67,603,343,160,3
96.32,5.52,0.31,1.76,-0.21,0.86,0.43,-0.23,0.13,-0.42,0,0,0,0,0,667,880,674,677,0,67,603,344,161,3
96.43,7.45,-1.08,2.9,-0.22,0.86,0.44,-0.23,0.13,-0.41,0,0,0,0,0,668,880,674,676,0,68,604,343,161,3
96.53,2.69,-1.18,0.97,-0.22,0.84,0.44,-0.24,0.13,-0.41,1,0,0,0,0,668,880,675,676,0,67,604,343,159,3
96.64,-1.09,0.15,0.19,-0.21,0.87,0.4,-0.23,0.13,-0.41,0,0,0,0,0,667,879,674,675,0,68,603,343,161,3
96.75,3.12,1.08,1.49,-0.23,0.9,0.37,-0.24,0.13,-0.41,0,0,0,0,0,668,879,673,671,0,68,603,344,159,3
96.85,9.54,-0.77,2.86,-0.23,0.84,0.43,-0.23,0.13,-0.41,0,0,0,0,0,668,879,674,671,0,68,603,343,160,3
96.96,5.75,0.26,1.99,-0.23,0.83,0.46,-0.23,0.13,-0.41,0,0,0,0,0,666,880,673,671,0,67,603,344,160,3
97.06,1.09,5.47,0.8,-0.21,0.83,0.45,-0.23,0.13,-0.41,0,0,0,0,0,667,880,674,672,0,68,602,344,161,3
97.17,2.94,-4.54,-0.76,-0.2,0.86,0.49,-0.23,0.13,-0.42,0,0,0,0,0,669,880,675,677,0,68,602,344,160,3
97.27,1.76,-2.98,0.93,-0.22,0.9,0.4,-0.23,0.13,-0.42,0,0,0,0,0,667,880,674,675,0,68,603,345,160,3
97.38,2.07,-1.89,1.23,-0.21,0.88,0.38,-0.24,0.13,-0.42,0,0,0,0,0,667,879,671,671,0,67,603,344,160,3
97.48,0.78,3.19,0.02,-0.21,0.86,0.38,-0.24,0.12,-0.41,0,0,0,0,0,668,878,672,672,0,67,602,346,160,3
97.59,3.18,4.4,0.94,-0.2,0.9,0.4,-0.24,0.13,-0.41,0,0,0,0,0,668,879,673,672,0,68,603,347,160,3
97.69,4.18,0.2,2,-0.22,0.86,0.44,-0.23,0.13,-0.42,0,0,0,0,0,667,880,673,673,0,67,602,347,160,3
97.8,3.2,-0.53,1.4,-0.21,0.86,0.41,-0.23,0.13,-0.42,0,0,0,0,0,666,878,674,673,0,68,603,347,160,3
97.91,5.61,-4.35,0.25,-0.2,0.87,0.43,-0.23,0.13,-0.42,0,0,0,0,0,667,879,676,676,0,68,601,346,160,3
98.01,12.93,-10.81,8.78,-0.23,1.32,0.56,-0.23,0.13,-0.42,0,0,0,0,0,680,886,686,690,0,69,636,361,163,3
98.12,-2.02,-73.47,68.46,-0.17,1.14,0.65,-0.27,0.15,-0.41,0,0,0,0,0,673,885,680,682,0,59,647,378,166,3
