S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
31,53,7,1,8,0,0,0,8,5,5,3,3,3,3,1,8,19,28,2,19,31,3,22,22,9,8,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
27,55,10,0,10,0,5,0,11,2,2,0,1,3,3,1,9,22,23,6,17,32,5,24,26,0,0,0,0.0769295319914817,-0.171817481517792,0.126796901226044,-0.187069341540337,-0.33163133263588,0.576364994049072,0.0101865148171782,-0.457228183746338,0.308121979236603,-0.0903459042310714,-0.143347471952438,0.241758972406387,29_Jan_2024_11_15
24,50,11,0,7,0,2,0,9,3,2,3,2,3,2,0,8,22,26,3,15,27,8,22,24,0,0,2,0.0769316703081131,-0.171834871172905,0.126800745725632,-0.18709833920002,-0.331620275974274,0.57635760307312,0.0101655442267656,-0.457223385572433,0.308122873306274,-0.0903553664684295,-0.143352076411247,0.241756454110145,29_Jan_2024_11_15
26,54,11,0,10,0,5,1,11,3,2,5,1,3,0,1,8,21,26,2,17,29,8,21,24,0,1,4,0.0769316703081131,-0.171834871172905,0.126800745725632,-0.18709833920002,-0.331620275974274,0.57635760307312,0.0101655442267656,-0.457223385572433,0.308122873306274,-0.0903553664684295,-0.143352076411247,0.241756454110145,29_Jan_2024_11_15
27,52,11,0,9,2,7,0,7,5,2,9,6,1,1,0,6,20,27,1,14,28,8,20,24,0,1,1,0.0769316703081131,-0.171834871172905,0.126800745725632,-0.18709833920002,-0.331620275974274,0.57635760307312,0.0101655442267656,-0.457223385572433,0.308122873306274,-0.0903553664684295,-0.143352076411247,0.241756454110145,29_Jan_2024_11_15
28,52,12,0,10,0,7,2,11,6,2,3,4,2,2,1,5,21,23,1,15,29,6,17,25,0,0,0,0.0769316703081131,-0.171834871172905,0.126800745725632,-0.18709833920002,-0.331620275974274,0.57635760307312,0.0101655442267656,-0.457223385572433,0.308122873306274,-0.0903553664684295,-0.143352076411247,0.241756454110145,29_Jan_2024_11_15
27,53,13,0,7,0,2,0,9,1,2,1,0,4,5,0,6,21,26,2,15,31,8,15,25,0,2,0,0.0769316703081131,-0.171834871172905,0.126800745725632,-0.18709833920002,-0.331620275974274,0.57635760307312,0.0101655442267656,-0.457223385572433,0.308122873306274,-0.0903553664684295,-0.143352076411247,0.241756454110145,29_Jan_2024_11_15
24,52,12,0,9,2,5,0,7,0,0,1,2,2,2,1,5,19,24,4,14,25,9,22,24,0,1,3,0.0769316703081131,-0.171834871172905,0.126800745725632,-0.18709833920002,-0.331620275974274,0.57635760307312,0.0101655442267656,-0.457223385572433,0.308122873306274,-0.0903553664684295,-0.143352076411247,0.241756454110145,29_Jan_2024_11_15
24,49,11,0,9,3,4,0,8,0,0,2,3,1,1,0,4,20,24,3,13,27,9,20,22,0,0,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
25,47,7,4,9,0,6,0,7,6,0,5,4,3,1,1,9,21,23,4,9,27,7,23,21,3,0,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
