S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
37,10,13,0,10,1,9,0,0,2,1,3,1,6,5,0,9,11,6,12,26,137,5,50,4,0,3,1,0.305610179901123,-0.338255256414413,0.166165769100189,-0.118591919541359,-0.316622644662857,0.561519980430603,0.0139585323631763,-0.495007216930389,0.308624476194382,0.142271623015404,-0.249495789408684,0.254729688167572,29_Jan_2024_11_07
39,12,13,3,10,1,7,1,1,1,1,0,0,1,2,0,1,5,10,15,25,137,9,45,5,0,3,0,0.305769801139831,-0.338581115007401,0.166240140795708,-0.11857908219099,-0.31657287478447,0.561470031738281,0.013950353488326,-0.494973927736282,0.308637499809265,0.142406135797501,-0.249934807419777,0.2547647356987,29_Jan_2024_11_07
37,6,13,7,10,0,3,0,0,0,2,0,0,4,0,3,4,10,8,14,22,132,9,47,6,4,2,1,0.305769801139831,-0.338581115007401,0.166240140795708,-0.11857908219099,-0.31657287478447,0.561470031738281,0.013950353488326,-0.494973927736282,0.308637499809265,0.142406135797501,-0.249934807419777,0.2547647356987,29_Jan_2024_11_07
40,13,15,0,10,0,5,2,0,1,1,3,0,4,1,0,2,11,8,16,26,135,10,46,6,2,2,0,0.305830180644989,-0.338787287473679,0.16620109975338,-0.118568807840347,-0.316513061523437,0.561409115791321,0.0139447841793298,-0.494962215423584,0.308653235435486,0.142525359988213,-0.250362753868103,0.254786342382431,29_Jan_2024_11_07
36,13,11,2,11,0,3,0,1,0,1,2,1,7,2,0,2,14,8,15,23,130,8,46,3,0,2,0,0.305830180644989,-0.338787287473679,0.16620109975338,-0.118568807840347,-0.316513061523437,0.561409115791321,0.0139447841793298,-0.494962215423584,0.308653235435486,0.142525359988213,-0.250362753868103,0.254786342382431,29_Jan_2024_11_07
40,16,14,5,15,0,3,0,0,0,1,0,1,1,3,0,7,10,8,15,24,129,6,44,1,10,2,0,0.305941760540008,-0.339054822921753,0.166210576891899,-0.11856622248888,-0.316450893878937,0.561342775821686,0.0139389149844646,-0.49495005607605,0.308667182922363,0.142631694674492,-0.250774264335632,0.254798322916031,29_Jan_2024_11_07
35,15,11,4,10,0,3,0,0,4,0,7,0,6,4,1,2,12,10,18,24,127,10,46,4,0,2,9,0.30608731508255,-0.339377105236053,0.166303694248199,-0.118573114275932,-0.31637579202652,0.561266362667084,0.0139374220743775,-0.494942545890808,0.308681488037109,0.142722725868225,-0.251168549060821,0.254798889160156,29_Jan_2024_11_07
37,11,13,2,7,0,3,0,0,1,0,2,0,0,3,0,2,8,7,16,24,131,6,41,4,0,4,2,0.30608731508255,-0.339377105236053,0.166303694248199,-0.118573114275932,-0.31637579202652,0.561266362667084,0.0139374220743775,-0.494942545890808,0.308681488037109,0.142722725868225,-0.251168549060821,0.254798889160156,29_Jan_2024_11_07
43,9,13,6,10,0,0,0,1,0,2,0,0,5,2,1,11,13,4,14,25,128,9,48,5,1,10,0,0.306044429540634,-0.339561313390732,0.166195079684258,-0.118586286902428,-0.316305637359619,0.561189770698547,0.0139369666576385,-0.494934350252152,0.308695137500763,0.142807692289352,-0.251553118228912,0.254788845777512,29_Jan_2024_11_07
42,11,7,7,11,0,3,0,0,0,5,3,0,4,3,1,1,9,10,21,23,122,10,45,6,0,5,1,0.306044429540634,-0.339561313390732,0.166195079684258,-0.118586286902428,-0.316305637359619,0.561189770698547,0.0139369666576385,-0.494934350252152,0.308695137500763,0.142807692289352,-0.251553118228912,0.254788845777512,29_Jan_2024_11_07
42,6,11,3,10,0,4,0,4,0,5,3,8,3,5,12,4,12,9,18,25,124,4,44,5,0,9,1,0.306075721979141,-0.339777708053589,0.166190415620804,-0.118603847920895,-0.316251695156097,0.561113774776459,0.0139338914304971,-0.494920611381531,0.308706849813461,0.142876416444778,-0.251927316188812,0.254765331745148,29_Jan_2024_11_07
36,9,12,5,11,0,4,4,1,0,1,4,1,8,1,1,0,12,10,18,25,123,6,42,5,0,8,0,0.306075721979141,-0.339777708053589,0.166190415620804,-0.118603847920895,-0.316251695156097,0.561113774776459,0.0139338914304971,-0.494920611381531,0.308706849813461,0.142876416444778,-0.251927316188812,0.254765331745148,29_Jan_2024_11_07
37,13,12,0,9,1,4,0,1,0,2,1,2,6,7,1,0,16,8,16,20,113,5,40,9,6,2,1,0.30630961060524,-0.340123772621155,0.166414007544517,-0.118625082075596,-0.31622713804245,0.561048150062561,0.0139308432117104,-0.494908154010773,0.308716803789139,0.142938137054443,-0.252284914255142,0.254739671945572,29_Jan_2024_11_07
35,15,17,5,13,0,3,0,0,3,1,3,1,4,3,2,2,14,8,16,27,107,6,38,5,1,2,1,0.30630961060524,-0.340123772621155,0.166414007544517,-0.118625082075596,-0.31622713804245,0.561048150062561,0.0139308432117104,-0.494908154010773,0.308716803789139,0.142938137054443,-0.252284914255142,0.254739671945572,29_Jan_2024_11_07
36,14,13,5,11,0,2,5,0,1,5,2,2,4,4,0,11,9,10,15,23,105,6,41,0,0,4,4,0.306436985731125,-0.340392231941223,0.166538372635841,-0.118637062609196,-0.316221684217453,0.560991644859314,0.013926270417869,-0.494896113872528,0.308723986148834,0.142988041043281,-0.252625644207001,0.254709929227829,29_Jan_2024_11_07
35,12,10,3,12,0,6,0,1,0,3,1,0,5,6,1,2,9,7,14,29,107,5,40,4,0,5,1,0.306436985731125,-0.340392231941223,0.166538372635841,-0.118637062609196,-0.316221684217453,0.560991644859314,0.013926270417869,-0.494896113872528,0.308723986148834,0.142988041043281,-0.252625644207001,0.254709929227829,29_Jan_2024_11_07
35,11,11,2,9,1,6,0,1,2,3,6,0,12,3,0,3,10,9,17,26,105,4,40,5,0,4,8,0.306327670812607,-0.340519607067108,0.166441693902016,-0.118663385510445,-0.316205590963364,0.56093180179596,0.0139207998290658,-0.494882822036743,0.308731108903885,0.143022820353508,-0.252951294183731,0.254674643278122,29_Jan_2024_11_07
35,13,15,9,9,0,6,0,1,0,2,2,1,3,1,0,7,13,11,16,24,106,9,45,5,0,9,2,0.306327670812607,-0.340519607067108,0.166441693902016,-0.118663385510445,-0.316205590963364,0.56093180179596,0.0139207998290658,-0.494882822036743,0.308731108903885,0.143022820353508,-0.252951294183731,0.254674643278122,29_Jan_2024_11_07
35,11,12,1,13,0,6,0,0,1,3,3,3,4,7,3,2,12,7,13,23,100,6,40,6,0,4,3,0.306327670812607,-0.340519607067108,0.166441693902016,-0.118663385510445,-0.316205590963364,0.56093180179596,0.0139207998290658,-0.494882822036743,0.308731108903885,0.143022820353508,-0.252951294183731,0.254674643278122,29_Jan_2024_11_07
34,12,13,3,7,0,5,0,1,1,5,6,1,10,2,0,1,10,10,18,25,109,7,43,5,0,3,0,0.306327670812607,-0.340519607067108,0.166441693902016,-0.118663385510445,-0.316205590963364,0.56093180179596,0.0139207998290658,-0.494882822036743,0.308731108903885,0.143022820353508,-0.252951294183731,0.254674643278122,29_Jan_2024_11_07
30,10,10,3,10,0,6,0,0,2,2,2,0,3,3,0,2,8,11,14,25,103,7,42,5,0,1,0,0.306327670812607,-0.340519607067108,0.166441693902016,-0.118663385510445,-0.316205590963364,0.56093180179596,0.0139207998290658,-0.494882822036743,0.308731108903885,0.143022820353508,-0.252951294183731,0.254674643278122,29_Jan_2024_11_07
32,8,11,2,10,1,3,0,0,1,5,6,0,7,3,0,2,10,10,13,26,104,9,42,5,0,0,0,0.306328803300857,-0.340729296207428,0.166466280817985,-0.118712939321995,-0.316182345151901,0.560870587825775,0.0139160240069031,-0.4948690533638,0.308737635612488,0.143038794398308,-0.253267049789429,0.254628390073776,29_Jan_2024_11_07
36,8,11,3,11,0,3,4,0,2,0,4,0,2,6,1,2,10,6,12,26,104,8,40,1,3,2,0,0.306328803300857,-0.340729296207428,0.166466280817985,-0.118712939321995,-0.316182345151901,0.560870587825775,0.0139160240069031,-0.4948690533638,0.308737635612488,0.143038794398308,-0.253267049789429,0.254628390073776,29_Jan_2024_11_07
33,10,12,0,9,0,4,1,0,1,1,2,2,5,5,0,2,10,9,15,24,96,4,37,9,1,2,1,0.306328803300857,-0.340729296207428,0.166466280817985,-0.118712939321995,-0.316182345151901,0.560870587825775,0.0139160240069031,-0.4948690533638,0.308737635612488,0.143038794398308,-0.253267049789429,0.254628390073776,29_Jan_2024_11_07
35,9,12,5,10,0,0,0,0,1,2,1,8,7,4,0,2,6,8,14,22,93,8,39,3,3,1,0,0.306328803300857,-0.340729296207428,0.166466280817985,-0.118712939321995,-0.316182345151901,0.560870587825775,0.0139160240069031,-0.4948690533638,0.308737635612488,0.143038794398308,-0.253267049789429,0.254628390073776,29_Jan_2024_11_07
29,10,6,5,12,0,2,1,10,1,1,3,0,4,2,2,3,12,4,21,24,95,6,33,2,1,9,1,0.306328803300857,-0.340729296207428,0.166466280817985,-0.118712939321995,-0.316182345151901,0.560870587825775,0.0139160240069031,-0.4948690533638,0.308737635612488,0.143038794398308,-0.253267049789429,0.254628390073776,29_Jan_2024_11_07
35,12,10,1,10,0,7,1,4,2,1,3,0,4,5,0,3,11,7,17,23,93,6,33,12,0,2,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
33,12,9,3,11,7,7,0,1,0,0,1,1,5,4,2,4,8,10,11,24,96,6,31,4,6,1,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
33,10,11,0,11,0,6,6,0,2,1,3,0,5,3,13,5,9,9,14,25,92,8,34,3,2,0,11,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
33,12,10,1,10,6,6,1,0,1,1,2,0,3,2,0,2,8,6,6,25,88,7,35,6,1,0,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
32,11,7,0,7,1,4,13,1,1,0,4,0,6,8,1,4,10,9,10,25,82,7,31,2,1,1,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
