S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
32,11,11,0,11,0,6,0,2,1,3,6,0,9,3,1,0,12,9,14,25,86,7,30,0,0,3,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
32,14,15,2,10,0,6,1,2,0,0,0,0,12,1,0,6,11,9,13,23,84,6,27,0,0,2,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
32,12,10,1,9,0,5,0,1,1,1,8,0,5,0,0,0,10,9,10,20,81,7,31,3,0,2,1,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
31,13,11,4,10,0,4,0,1,1,0,4,1,4,2,1,0,15,8,13,24,89,7,29,0,6,2,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
32,7,11,3,10,0,6,0,1,0,2,2,8,2,0,2,3,12,6,9,23,87,7,32,5,0,0,0,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
38,10,9,1,11,1,5,0,2,1,5,12,1,3,3,3,2,14,11,8,23,85,8,32,3,0,3,1,0.306486159563065,-0.341016978025436,0.166703954339027,-0.118763253092766,-0.316157549619675,0.560813844203949,0.013910973444581,-0.494854748249054,0.308743357658386,0.143037602305412,-0.253573447465897,0.254572719335556,29_Jan_2024_11_07
32,12,11,3,10,0,6,2,1,2,1,3,0,5,3,1,2,11,9,12,25,87,8,32,5,4,1,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
30,11,11,2,9,0,3,0,3,1,3,2,2,3,0,1,3,7,11,12,24,87,8,31,4,0,1,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
32,12,10,10,8,0,3,1,3,1,6,1,5,3,3,1,1,10,10,14,23,87,8,29,2,1,2,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
32,11,11,0,9,0,6,1,1,0,3,1,0,4,0,0,9,9,8,11,26,92,7,31,4,1,9,5,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
30,10,11,1,9,9,5,0,1,1,0,1,0,3,0,2,2,9,11,10,23,89,6,29,2,0,2,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
31,7,10,2,18,0,1,0,1,0,1,3,6,9,1,1,1,10,9,11,22,89,8,30,5,4,2,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
31,8,11,2,10,0,5,0,15,1,0,0,1,4,0,1,1,10,7,10,21,86,7,31,3,0,2,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
31,8,12,2,10,0,6,0,15,0,1,2,0,9,1,0,0,11,9,11,24,89,9,29,2,0,0,13,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
29,10,10,3,10,0,3,0,1,1,1,7,0,2,1,1,2,7,8,9,26,86,6,28,3,0,2,1,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
29,10,10,10,9,0,4,0,1,2,2,5,0,4,13,0,1,8,4,8,23,89,7,29,2,0,2,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
32,9,12,5,10,8,5,0,0,0,1,5,1,0,1,1,5,8,9,12,24,88,8,29,4,0,0,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
33,9,9,1,11,0,4,0,0,0,0,12,1,2,5,1,1,10,9,11,22,91,11,29,2,0,7,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
30,9,13,2,8,0,2,0,1,0,9,3,0,7,1,0,1,9,9,12,23,91,6,25,0,6,2,0,0.306323409080505,-0.341142743825912,0.166639983654022,-0.11882408708334,-0.316118091344833,0.560757040977478,0.0139034362509846,-0.494840383529663,0.308748245239258,0.143024072051048,-0.253866851329803,0.254513323307037,29_Jan_2024_11_07
29,8,9,2,10,0,5,0,0,1,0,0,0,3,6,0,4,8,10,13,24,91,7,26,2,1,0,0,0.306650370359421,-0.341531455516815,0.167032226920128,-0.118890672922134,-0.316078960895538,0.560704171657562,0.0138945337384939,-0.494826704263687,0.308750689029694,0.142997443675995,-0.254147499799728,0.254453241825104,29_Jan_2024_11_07
28,7,8,5,11,0,4,1,0,3,2,6,13,6,0,0,1,8,12,14,21,90,6,24,2,1,2,4,0.306650370359421,-0.341531455516815,0.167032226920128,-0.118890672922134,-0.316078960895538,0.560704171657562,0.0138945337384939,-0.494826704263687,0.308750689029694,0.142997443675995,-0.254147499799728,0.254453241825104,29_Jan_2024_11_07
32,8,10,0,9,0,4,1,1,1,0,4,0,0,1,0,1,8,9,12,21,87,9,28,2,3,2,0,0.306650370359421,-0.341531455516815,0.167032226920128,-0.118890672922134,-0.316078960895538,0.560704171657562,0.0138945337384939,-0.494826704263687,0.308750689029694,0.142997443675995,-0.254147499799728,0.254453241825104,29_Jan_2024_11_07
31,8,46,31,23,0,14,9,11,1,2,0,4,0,16,1,25,1,3,11,22,25,61,195,16,185,8,11,0.306650370359421,-0.341531455516815,0.167032226920128,-0.118890672922134,-0.316078960895538,0.560704171657562,0.0138945337384939,-0.494826704263687,0.308750689029694,0.142997443675995,-0.254147499799728,0.254453241825104,29_Jan_2024_11_07
45,27,21,1,20,2,11,0,6,1,11,0,19,2,19,2,28,9,22,24,62,200,14,182,6,5,3,0,0.306572288274765,-0.341892153024673,0.167106404900551,-0.119035013020039,-0.315995544195175,0.560609936714172,0.0138732260093092,-0.494765967130661,0.308745384216309,0.142899304628372,-0.254662007093429,0.25432413816452,29_Jan_2024_11_07
46,28,24,0,14,0,9,1,9,9,5,3,20,0,15,5,34,14,21,22,60,190,14,178,9,11,2,0,0.306182026863098,-0.342251628637314,0.167113780975342,-0.119286574423313,-0.315846800804138,0.560475885868073,0.0138431088998913,-0.494664341211319,0.308759391307831,0.142637118697166,-0.255345493555069,0.254099309444427,29_Jan_2024_11_07
44,29,24,0,14,0,11,0,5,0,3,0,18,3,13,2,31,12,22,25,64,192,13,176,8,9,5,9,0.30609917640686,-0.342735707759857,0.167529314756393,-0.119592972099781,-0.315707415342331,0.560373187065125,0.013818921521306,-0.494566321372986,0.308784335851669,0.142209261655808,-0.255882620811462,0.253818958997726,29_Jan_2024_11_07
44,31,27,0,15,0,10,0,6,0,4,2,25,0,13,2,29,12,22,26,61,191,18,179,7,6,3,0,0.304868072271347,-0.342785745859146,0.166857838630676,-0.119930125772953,-0.315739572048187,0.560330390930176,0.0138025153428316,-0.494460612535477,0.308820009231567,0.141614109277725,-0.25626528263092,0.253478854894638,29_Jan_2024_11_07
48,29,22,0,12,0,10,0,6,1,3,3,16,1,12,5,38,9,22,25,60,189,14,176,5,6,3,2,0.304007291793823,-0.342827022075653,0.166577488183975,-0.120326906442642,-0.315885156393051,0.560333013534546,0.0138016352429986,-0.494358241558075,0.308858960866928,0.140853002667427,-0.256499946117401,0.253046452999115,29_Jan_2024_11_07
42,25,22,1,15,0,9,0,6,1,6,2,20,5,14,4,38,8,23,25,59,183,13,173,8,6,5,1,0.30336731672287,-0.342918217182159,0.166442304849625,-0.120624378323555,-0.316015720367432,0.560360908508301,0.0138084664940834,-0.494289934635162,0.308887481689453,0.140296593308449,-0.256529957056045,0.252782970666885,29_Jan_2024_11_07
40,28,25,0,13,11,9,0,8,1,5,4,19,2,15,10,33,10,22,26,58,179,13,169,7,6,5,1,0.302238196134567,-0.343110471963882,0.166041955351829,-0.121086709201336,-0.316190302371979,0.560413539409637,0.013818915002048,-0.494171291589737,0.3089320063591,0.139344841241836,-0.256446659564972,0.252320170402527,29_Jan_2024_11_07
47,27,23,0,15,0,8,0,5,1,5,1,20,2,14,4,34,11,22,26,55,176,16,171,8,8,3,0,0.300898998975754,-0.343582093715668,0.165819674730301,-0.121563412249088,-0.316328346729278,0.560470581054688,0.0138251017779111,-0.494043171405792,0.308978855609894,0.138274624943733,-0.256200313568115,0.251769542694092,29_Jan_2024_11_07
46,27,22,0,17,0,9,8,1,13,2,0,17,0,15,3,33,14,20,27,56,174,14,165,9,6,2,0,0.299252152442932,-0.344169020652771,0.165392950177193,-0.122093886137009,-0.31647464632988,0.560487449169159,0.0138362115249037,-0.493922799825668,0.309026688337326,0.137115180492401,-0.255736261606216,0.251204490661621,29_Jan_2024_11_07
43,25,29,0,18,5,9,0,7,0,1,2,16,5,16,2,26,6,16,26,53,163,14,155,8,4,3,1,0.29807460308075,-0.344632655382156,0.165135040879249,-0.122444704174995,-0.316634148359299,0.560524523258209,0.0138462884351611,-0.493858575820923,0.309059232473373,0.136250644922256,-0.255359619855881,0.250732004642487,29_Jan_2024_11_07
39,27,22,0,14,0,5,0,8,1,3,7,13,5,17,6,33,12,15,24,50,164,15,150,6,9,4,2,0.296131134033203,-0.345336467027664,0.164745837450027,-0.123024098575115,-0.316909402608871,0.560587704181671,0.0138670541346073,-0.493730127811432,0.30910450220108,0.134842246770859,-0.254642575979233,0.24993759393692,29_Jan_2024_11_07
39,27,25,1,15,1,7,0,5,0,2,2,16,3,14,7,31,11,12,23,53,162,10,150,4,3,4,0,0.293965667486191,-0.345935583114624,0.164406657218933,-0.123621612787247,-0.317203968763351,0.560656070709229,0.0139005575329065,-0.493566334247589,0.309137105941772,0.133277475833893,-0.253734678030014,0.249036699533462,29_Jan_2024_11_07
44,25,23,15,14,0,9,0,6,3,3,5,16,2,13,4,32,15,13,25,50,157,13,140,10,7,3,2,0.291618704795837,-0.346355736255646,0.16398660838604,-0.124247655272484,-0.317444533109665,0.560751259326935,0.0139357531443238,-0.493324071168899,0.309144794940948,0.131572872400284,-0.252649247646332,0.248075842857361,29_Jan_2024_11_07
40,25,23,0,16,0,7,1,7,1,3,7,15,0,16,8,28,11,14,25,48,152,14,141,9,5,3,0,0.290007203817367,-0.346534490585327,0.163725942373276,-0.124678179621696,-0.317585349082947,0.560808420181274,0.0139594366773962,-0.493162125349045,0.309146463871002,0.130318239331245,-0.251895517110825,0.247364461421966,29_Jan_2024_11_07
40,25,22,0,15,0,7,0,7,0,2,1,12,1,17,5,29,12,13,27,49,143,11,136,8,5,2,0,0.28741717338562,-0.34659543633461,0.163187727332115,-0.125340417027473,-0.317915797233581,0.560938954353333,0.0139870839193463,-0.492903053760529,0.309146672487259,0.128308564424515,-0.250701785087585,0.246249616146088,29_Jan_2024_11_07
37,25,21,0,13,0,10,0,6,1,2,6,14,0,15,0,25,14,12,26,49,147,13,124,7,3,5,4,0.284709483385086,-0.346647322177887,0.162662118673325,-0.126072883605957,-0.318213313817978,0.561074376106262,0.0140301324427127,-0.492653340101242,0.309160500764847,0.126150116324425,-0.249451607465744,0.245101749897003,29_Jan_2024_11_07
34,19,16,0,15,0,8,0,9,1,0,3,11,0,13,3,29,12,10,24,43,150,12,112,7,4,3,1,0.281856387853622,-0.346813261508942,0.162225797772407,-0.126869708299637,-0.318408638238907,0.561206877231598,0.0140662956982851,-0.492382377386093,0.309175163507461,0.123849019408226,-0.248180419206619,0.24394166469574,29_Jan_2024_11_07
36,25,19,1,17,1,10,0,3,2,7,6,13,1,10,0,26,7,8,20,42,150,8,114,4,0,3,0,0.279706060886383,-0.346942752599716,0.161912366747856,-0.127437174320221,-0.318538248538971,0.561302721500397,0.0140897780656814,-0.492147743701935,0.309184670448303,0.122238025069237,-0.247314721345901,0.243154942989349,29_Jan_2024_11_07
32,25,18,1,13,0,8,1,0,1,4,2,20,15,9,1,21,9,12,27,43,148,11,102,1,9,4,0,0.276156514883041,-0.347154527902603,0.161339357495308,-0.128335177898407,-0.318758487701416,0.561466157436371,0.0141470674425363,-0.491791129112244,0.309194058179855,0.119662672281265,-0.245979905128479,0.241901099681854,29_Jan_2024_11_07
32,25,20,2,14,0,7,0,5,5,7,5,13,1,7,1,19,6,8,26,43,146,7,105,7,0,2,0,0.272588342428207,-0.347505807876587,0.16094209253788,-0.129262536764145,-0.319069385528564,0.561639428138733,0.0142168719321489,-0.491458624601364,0.309206008911133,0.116887599229813,-0.244572013616562,0.240548372268677,29_Jan_2024_11_07
33,24,19,0,16,0,6,0,3,3,5,1,13,0,6,0,15,7,14,23,43,137,12,105,3,0,3,0,0.268815368413925,-0.347718894481659,0.160540238022804,-0.13021257519722,-0.319497913122177,0.561847448348999,0.0142901577055454,-0.491122186183929,0.309203535318375,0.113885521888733,-0.243056237697601,0.239080935716629,29_Jan_2024_11_07
39,25,19,6,12,0,7,0,5,8,4,1,12,1,8,2,16,9,17,29,41,143,6,90,4,2,0,0,0.266237437725067,-0.347827523946762,0.160320967435837,-0.130874902009964,-0.319684058427811,0.561951220035553,0.0143387010321021,-0.490854829549789,0.309205293655395,0.111738905310631,-0.242004618048668,0.238001212477684,29_Jan_2024_11_07
34,23,19,0,13,1,10,2,3,4,7,8,11,1,7,1,16,7,13,27,43,130,6,94,3,3,3,0,0.262075513601303,-0.347790271043777,0.159914657473564,-0.13181209564209,-0.320102334022522,0.562138915061951,0.0144494455307722,-0.490405082702637,0.309201866388321,0.108327612280846,-0.240334555506706,0.236310392618179,29_Jan_2024_11_07
33,21,17,12,13,0,10,0,1,3,9,3,10,1,11,3,13,10,10,25,40,125,6,87,2,4,3,0,0.257886081933975,-0.347684532403946,0.159452050924301,-0.132749587297439,-0.320524036884308,0.562317967414856,0.0145721491426229,-0.4899742603302,0.309179037809372,0.10469726473093,-0.23858979344368,0.23455336689949,29_Jan_2024_11_07
36,15,14,1,15,2,7,3,5,6,7,7,10,3,7,2,16,7,16,27,42,125,6,86,5,4,1,0,0.255022048950195,-0.347526431083679,0.159168675541878,-0.133386507630348,-0.320743948221207,0.562415063381195,0.0146441087126731,-0.489703267812729,0.309125274419784,0.102159962058067,-0.237419947981834,0.233342006802559,29_Jan_2024_11_07
34,15,25,0,13,1,7,2,2,5,5,7,11,5,11,1,16,11,10,24,41,128,4,83,3,1,3,0,0.250458776950836,-0.347180485725403,0.158522859215736,-0.134262517094612,-0.321187198162079,0.562595248222351,0.0147288776934146,-0.48928964138031,0.309029459953308,0.0982308834791183,-0.235676467418671,0.231492683291435,29_Jan_2024_11_07
