S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,
3.00,1.00,6.00,15.00,1.00,1.00,5.00,0.00,21.00,2.00,26.00,5.00,1.00,5.00,1.00,4.00,7.00,4.00,0.00,16.00,13.00,6.00,99.00,25.00,2.00,106.00,6.00,19.00,26.00,14.00,0.00,3.00,1.5611789226531982,0.6480867862701416,0.7889261245727539,1.6794061660766602,0.4061606526374817,0.572198212146759,1.3859246969223022,0.6213752031326294,0.3236968517303467,1.3424527645111084,0.5576619505882263,0.5251957178115845,16_Aug_2023_13_14
13.00,0.00,7.00,14.00,3.00,0.00,0.00,0.00,19.00,2.00,27.00,5.00,6.00,4.00,0.00,0.00,0.00,5.00,1.00,14.00,18.00,7.00,95.00,27.00,2.00,105.00,8.00,13.00,22.00,12.00,0.00,0.00,1.561195731163025,0.6480782628059387,0.788935124874115,1.6794414520263672,0.40616512298583984,0.5722091794013977,1.3859378099441528,0.6214267015457153,0.32367661595344543,1.342409372329712,0.5577138662338257,0.525235652923584,16_Aug_2023_13_14
9.00,0.00,5.00,16.00,1.00,0.00,5.00,0.00,22.00,1.00,22.00,5.00,1.00,4.00,0.00,8.00,0.00,2.00,1.00,14.00,15.00,4.00,86.00,26.00,2.00,101.00,7.00,18.00,22.00,16.00,1.00,0.00,1.5612071752548218,0.6480708122253418,0.7889480590820312,1.6794579029083252,0.40615227818489075,0.5722402930259705,1.3859726190567017,0.621469259262085,0.323696106672287,1.342487096786499,0.5576953291893005,0.5252081155776978,16_Aug_2023_13_14
9.00,0.00,6.00,11.00,1.00,1.00,2.00,0.00,16.00,0.00,20.00,8.00,0.00,1.00,7.00,9.00,2.00,5.00,5.00,16.00,19.00,6.00,87.00,23.00,1.00,96.00,2.00,21.00,19.00,14.00,0.00,0.00,1.5612071752548218,0.6480708122253418,0.7889480590820312,1.6794579029083252,0.40615227818489075,0.5722402930259705,1.3859726190567017,0.621469259262085,0.323696106672287,1.342487096786499,0.5576953291893005,0.5252081155776978,16_Aug_2023_13_14
12.00,5.00,8.00,14.00,0.00,0.00,0.00,6.00,19.00,1.00,19.00,8.00,1.00,0.00,1.00,2.00,0.00,1.00,5.00,17.00,14.00,3.00,82.00,25.00,1.00,97.00,6.00,19.00,19.00,12.00,0.00,0.00,1.5612071752548218,0.6480708122253418,0.7889480590820312,1.6794579029083252,0.40615227818489075,0.5722402930259705,1.3859726190567017,0.621469259262085,0.323696106672287,1.342487096786499,0.5576953291893005,0.5252081155776978,16_Aug_2023_13_14
9.00,1.00,8.00,11.00,1.00,1.00,4.00,0.00,21.00,0.00,20.00,6.00,1.00,3.00,1.00,11.00,0.00,5.00,1.00,13.00,17.00,6.00,86.00,20.00,2.00,98.00,5.00,19.00,19.00,14.00,7.00,0.00,1.561224341392517,0.6480605006217957,0.7889608144760132,1.6794676780700684,0.40612682700157166,0.5722797513008118,1.3860201835632324,0.6215245127677917,0.323648601770401,1.342445731163025,0.5577347278594971,0.5252421498298645,16_Aug_2023_13_14
7.00,1.00,4.00,14.00,0.00,0.00,4.00,0.00,14.00,1.00,19.00,7.00,0.00,5.00,2.00,5.00,1.00,5.00,1.00,16.00,17.00,4.00,75.00,28.00,0.00,97.00,4.00,20.00,13.00,16.00,0.00,13.00,1.561224341392517,0.6480605006217957,0.7889608144760132,1.6794676780700684,0.40612682700157166,0.5722797513008118,1.3860201835632324,0.6215245127677917,0.323648601770401,1.342445731163025,0.5577347278594971,0.5252421498298645,16_Aug_2023_13_14
6.00,1.00,10.00,15.00,2.00,1.00,3.00,0.00,16.00,1.00,16.00,5.00,0.00,3.00,0.00,8.00,0.00,0.00,1.00,18.00,10.00,3.00,81.00,23.00,0.00,86.00,3.00,11.00,10.00,0.00,0.00,5.00,1.5612460374832153,0.6480507850646973,0.7889798283576965,1.679479718208313,0.40611568093299866,0.5723266005516052,1.3860265016555786,0.6215366721153259,0.32372769713401794,1.342463731765747,0.5577521324157715,0.5252572298049927,16_Aug_2023_13_14
15.00,9.00,13.00,13.00,0.00,0.00,3.00,1.00,21.00,1.00,15.00,4.00,2.00,3.00,0.00,1.00,0.00,2.00,3.00,14.00,14.00,8.00,76.00,25.00,3.00,89.00,5.00,14.00,12.00,11.00,0.00,0.00,1.5612460374832153,0.6480507850646973,0.7889798283576965,1.679479718208313,0.40611568093299866,0.5723266005516052,1.3860265016555786,0.6215366721153259,0.32372769713401794,1.342463731765747,0.5577521324157715,0.5252572298049927,16_Aug_2023_13_14
8.00,1.00,7.00,13.00,1.00,0.00,5.00,0.00,19.00,0.00,17.00,6.00,0.00,2.00,0.00,5.00,0.00,5.00,2.00,16.00,12.00,7.00,74.00,27.00,2.00,85.00,6.00,11.00,13.00,18.00,1.00,0.00,1.561259388923645,0.6480375528335571,0.78900146484375,1.679497241973877,0.40611034631729126,0.5723661184310913,1.3860437870025635,0.6215710043907166,0.3237534761428833,1.3425657749176025,0.557711660861969,0.5252460837364197,16_Aug_2023_13_14
9.00,4.00,6.00,12.00,0.00,14.00,10.00,0.00,20.00,0.00,16.00,7.00,1.00,5.00,1.00,7.00,1.00,5.00,0.00,16.00,11.00,6.00,64.00,27.00,1.00,89.00,11.00,9.00,13.00,17.00,0.00,0.00,1.561259388923645,0.6480375528335571,0.78900146484375,1.679497241973877,0.40611034631729126,0.5723661184310913,1.3860437870025635,0.6215710043907166,0.3237534761428833,1.3425657749176025,0.557711660861969,0.5252460837364197,16_Aug_2023_13_14
9.00,0.00,7.00,11.00,2.00,1.00,5.00,0.00,21.00,1.00,16.00,10.00,0.00,4.00,1.00,9.00,12.00,5.00,2.00,15.00,13.00,7.00,63.00,27.00,2.00,86.00,7.00,11.00,18.00,14.00,2.00,0.00,1.5612833499908447,0.648025631904602,0.7890174388885498,1.6795156002044678,0.40610814094543457,0.5723801851272583,1.3860727548599243,0.6216330528259277,0.32372215390205383,1.342565894126892,0.5577530860900879,0.5252800583839417,16_Aug_2023_13_14
9.00,0.00,7.00,13.00,2.00,1.00,5.00,1.00,19.00,8.00,19.00,10.00,2.00,7.00,1.00,11.00,2.00,6.00,2.00,16.00,15.00,9.00,64.00,27.00,0.00,85.00,5.00,11.00,17.00,17.00,1.00,0.00,1.5613138675689697,0.6480201482772827,0.7890264987945557,1.6795397996902466,0.40610870718955994,0.572425365447998,1.3861098289489746,0.621698260307312,0.3237440884113312,1.3426276445388794,0.5577337145805359,0.5253031849861145,16_Aug_2023_13_14
9.00,0.00,6.00,13.00,1.00,0.00,4.00,0.00,15.00,0.00,19.00,8.00,1.00,0.00,2.00,7.00,1.00,5.00,3.00,21.00,9.00,9.00,67.00,24.00,0.00,86.00,10.00,13.00,16.00,14.00,0.00,0.00,1.5613138675689697,0.6480201482772827,0.7890264987945557,1.6795397996902466,0.40610870718955994,0.572425365447998,1.3861098289489746,0.621698260307312,0.3237440884113312,1.3426276445388794,0.5577337145805359,0.5253031849861145,16_Aug_2023_13_14
13.00,6.00,6.00,14.00,1.00,3.00,6.00,1.00,18.00,0.00,18.00,7.00,0.00,5.00,1.00,8.00,11.00,4.00,3.00,14.00,13.00,7.00,68.00,24.00,2.00,90.00,11.00,8.00,16.00,9.00,0.00,1.00,1.5613332986831665,0.6480090022087097,0.7890428900718689,1.679572582244873,0.40611010789871216,0.5724620819091797,1.386046290397644,0.621685802936554,0.3238341808319092,1.3426334857940674,0.5577620267868042,0.5253340005874634,16_Aug_2023_13_14
11.00,0.00,6.00,14.00,0.00,1.00,5.00,0.00,21.00,12.00,22.00,8.00,1.00,2.00,0.00,8.00,2.00,5.00,3.00,17.00,15.00,5.00,62.00,24.00,3.00,81.00,2.00,10.00,16.00,16.00,1.00,0.00,1.5613332986831665,0.6480090022087097,0.7890428900718689,1.679572582244873,0.40611010789871216,0.5724620819091797,1.386046290397644,0.621685802936554,0.3238341808319092,1.3426334857940674,0.5577620267868042,0.5253340005874634,16_Aug_2023_13_14
10.00,1.00,4.00,11.00,3.00,0.00,7.00,0.00,22.00,1.00,19.00,12.00,1.00,0.00,0.00,8.00,0.00,0.00,0.00,16.00,12.00,8.00,61.00,17.00,3.00,85.00,5.00,2.00,15.00,17.00,0.00,0.00,1.5613571405410767,0.6480081677436829,0.7890753746032715,1.6796015501022339,0.40612196922302246,0.5724935531616211,1.3860359191894531,0.6217710971832275,0.32390692830085754,1.342607021331787,0.5577796697616577,0.5253874659538269,16_Aug_2023_13_14
9.00,0.00,6.00,13.00,4.00,0.00,7.00,13.00,21.00,1.00,20.00,10.00,1.00,4.00,1.00,4.00,4.00,6.00,2.00,19.00,12.00,5.00,64.00,24.00,2.00,88.00,9.00,9.00,16.00,1.00,1.00,0.00,1.5613571405410767,0.6480081677436829,0.7890753746032715,1.6796015501022339,0.40612196922302246,0.5724935531616211,1.3860359191894531,0.6217710971832275,0.32390692830085754,1.342607021331787,0.5577796697616577,0.5253874659538269,16_Aug_2023_13_14
5.00,1.00,7.00,8.00,3.00,1.00,5.00,0.00,20.00,0.00,21.00,9.00,0.00,6.00,3.00,8.00,11.00,0.00,3.00,14.00,10.00,5.00,64.00,23.00,2.00,89.00,5.00,9.00,17.00,16.00,1.00,1.00,1.5613998174667358,0.648000180721283,0.7891292572021484,1.6796419620513916,0.40612271428108215,0.5724747180938721,1.3860204219818115,0.6217724084854126,0.32388192415237427,1.342686653137207,0.5577508211135864,0.5253830552101135,16_Aug_2023_13_14
11.00,9.00,6.00,15.00,0.00,5.00,4.00,0.00,19.00,1.00,21.00,11.00,1.00,4.00,1.00,8.00,2.00,6.00,3.00,16.00,11.00,8.00,65.00,24.00,3.00,91.00,7.00,7.00,17.00,13.00,0.00,0.00,1.5613998174667358,0.648000180721283,0.7891292572021484,1.6796419620513916,0.40612271428108215,0.5724747180938721,1.3860204219818115,0.6217724084854126,0.32388192415237427,1.342686653137207,0.5577508211135864,0.5253830552101135,16_Aug_2023_13_14
12.00,1.00,4.00,13.00,2.00,1.00,5.00,0.00,20.00,5.00,22.00,11.00,0.00,6.00,1.00,7.00,0.00,7.00,3.00,17.00,12.00,4.00,65.00,25.00,2.00,88.00,6.00,10.00,20.00,12.00,13.00,1.00,1.5614262819290161,0.6479963660240173,0.7891460061073303,1.6796647310256958,0.40611276030540466,0.5725029110908508,1.3859940767288208,0.6218413710594177,0.32395362854003906,1.3427053689956665,0.557744026184082,0.5254079699516296,16_Aug_2023_13_14
13.00,0.00,6.00,13.00,5.00,4.00,2.00,0.00,20.00,2.00,21.00,6.00,1.00,2.00,0.00,8.00,1.00,2.00,2.00,16.00,10.00,10.00,63.00,25.00,0.00,90.00,8.00,8.00,25.00,13.00,1.00,0.00,1.5614262819290161,0.6479963660240173,0.7891460061073303,1.6796647310256958,0.40611276030540466,0.5725029110908508,1.3859940767288208,0.6218413710594177,0.32395362854003906,1.3427053689956665,0.557744026184082,0.5254079699516296,16_Aug_2023_13_14
11.00,1.00,10.00,14.00,3.00,0.00,3.00,0.00,19.00,2.00,20.00,8.00,1.00,3.00,0.00,8.00,5.00,10.00,3.00,14.00,9.00,8.00,61.00,22.00,2.00,91.00,5.00,8.00,23.00,14.00,1.00,0.00,1.5614551305770874,0.6479820013046265,0.789167046546936,1.6797066926956177,0.4060807526111603,0.5725399255752563,1.385962724685669,0.6218639612197876,0.32397809624671936,1.3426486253738403,0.5578234791755676,0.5254727602005005,16_Aug_2023_13_14
10.00,0.00,7.00,15.00,2.00,0.00,6.00,3.00,18.00,2.00,23.00,11.00,0.00,1.00,0.00,10.00,2.00,5.00,3.00,17.00,9.00,8.00,62.00,24.00,2.00,89.00,5.00,9.00,18.00,15.00,0.00,4.00,1.5614551305770874,0.6479820013046265,0.789167046546936,1.6797066926956177,0.4060807526111603,0.5725399255752563,1.385962724685669,0.6218639612197876,0.32397809624671936,1.3426486253738403,0.5578234791755676,0.5254727602005005,16_Aug_2023_13_14
11.00,0.00,6.00,10.00,2.00,13.00,6.00,2.00,19.00,1.00,20.00,11.00,1.00,4.00,0.00,8.00,1.00,4.00,11.00,14.00,9.00,9.00,62.00,22.00,2.00,87.00,3.00,10.00,20.00,16.00,0.00,1.00,1.5614873170852661,0.6479712724685669,0.7892231345176697,1.6797484159469604,0.40606528520584106,0.5725625157356262,1.3859155178070068,0.6218867301940918,0.3240150511264801,1.3426902294158936,0.5577170848846436,0.5255018472671509,16_Aug_2023_13_14
13.00,1.00,7.00,12.00,2.00,0.00,5.00,1.00,18.00,1.00,23.00,7.00,5.00,5.00,1.00,10.00,3.00,3.00,6.00,15.00,9.00,8.00,62.00,24.00,3.00,92.00,5.00,7.00,21.00,18.00,1.00,8.00,1.5614873170852661,0.6479712724685669,0.7892231345176697,1.6797484159469604,0.40606528520584106,0.5725625157356262,1.3859155178070068,0.6218867301940918,0.3240150511264801,1.3426902294158936,0.5577170848846436,0.5255018472671509,16_Aug_2023_13_14
11.00,12.00,6.00,15.00,9.00,0.00,1.00,0.00,17.00,1.00,23.00,8.00,1.00,2.00,4.00,8.00,0.00,6.00,2.00,18.00,12.00,9.00,59.00,20.00,6.00,93.00,6.00,8.00,18.00,18.00,0.00,1.00,1.5615200996398926,0.6479576230049133,0.789247453212738,1.6797815561294556,0.4060524106025696,0.5726097822189331,1.385872721672058,0.6219222545623779,0.3240417242050171,1.342667818069458,0.5577278137207031,0.52555251121521,16_Aug_2023_13_14
13.00,2.00,7.00,17.00,1.00,1.00,5.00,0.00,21.00,2.00,23.00,9.00,0.00,0.00,1.00,9.00,1.00,4.00,3.00,19.00,11.00,6.00,62.00,26.00,2.00,92.00,7.00,9.00,26.00,13.00,1.00,0.00,1.5615200996398926,0.6479576230049133,0.789247453212738,1.6797815561294556,0.4060524106025696,0.5726097822189331,1.385872721672058,0.6219222545623779,0.3240417242050171,1.342667818069458,0.5577278137207031,0.52555251121521,16_Aug_2023_13_14
10.00,0.00,9.00,15.00,0.00,0.00,4.00,0.00,21.00,14.00,24.00,6.00,0.00,2.00,1.00,13.00,0.00,3.00,0.00,26.00,10.00,6.00,61.00,23.00,2.00,91.00,5.00,16.00,24.00,12.00,1.00,7.00,1.5615521669387817,0.6479360461235046,0.789270281791687,1.6798264980316162,0.4060460329055786,0.5726399421691895,1.385838508605957,0.6219120025634766,0.3240680396556854,1.3426579236984253,0.5577014088630676,0.5255911946296692,16_Aug_2023_13_14
13.00,0.00,7.00,13.00,2.00,0.00,4.00,2.00,20.00,1.00,26.00,11.00,1.00,6.00,10.00,10.00,1.00,4.00,6.00,19.00,11.00,7.00,57.00,25.00,4.00,91.00,4.00,11.00,27.00,16.00,0.00,0.00,1.5615521669387817,0.6479360461235046,0.789270281791687,1.6798264980316162,0.4060460329055786,0.5726399421691895,1.385838508605957,0.6219120025634766,0.3240680396556854,1.3426579236984253,0.5577014088630676,0.5255911946296692,16_Aug_2023_13_14
11.00,0.00,6.00,17.00,0.00,0.00,7.00,0.00,20.00,6.00,25.00,6.00,0.00,4.00,0.00,9.00,3.00,1.00,3.00,18.00,11.00,4.00,58.00,22.00,2.00,87.00,7.00,9.00,29.00,15.00,1.00,9.00,1.5615848302841187,0.6479162573814392,0.7892853617668152,1.6798754930496216,0.4060276448726654,0.5726732015609741,1.3858016729354858,0.6219202876091003,0.32409903407096863,1.3426237106323242,0.5576999187469482,0.5256465077400208,16_Aug_2023_13_14
11.00,1.00,6.00,17.00,1.00,1.00,5.00,0.00,21.00,1.00,27.00,7.00,0.00,12.00,0.00,9.00,1.00,6.00,1.00,18.00,12.00,4.00,56.00,24.00,3.00,89.00,1.00,8.00,27.00,15.00,3.00,0.00,1.5615848302841187,0.6479162573814392,0.7892853617668152,1.6798754930496216,0.4060276448726654,0.5726732015609741,1.3858016729354858,0.6219202876091003,0.32409903407096863,1.3426237106323242,0.5576999187469482,0.5256465077400208,16_Aug_2023_13_14
11.00,0.00,10.00,14.00,6.00,1.00,5.00,0.00,17.00,1.00,26.00,8.00,2.00,12.00,0.00,5.00,3.00,5.00,3.00,21.00,14.00,3.00,57.00,25.00,2.00,85.00,5.00,9.00,28.00,18.00,0.00,2.00,1.5615848302841187,0.6479162573814392,0.7892853617668152,1.6798754930496216,0.4060276448726654,0.5726732015609741,1.3858016729354858,0.6219202876091003,0.32409903407096863,1.3426237106323242,0.5576999187469482,0.5256465077400208,16_Aug_2023_13_14
13.00,0.00,3.00,16.00,1.00,1.00,6.00,0.00,18.00,0.00,26.00,5.00,0.00,3.00,0.00,9.00,1.00,3.00,3.00,17.00,12.00,6.00,58.00,25.00,1.00,89.00,5.00,10.00,28.00,16.00,1.00,0.00,1.5616111755371094,0.6479157209396362,0.7893090844154358,1.679915428161621,0.40603598952293396,0.5727629065513611,1.3857574462890625,0.6219376921653748,0.32414722442626953,1.3426374197006226,0.5576609373092651,0.5256794691085815,16_Aug_2023_13_14
11.00,13.00,8.00,13.00,3.00,0.00,5.00,0.00,21.00,0.00,27.00,6.00,1.00,2.00,2.00,10.00,0.00,0.00,3.00,20.00,12.00,3.00,58.00,27.00,6.00,85.00,6.00,5.00,29.00,17.00,1.00,0.00,1.5616111755371094,0.6479157209396362,0.7893090844154358,1.679915428161621,0.40603598952293396,0.5727629065513611,1.3857574462890625,0.6219376921653748,0.32414722442626953,1.3426374197006226,0.5576609373092651,0.5256794691085815,16_Aug_2023_13_14
12.00,10.00,7.00,12.00,3.00,0.00,5.00,0.00,19.00,0.00,29.00,9.00,1.00,3.00,1.00,16.00,1.00,4.00,3.00,20.00,11.00,0.00,56.00,25.00,1.00,84.00,3.00,10.00,27.00,13.00,1.00,0.00,1.5616505146026611,0.6479026675224304,0.7893494367599487,1.6799477338790894,0.40601667761802673,0.5728164315223694,1.3857368230819702,0.6219411492347717,0.32420793175697327,1.3426506519317627,0.5576313138008118,0.5257286429405212,16_Aug_2023_13_14
10.00,0.00,7.00,10.00,3.00,0.00,5.00,1.00,21.00,1.00,27.00,13.00,11.00,5.00,1.00,10.00,1.00,4.00,3.00,20.00,13.00,2.00,58.00,27.00,2.00,83.00,5.00,7.00,27.00,18.00,0.00,14.00,1.5616505146026611,0.6479026675224304,0.7893494367599487,1.6799477338790894,0.40601667761802673,0.5728164315223694,1.3857368230819702,0.6219411492347717,0.32420793175697327,1.3426506519317627,0.5576313138008118,0.5257286429405212,16_Aug_2023_13_14
11.00,7.00,9.00,16.00,2.00,0.00,6.00,0.00,19.00,0.00,23.00,8.00,1.00,10.00,0.00,5.00,1.00,5.00,6.00,23.00,12.00,3.00,58.00,25.00,3.00,82.00,8.00,10.00,26.00,16.00,0.00,0.00,1.5616756677627563,0.6478832960128784,0.7893857359886169,1.6799736022949219,0.4059978723526001,0.5728647112846375,1.3856697082519531,0.6219571828842163,0.3242532014846802,1.3427505493164062,0.5575587153434753,0.525725245475769,16_Aug_2023_13_14
12.00,0.00,7.00,17.00,2.00,4.00,1.00,13.00,20.00,1.00,26.00,4.00,0.00,9.00,1.00,5.00,0.00,4.00,11.00,18.00,12.00,4.00,56.00,19.00,1.00,75.00,6.00,10.00,24.00,16.00,1.00,2.00,1.5616756677627563,0.6478832960128784,0.7893857359886169,1.6799736022949219,0.4059978723526001,0.5728647112846375,1.3856697082519531,0.6219571828842163,0.3242532014846802,1.3427505493164062,0.5575587153434753,0.525725245475769,16_Aug_2023_13_14
