S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,1,6,1,88,21,2,20,5,90,12,11,2,14,165,21,-0.741369784,0.407098442,-0.004352371,-1.004888654,0.13080959,-0.002786245,-0.793786168,0.632347465,0.190948799,-0.990813315,0.309481055,0.136440992,28_Jun_2023_08_53
0,0,3,1,101,19,2,17,3,96,10,13,6,15,174,20,-0.385247707,-0.02434006,0.166188926,1.616659403,-1.318298697,0.304623365,1.098024011,-0.055704419,0.031033,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
1,0,6,2,113,17,3,22,6,102,12,12,7,18,167,19,-0.385247707,-0.02434006,0.166188926,1.616659403,-1.318298697,0.304623365,1.098024011,-0.055704419,0.031033,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
1,0,8,6,110,22,0,20,6,108,10,12,2,17,156,18,-0.741310835,0.407049417,-0.004362378,-1.004896164,0.130732059,-0.002913053,-0.793825984,0.632345378,0.190875247,-0.990835965,0.309436738,0.136288345,28_Jun_2023_08_53
0,0,7,3,125,24,9,22,6,131,13,15,6,20,120,22,-0.741310835,0.407049417,-0.004362378,-1.004896164,0.130732059,-0.002913053,-0.793825984,0.632345378,0.190875247,-0.990835965,0.309436738,0.136288345,28_Jun_2023_08_53
0,1,7,8,124,18,2,22,5,128,14,18,6,19,130,24,-0.741310835,0.407049417,-0.004362378,-1.004896164,0.130732059,-0.002913053,-0.793825984,0.632345378,0.190875247,-0.990835965,0.309436738,0.136288345,28_Jun_2023_08_53
0,0,12,7,130,23,3,18,9,122,11,21,6,15,156,25,-0.741281807,0.407034248,-0.004372874,-1.004900336,0.130688012,-0.002973063,-0.793853939,0.63234961,0.190826952,-0.990830362,0.309419185,0.136199042,28_Jun_2023_08_53
0,0,9,8,132,20,4,21,8,120,14,21,4,12,148,23,-0.741281807,0.407034248,-0.004372874,-1.004900336,0.130688012,-0.002973063,-0.793853939,0.63234961,0.190826952,-0.990830362,0.309419185,0.136199042,28_Jun_2023_08_53
0,0,6,5,134,25,3,23,3,124,8,23,9,17,178,23,-0.741281807,0.407034248,-0.004372874,-1.004900336,0.130688012,-0.002973063,-0.793853939,0.63234961,0.190826952,-0.990830362,0.309419185,0.136199042,28_Jun_2023_08_53
0,0,8,7,132,23,7,21,5,123,14,21,3,16,198,25,-0.385258973,-0.024320817,0.166159257,1.616659403,-1.318298697,0.304623365,1.098020434,-0.055755373,0.031009359,-0.50461334,-0.619406044,0.327643245,28_Jun_2023_08_53
