S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,
4.00,7.00,6.00,30.00,19.00,0.00,15.00,0.00,18.00,10.00,32.00,8.00,0.00,1.00,0.00,17.00,0.00,11.00,11.00,9.00,27.00,9.00,73.00,16.00,3.00,52.00,3.00,21.00,33.00,13.00,1.00,0.00,1.6068917512893677,0.6453365683555603,0.8047284483909607,1.724475383758545,0.4027976989746094,0.5971564650535583,1.3967632055282593,0.6279298663139343,0.3669385015964508,1.3747211694717407,0.5295882821083069,0.5633192658424377,16_Aug_2023_13_16
5.00,2.00,15.00,30.00,17.00,0.00,15.00,0.00,16.00,7.00,30.00,12.00,0.00,3.00,0.00,18.00,0.00,10.00,12.00,13.00,26.00,9.00,73.00,14.00,2.00,53.00,8.00,19.00,39.00,12.00,2.00,0.00,1.6068917512893677,0.6453365683555603,0.8047284483909607,1.724475383758545,0.4027976989746094,0.5971564650535583,1.3967632055282593,0.6279298663139343,0.3669385015964508,1.3747211694717407,0.5295882821083069,0.5633192658424377,16_Aug_2023_13_16
6.00,1.00,10.00,30.00,18.00,0.00,15.00,0.00,17.00,5.00,30.00,8.00,1.00,2.00,3.00,12.00,1.00,9.00,13.00,17.00,25.00,7.00,75.00,14.00,2.00,53.00,7.00,18.00,45.00,12.00,11.00,0.00,1.6069334745407104,0.645343005657196,0.8046738505363464,1.7244641780853271,0.40270230174064636,0.5972405076026917,1.3967829942703247,0.6280031800270081,0.36691978573799133,1.3747092485427856,0.5296758413314819,0.5633378028869629,16_Aug_2023_13_16
4.00,5.00,11.00,29.00,18.00,0.00,10.00,0.00,16.00,4.00,33.00,9.00,1.00,2.00,1.00,14.00,0.00,11.00,9.00,17.00,23.00,13.00,72.00,17.00,3.00,53.00,7.00,22.00,39.00,14.00,0.00,0.00,1.606982707977295,0.6453548073768616,0.8046135306358337,1.7245092391967773,0.4027930796146393,0.5971692204475403,1.3967968225479126,0.6280549764633179,0.36692750453948975,1.374692440032959,0.5297752022743225,0.5633523464202881,16_Aug_2023_13_16
4.00,2.00,15.00,28.00,13.00,0.00,14.00,1.00,14.00,4.00,32.00,11.00,7.00,1.00,6.00,16.00,0.00,14.00,12.00,22.00,25.00,5.00,78.00,13.00,2.00,53.00,8.00,24.00,41.00,12.00,0.00,3.00,1.606982707977295,0.6453548073768616,0.8046135306358337,1.7245092391967773,0.4027930796146393,0.5971692204475403,1.3967968225479126,0.6280549764633179,0.36692750453948975,1.374692440032959,0.5297752022743225,0.5633523464202881,16_Aug_2023_13_16
7.00,2.00,11.00,30.00,13.00,0.00,7.00,4.00,15.00,5.00,31.00,10.00,0.00,3.00,0.00,18.00,0.00,9.00,11.00,21.00,25.00,11.00,76.00,14.00,2.00,53.00,7.00,20.00,39.00,9.00,0.00,2.00,1.6070150136947632,0.6453663110733032,0.8046034574508667,1.7245227098464966,0.40279853343963623,0.5971575379371643,1.3968111276626587,0.628103494644165,0.36689046025276184,1.3746801614761353,0.5298753976821899,0.5633683800697327,16_Aug_2023_13_16
9.00,1.00,8.00,30.00,13.00,4.00,10.00,0.00,16.00,7.00,28.00,9.00,1.00,2.00,2.00,19.00,1.00,1.00,11.00,26.00,26.00,9.00,77.00,12.00,3.00,51.00,6.00,23.00,39.00,11.00,2.00,0.00,1.6070150136947632,0.6453663110733032,0.8046034574508667,1.7245227098464966,0.40279853343963623,0.5971575379371643,1.3968111276626587,0.628103494644165,0.36689046025276184,1.3746801614761353,0.5298753976821899,0.5633683800697327,16_Aug_2023_13_16
5.00,2.00,10.00,31.00,12.00,0.00,8.00,0.00,20.00,5.00,32.00,12.00,1.00,2.00,2.00,20.00,0.00,15.00,14.00,25.00,26.00,8.00,82.00,16.00,2.00,54.00,7.00,20.00,40.00,13.00,0.00,0.00,1.6070441007614136,0.6453819274902344,0.8046075105667114,1.7245310544967651,0.40279173851013184,0.5971713066101074,1.396840214729309,0.6282108426094055,0.3669019043445587,1.3745768070220947,0.5299938321113586,0.5634112358093262,16_Aug_2023_13_16
7.00,3.00,7.00,30.00,14.00,0.00,12.00,0.00,15.00,3.00,32.00,11.00,0.00,2.00,6.00,17.00,0.00,9.00,10.00,18.00,24.00,11.00,83.00,15.00,2.00,52.00,7.00,22.00,39.00,13.00,0.00,0.00,1.6070441007614136,0.6453819274902344,0.8046075105667114,1.7245310544967651,0.40279173851013184,0.5971713066101074,1.396840214729309,0.6282108426094055,0.3669019043445587,1.3745768070220947,0.5299938321113586,0.5634112358093262,16_Aug_2023_13_16
8.00,3.00,12.00,27.00,19.00,0.00,11.00,0.00,14.00,9.00,28.00,10.00,0.00,1.00,3.00,15.00,0.00,6.00,16.00,22.00,26.00,11.00,77.00,14.00,3.00,53.00,7.00,20.00,36.00,12.00,5.00,0.00,1.607064962387085,0.6453999280929565,0.8045970797538757,1.7245278358459473,0.4027820825576782,0.597175121307373,1.3969306945800781,0.6282787322998047,0.3668799102306366,1.3745231628417969,0.5301743745803833,0.5634430646896362,16_Aug_2023_13_16
