S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2,40,3,9,4,2,3,0,25,0,0,3,0,3,6,9,9,0,12,2,61,20,1,102,6,30,22,13,0,2,1.56544375419617,0.658056318759918,0.709302961826324,1.63797795772553,0.409194141626358,0.495776683092117,1.09894192218781,0.564539432525635,0.818978428840637,1.30031025409698,0.492749571800232,0.816576242446899,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,40,3,0,5,0,9,1,25,9,0,4,0,6,1,13,7,0,9,10,62,18,1,111,5,30,22,14,1,0,1.56544649600983,0.65820986032486,0.709232568740845,1.63781797885895,0.409183442592621,0.49578246474266,1.1000645160675,0.564391851425171,0.821787893772125,1.30144119262695,0.492821365594864,0.81817239522934,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
1,0,3,40,6,1,4,0,9,2,24,1,1,3,0,1,0,16,8,0,12,2,67,20,2,108,8,27,20,14,1,0,1.56546473503113,0.658383667469025,0.709120988845825,1.63761210441589,0.409126967191696,0.495748311281204,1.10146856307983,0.564133107662201,0.82548588514328,1.30285584926605,0.492948830127716,0.82015198469162,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,42,5,1,4,2,10,0,24,1,0,8,1,4,1,12,9,1,7,2,65,22,3,109,7,29,20,13,1,1,1.56552267074585,0.658512532711029,0.709092676639557,1.63729965686798,0.408923476934433,0.496000438928604,1.10277962684631,0.563835918903351,0.829168438911438,1.30408573150635,0.492993384599686,0.821868240833283,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,0,2,41,4,1,2,0,13,1,24,1,0,3,0,1,7,12,8,0,8,0,65,20,0,113,4,28,19,13,0,0,1.56566977500916,0.658648431301117,0.70925784111023,1.63699376583099,0.408954292535782,0.495881170034409,1.10393178462982,0.563724517822266,0.83286839723587,1.30508995056152,0.492898941040039,0.823330760002136,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,39,1,1,4,0,9,1,23,4,1,8,4,1,0,14,7,0,9,5,65,30,0,114,5,28,22,14,1,0,1.56574809551239,0.658723115921021,0.709332942962647,1.63682353496552,0.408933192491531,0.495831876993179,1.10488426685333,0.563393175601959,0.835653603076935,1.30585896968842,0.492840528488159,0.824363052845001,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0,38,3,0,4,0,8,0,22,2,0,3,0,1,1,17,10,1,9,4,60,32,0,117,3,27,19,14,0,0,1.56589734554291,0.658794760704041,0.709425568580627,1.63650369644165,0.408906221389771,0.495700687170029,1.10600805282593,0.563067853450775,0.839234530925751,1.306844830513,0.492836087942123,0.825803756713867,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,37,0,0,9,1,10,4,22,2,1,4,9,0,0,12,9,0,11,3,66,23,2,117,4,27,19,18,1,0,1.56608247756958,0.658887684345245,0.709615886211395,1.63618183135986,0.408902376890183,0.495870769023895,1.10719037055969,0.562603771686554,0.842610716819763,1.30785191059113,0.49279260635376,0.826997935771942,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,7,3,38,9,1,3,1,7,4,21,4,1,3,1,6,0,13,9,2,10,2,66,16,0,117,5,27,21,17,0,1,1.56626617908478,0.658962905406952,0.709764420986176,1.63586533069611,0.408900737762451,0.495874583721161,1.10822725296021,0.56234085559845,0.845645248889923,1.3088470697403,0.492828488349915,0.828158378601074,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
8,1,3,39,3,1,1,0,7,4,20,4,1,2,1,2,1,12,9,13,10,1,66,22,0,119,12,29,20,14,1,0,1.56641829013824,0.65900593996048,0.709886074066162,1.63567924499512,0.408791542053223,0.496129631996155,1.10900628566742,0.562139093875885,0.847749054431915,1.30954504013062,0.492793738842011,0.829020202159882,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,1,4,36,1,0,4,6,5,8,23,1,0,8,8,1,1,14,8,0,11,0,70,24,0,117,5,32,18,16,0,0,1.56658935546875,0.65907222032547,0.710015654563904,1.6354740858078,0.408864110708237,0.49612095952034,1.11006045341492,0.561814963817596,0.850489675998688,1.31047523021698,0.492788732051849,0.830185294151306,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,3,0,38,4,2,5,1,5,3,25,5,0,2,0,2,0,12,8,5,12,4,66,26,1,118,4,27,18,16,0,2,1.56677985191345,0.659117043018341,0.710238099098206,1.6352744102478,0.40887388586998,0.496039092540741,1.11107015609741,0.561557471752167,0.853119194507599,1.31134533882141,0.492713361978531,0.831404268741608,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,3,0,40,0,1,4,2,3,3,23,2,0,0,0,2,3,8,8,1,7,2,63,21,1,119,4,29,15,16,2,0,1.56700682640076,0.659160852432251,0.710583746433258,1.63504385948181,0.408880710601807,0.496049344539642,1.11215388774872,0.561219930648804,0.855662167072296,1.31223440170288,0.492525845766068,0.832516431808472,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,3,11,37,3,9,5,1,5,3,23,4,0,7,0,1,0,8,13,1,16,4,63,24,0,118,3,28,18,13,1,0,1.56714272499084,0.659191966056824,0.710728585720062,1.63481426239014,0.408850312232971,0.49619048833847,1.1129275560379,0.561034023761749,0.857417464256287,1.31290638446808,0.492346614599228,0.833303093910217,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,1,2,32,0,0,4,0,0,2,25,1,0,4,0,0,0,13,10,0,11,3,66,26,0,117,2,29,19,19,1,1,1.56729662418365,0.659193396568298,0.710841953754425,1.63461804389954,0.408879280090332,0.49614804983139,1.11396956443787,0.560626149177551,0.85964047908783,1.3138153553009,0.492094665765762,0.834492206573486,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,36,3,1,3,0,5,1,23,1,0,5,0,2,2,10,7,9,9,5,67,20,0,115,3,25,19,16,0,0,1.56740772724152,0.659194529056549,0.711011528968811,1.63432252407074,0.408843159675598,0.496343314647675,1.11483895778656,0.560301661491394,0.861615777015686,1.31465530395508,0.491916030645371,0.835713446140289,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,33,13,2,7,0,4,0,24,4,8,6,1,3,0,10,8,1,11,3,65,21,0,111,4,25,17,17,1,0,1.56753289699554,0.659160017967224,0.711200475692749,1.63411426544189,0.408938676118851,0.496305555105209,1.11566305160522,0.560092031955719,0.863226234912872,1.31544184684753,0.491846799850464,0.836924493312836,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
8,3,3,35,3,0,5,6,0,1,22,2,1,4,0,1,0,10,9,4,9,4,69,18,0,109,6,30,16,17,0,0,1.56763422489166,0.659112453460693,0.711351037025452,1.63395500183105,0.409014612436295,0.496214151382446,1.1162633895874,0.559875905513763,0.864397585391998,1.31595242023468,0.491540610790253,0.837711095809937,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,33,2,1,9,0,2,2,23,1,1,5,0,3,0,11,8,0,7,7,69,16,0,107,5,28,25,17,0,0,1.56776487827301,0.659055769443512,0.711605787277222,1.63375985622406,0.40901979804039,0.496365308761597,1.11697995662689,0.559443295001984,0.865988552570343,1.31655490398407,0.491127043962479,0.838632047176361,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,3,40,9,0,3,0,4,1,22,1,0,6,7,2,1,11,7,1,6,7,71,16,1,112,4,30,18,14,4,0,1.56792879104614,0.658955097198486,0.711993515491486,1.63358449935913,0.409068763256073,0.496383637189865,1.11759674549103,0.558990776538849,0.867493093013763,1.31707739830017,0.490910947322846,0.839446127414703,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
8,1,2,39,3,1,4,0,3,6,23,2,1,6,1,2,0,9,8,4,12,4,70,19,0,109,4,27,18,14,0,0,1.56805300712585,0.658858299255371,0.7123202085495,1.63345396518707,0.409072071313858,0.496512770652771,1.11801433563232,0.558603942394257,0.868576169013977,1.31750619411469,0.490754902362824,0.840226769447327,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,2,0,39,1,0,5,1,3,1,22,0,0,4,0,4,0,10,10,5,6,1,70,14,8,111,5,27,20,16,1,0,1.56815731525421,0.658797025680542,0.712564587593079,1.63334953784943,0.409080684185028,0.496597051620483,1.11825668811798,0.558360755443573,0.86922150850296,1.31773889064789,0.49064302444458,0.840714931488037,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1,40,5,0,5,1,3,1,22,0,1,5,1,4,1,11,7,3,11,1,71,14,6,109,6,28,21,15,0,0,1.56828415393829,0.658730387687683,0.712895512580872,1.63320136070251,0.409085363149643,0.496787875890732,1.11854386329651,0.557897090911865,0.869939029216766,1.3179634809494,0.490326344966888,0.841163158416748,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,34,2,0,14,2,3,0,21,0,0,5,2,2,3,11,9,2,7,1,70,17,1,109,2,29,22,17,0,0,1.56833338737488,0.658692598342896,0.713174164295197,1.633096575737,0.409220576286316,0.496762156486511,1.11868989467621,0.557484149932861,0.870675683021545,1.31811940670013,0.489989191293716,0.841560304164887,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,34,3,0,4,0,3,1,22,2,0,3,1,4,0,9,8,3,8,3,71,15,14,105,5,29,21,12,2,0,1.56842076778412,0.658667683601379,0.713389039039612,1.63304233551025,0.409223973751068,0.496813833713532,1.11880624294281,0.557096600532532,0.871067941188812,1.31827557086945,0.489772737026215,0.841779172420502,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,3,4,35,3,0,1,0,9,0,20,5,0,3,1,7,4,11,7,4,6,4,69,16,1.01.5685756206512451,0.658557295799255,0.713823258876801,1.63287663459778,0.409297674894333,0.496992707252502,1.11873149871826,0.556466579437256,0.871023178100586,1.31842064857483,0.489458560943604,0.842081010341644,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,5,34,2,0,3,1,3,1,21,1,0,5,1,5,0,11,11,4,5,2,70,14,1,106,6,26,22,17,0,0,1.56865751743317,0.658499240875244,0.714056611061096,1.63283360004425,0.409338474273682,0.497014284133911,1.11854183673859,0.55623060464859,0.870532274246216,1.31829333305359,0.489349722862244,0.842084109783173,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,36,3,0,4,0,5,8,28,1,0,5,0,5,1,10,9,5,7,1,70,16,0,108,5,29,20,13,7,0,1.56870102882385,0.658445417881012,0.714280724525452,1.63281381130219,0.409368216991425,0.497081279754639,1.11819934844971,0.556128561496735,0.869949162006378,1.31805157661438,0.489257603883743,0.842031121253967,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3,39,0,0,6,6,4,1,22,3,0,4,0,2,0,13,7,2,7,0,70,17,0,110,3,29,18,16,1,0,1.56872951984406,0.658379077911377,0.714489817619324,1.63283824920654,0.409424185752869,0.497215539216995,1.11787021160126,0.556050300598145,0.869376599788666,1.31780517101288,0.489162892103195,0.841932833194733,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
2,9,2,34,2,1,5,0,5,1,23,3,0,5,0,4,7,12,9,3,7,1,69,12,0,109,7,28,20,14,0,7,1.56869101524353,0.658270955085754,0.714708149433136,1.63275003433228,0.409403681755066,0.497477978467941,1.11741948127747,0.55583268404007,0.868466317653656,1.31744909286499,0.489010095596314,0.841677665710449,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,1,0,33,3,0,3,0,1,12,23,5,2,3,0,0,0,16,7,1,3,11,70,20,0,110,8,23,23,16,0,1,1.56868898868561,0.658171117305756,0.714946329593658,1.63275194168091,0.409418284893036,0.497621089220047,1.11679923534393,0.555736064910889,0.867289841175079,1.31705915927887,0.48893940448761,0.841354489326477,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0,44,3,1,3,1,0,5,23,2,0,4,0,3,0,12,10,3,8,2,70,15,0,106,5,25,19,16,1,0,1.56868314743042,0.658081412315369,0.715173244476318,1.63285160064697,0.409451186656952,0.497827589511871,1.11617720127106,0.555642902851105,0.865683078765869,1.31651854515076,0.488771259784699,0.840860545635223,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,35,5,1,4,1,4,0,22,2,0,6,1,3,0,13,9,2,7,2,68,18,0,104,7,23,18,13,0,0,1.56864011287689,0.658022344112396,0.715284705162048,1.63287723064423,0.409486085176468,0.497917592525482,1.11565339565277,0.555555701255798,0.864315152168274,1.31603479385376,0.488594800233841,0.840431571006775,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,36,3,1,11,1,4,5,25,1,0,9,0,2,0,12,10,5,2,10,71,17,1,109,4,21,17,18,4,1,1.56858122348785,0.657929182052612,0.715448141098022,1.63288843631744,0.409446001052856,0.498077392578125,1.1148966550827,0.555435359477997,0.862440407276154,1.31533169746399,0.488296717405319,0.839757919311523,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,1,2,34,0,0,1,0,5,1,23,8,1,3,0,6,0,15,7,2,6,3,74,13,0,109,7,23,20,17,0,0,1.56848776340485,0.65784764289856,0.715561926364899,1.6329699754715,0.409490048885346,0.498032718896866,1.11411452293396,0.555255115032196,0.860486030578613,1.31460452079773,0.488000750541687,0.838993668556213,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,38,3,0,4,1,6,2,23,3,1,4,0,1,0,10,12,5,7,0,70,21,2,109,7,27,17,17,0,0,1.56834304332733,0.657757222652435,0.715594410896301,1.63314926624298,0.409617930650711,0.497964650392532,1.11301445960999,0.555218517780304,0.858253002166748,1.31376147270203,0.48789319396019,0.83815723657608,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,33,6,1,3,1,3,1,19,0,1,7,0,4,1,10,6,3,6,5,71,20,0,106,7,29,21,17,7,10,1.56823194026947,0.657713174819946,0.715663909912109,1.63324415683746,0.409626424312592,0.498069673776627,1.112056016922,0.555318474769592,0.856221795082092,1.31298220157623,0.487888127565384,0.837392330169678,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0,38,13,1,2,0,2,1,21,2,1,4,0,4,0,5,8,4,6,3,64,22,0,103,5,25,19,18,0,0,1.56810653209686,0.657636106014252,0.715768396854401,1.63346695899963,0.409432202577591,0.49870565533638,1.11075091362,0.555225133895874,0.853159129619598,1.31174552440643,0.4879489839077,0.83625066280365,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,1,11,34,2,2,3,0,3,1,24,1,0,6,0,9,1,12,7,3,5,1,70,20,3,104,9,22,23,17,1,0,1.56797277927399,0.657575666904449,0.71586000919342,1.63359546661377,0.409474194049835,0.4988674223423,1.10926592350006,0.555218100547791,0.849823951721191,1.31043946743011,0.488062590360642,0.834951996803284,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,36,4,0,6,3,6,0,24,2,0,4,0,1,0,14,7,7,7,5,70,16,0,103,5,20,22,11,2,0,1.56777203083038,0.657521963119507,0.715864598751068,1.63375377655029,0.40956312417984,0.498823285102844,1.10770976543427,0.555132210254669,0.846364796161652,1.30914926528931,0.488112658262253,0.833532512187958,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,0,1,34,3,1,3,0,11,0,22,1,0,9,1,3,1,14,9,3,5,4,65,19,0,106,6,18,21,12,0,0,1.56761360168457,0.657508611679077,0.715864837169647,1.63388550281525,0.409475654363632,0.499103248119354,1.10655808448792,0.55506694316864,0.843523204326629,1.30820035934448,0.488259702920914,0.832441091537476,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,2,1,34,2,0,7,0,7,1,21,2,0,5,1,2,0,10,9,4,7,3,70,19,1,104,7,22,21,9,1,0,1.56741797924042,0.657513916492462,0.715818285942078,1.63403344154358,0.4095219373703,0.499330788850784,1.105015873909,0.554939806461334,0.839343190193176,1.30693411827087,0.488393187522888,0.830882847309112,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,37,4,0,2,0,7,1,23,2,5,5,0,6,0,16,5,6,10,0,70,23,14,107,6,21,23,9,0,0,1.56725895404816,0.65752112865448,0.715762197971344,1.63425922393799,0.409505099058151,0.49954029917717,1.10331320762634,0.554855763912201,0.83467572927475,1.30551052093506,0.488464385271072,0.82909369468689,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
8,5,2,36,4,1,7,0,6,0,22,1,0,2,0,3,0,14,11,3,6,0,72,22,0,100,5,23,26,6,0,1,1.56715154647827,0.657501816749573,0.715758144855499,1.63442814350128,0.409479945898056,0.499658077955246,1.10206019878387,0.554603099822998,0.83111172914505,1.30432593822479,0.488390564918518,0.827603876590729,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,37,3,0,4,1,6,1,22,1,1,11,0,1,0,11,11,5,8,1,72,29,0,104,4,23,23,3,0,10,1.56693410873413,0.657416343688965,0.71573531627655,1.63458788394928,0.409523576498032,0.499714076519012,1.10031616687775,0.554323971271515,0.826293408870697,1.30269169807434,0.488279104232788,0.825514674186706,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,2,1,36,0,0,4,0,4,0,21,3,1,3,7,0,0,11,9,4,11,1,69,27,0,103,13,20,23,7,0,13,1.5666538476944,0.657302379608154,0.715607702732086,1.63473701477051,0.409435868263245,0.499968469142914,1.09860718250275,0.553897976875305,0.82127833366394,1.30106997489929,0.488088309764862,0.823371708393097,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2,37,2,0,2,0,7,0,23,1,1,3,0,1,1,8,10,4,5,1,71,26,2,100,9,23,23,7,13,0,1.56635701656342,0.657210946083069,0.715558171272278,1.63495230674744,0.409371107816696,0.500157177448273,1.09687805175781,0.553599953651428,0.81592869758606,1.29947507381439,0.487888514995575,0.821105480194092,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,37,9,3,6,0,5,1,23,3,2,5,0,2,0,13,7,4,7,2,72,24,3,97,5,21,24,8,0,0,1.56603670120239,0.65718674659729,0.715329527854919,1.63524889945984,0.409278243780136,0.500367522239685,1.09517467021942,0.553274512290955,0.810040593147278,1.29779410362244,0.487709850072861,0.818707168102264,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,1,4,34,3,0,2,0,9,1,23,2,0,4,0,1,0,9,4,3,11,1,70,25,1,101,5,24,21,4,1,2,1.56583857536316,0.657164096832275,0.715231597423553,1.63544404506683,0.409276366233826,0.500444829463959,1.09391820430756,0.552994310855866,0.805439829826355,1.29646146297455,0.487635999917984,0.816947817802429,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,29,4,4,6,0,9,0,23,1,1,5,0,2,1,11,7,0,13,0,71,25,1,103,5,25,20,8,1,0,1.565638422966,0.657113254070282,0.715185642242431,1.63584136962891,0.409349977970123,0.500252246856689,1.0922954082489,0.552640914916992,0.799213349819183,1.29466378688812,0.487493962049484,0.814252734184265,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,10,1,41,3,1,5,1,9,1,24,5,0,2,0,10,2,9,9,0,12,2,71,25,1,100,7,19,26,9,1,0,1.56535243988037,0.657052934169769,0.715044558048248,1.636066198349,0.409184098243713,0.500718832015991,1.09073960781097,0.55215322971344,0.792696356773376,1.29288387298584,0.487268179655075,0.811309933662415,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,38,1,0,7,0,9,2,25,0,0,2,1,0,0,15,4,6,10,0,73,24,1,99,5,25,24,9,1,1,1.56516921520233,0.657018303871155,0.714979887008667,1.63629138469696,0.409181475639343,0.500872075557709,1.08953559398651,0.551938772201538,0.787714183330536,1.29153776168823,0.487016767263413,0.809091806411743,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,39,0,0,3,2,9,1,25,1,1,8,0,4,0,7,14,8,13,0,66,24,1,101,7,25,24,15,0,0,1.56498956680298,0.65697431564331,0.715079724788666,1.63655495643616,0.409228980541229,0.500975966453552,1.0880331993103,0.551559388637543,0.78061181306839,1.28972327709198,0.48703145980835,0.806420803070068,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0,36,3,1,3,4,9,1,26,1,0,5,0,0,0,11,11,1,13,1,70,19,3,100,6,21,21,8,0,1,1.56483590602875,0.656917095184326,0.715050518512726,1.63678705692291,0.409199506044388,0.5011927485466,1.08658587932587,0.551225066184998,0.773487985134125,1.28785228729248,0.486726403236389,0.803078889846802,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,3,1,37,13,16,4,6,11,2,23,1,1,4,9,0,0,11,11,4,14,0,72,25,1,103,3,20,23,10,1,1,1.56473028659821,0.656849145889282,0.715118169784546,1.63694715499878,0.409278333187103,0.501325309276581,1.08554148674011,0.550948679447174,0.768280565738678,1.28643405437469,0.486511200666428,0.800536930561066,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,1,2,39,0,5,2,0,13,1,25,2,0,2,0,2,1,12,10,7,14,1,71,28,5,100,4,25,26,9,0,0,1.56453561782837,0.656746089458466,0.715160012245178,1.63718116283417,0.409327834844589,0.501428544521332,1.08429992198944,0.550527393817902,0.761015713214874,1.28460872173309,0.486236870288849,0.797146379947662,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,7,3,39,7,0,6,0,10,0,25,4,1,3,0,5,1,14,9,4,11,1,70,27,2,99,6,25,28,7,2,0,1.56435358524323,0.656654596328735,0.715213119983673,1.63742303848267,0.409287720918655,0.501671612262726,1.08329546451569,0.550092875957489,0.753523111343384,1.28285622596741,0.486093372106552,0.793854415416718,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,4,0,33,4,0,5,0,10,14,32,1,0,5,1,2,0,14,10,8,11,5,69,25,0,98,8,22,26,5,0,0,1.56415259838104,0.656603634357452,0.715183615684509,1.63772928714752,0.409371227025986,0.501748383045197,1.08238840103149,0.549861788749695,0.74580055475235,1.28113114833832,0.485877931118012,0.790446043014526,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,3,2,36,5,0,0,1,14,1,31,5,0,4,1,0,0,14,12,6,14,1,69,26,2,104,5,22,26,4,3,0,1.56395995616913,0.656538367271423,0.715077698230743,1.63805401325226,0.409372985363007,0.501895546913147,1.08140003681183,0.549702763557434,0.737740218639374,1.27939748764038,0.485711306333542,0.786737322807312,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
0,1,3,35,6,1,14,1,10,1,34,3,4,9,0,3,1,16,12,6,14,2,68,25,1,100,0,24,24,1,7,0,1.56390416622162,0.656506538391113,0.715185642242431,1.63831961154938,0.409373790025711,0.502101480960846,1.08095109462738,0.549501836299896,0.731757283210754,1.27803111076355,0.485520780086517,0.783976316452026,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,35,4,0,3,0,10,9,40,0,0,5,0,0,0,11,7,6,15,1,69,25,2,97,1,22,25,6,0,1,1.56380653381348,0.656378388404846,0.715367794036865,1.63843536376953,0.409349203109741,0.502515494823456,1.08023738861084,0.549246311187744,0.72410774230957,1.27621209621429,0.485106021165848,0.780298411846161,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,34,2,1,4,0,7,1,35,1,0,3,0,1,0,13,13,6,17,2,67,24,1,101,1,20,27,7,3,0,1.56366550922394,0.656194150447845,0.715540766716003,1.63866758346558,0.409382581710815,0.502700686454773,1.07979702949524,0.548895716667175,0.716391324996948,1.27453017234802,0.484727084636688,0.776714742183685,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,39,7,2,4,0,11,3,32,4,1,5,1,1,3,16,15,6,17,1,69,24,0,97,5,23,27,4,12,8,1.56349217891693,0.656053185462952,0.715656518936157,1.63886845111847,0.409426391124725,0.502858757972717,1.07940053939819,0.54868471622467,0.708318531513214,1.27294516563416,0.484368294477463,0.77308201789856,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,14,3,34,6,3,5,1,11,2,35,1,0,5,1,2,1,12,12,8,19,1,67,23,1,100,0,23,32,7,0,0,1.56338036060333,0.655929625034332,0.715683043003082,1.63901162147522,0.409432917833328,0.503006339073181,1.07912504673004,0.54865288734436,0.701803922653198,1.27177166938782,0.484166383743286,0.770268857479095,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,33,5,1,3,11,2,1,43,4,0,5,0,1,0,12,14,9,15,3,66,25,0,100,7,28,31,0,0,0,1.56329047679901,0.655772030353546,0.715831637382507,1.63923692703247,0.409504234790802,0.503121554851532,1.07914781570435,0.548450529575348,0.69303035736084,1.27009725570679,0.483982622623444,0.766371846199035,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,3,3,30,9,1,13,1,7,1,50,1,1,6,1,0,1,12,11,6,22,1,65,24,1,99,11,23,31,2,1,0,1.56323397159576,0.655676305294037,0.716068804264069,1.63937175273895,0.409521579742432,0.50332635641098,1.07900023460388,0.547824680805206,0.684090435504913,1.26824736595154,0.483725845813751,0.761962473392487,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,29,9,0,6,0,5,3,45,1,0,5,6,0,0,13,11,6,22,2,61,25,1,101,5,24,35,11,0,0,1.5631400346756,0.655524015426636,0.716405153274536,1.63942646980286,0.409539818763733,0.503633141517639,1.07889199256897,0.547237753868103,0.675577163696289,1.26641047000885,0.483858793973923,0.757894515991211,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,4,4,37,10,9,4,0,5,0,43,0,0,1,1,1,1,18,11,12,12,0,64,22,1,99,6,27,29,9,0,2,1.56302130222321,0.655357480049133,0.716590225696564,1.63948285579681,0.409620553255081,0.503779292106628,1.0789567232132,0.547010004520416,0.669077217578888,1.26519858837128,0.483877271413803,0.754551827907562,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,0,6,31,7,0,5,4,12,1,41,0,1,3,0,1,0,16,12,7,17,0,67,23,2,101,1,24,31,7,1,0,1.5628719329834,0.655192852020264,0.716732144355774,1.63965594768524,0.4096539914608,0.503950238227844,1.07919549942017,0.546562671661377,0.66014301776886,1.26361584663391,0.484276354312897,0.750619888305664,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,0,2,35,11,1,5,0,11,0,42,1,8,0,0,1,0,17,12,10,10,2,67,26,0,100,5,22,29,11,1,0,1.56271135807037,0.655031979084015,0.7168909907341,1.63989055156708,0.409753501415253,0.504137933254242,1.07985305786133,0.546503067016602,0.650435507297516,1.26204574108124,0.484466731548309,0.746181488037109,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
