S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,46,13,0,1,0,10,1,47,2,0,1,6,0,1,8,11,14,13,7,49,22,0,84,8,17,30,10,0,0,1.55787754058838,0.647004246711731,0.727663457393646,1.64791083335876,0.413134604692459,0.515866041183472,1.2426438331604,0.542862296104431,0.360417276620865,1.26690602302551,0.49256631731987,0.578278720378876,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,45,17,1,7,0,9,3,45,4,1,0,1,4,4,9,6,13,15,5,49,27,7,81,7,17,30,10,0,0,1.55775761604309,0.647049009799957,0.727429151535034,1.64779376983643,0.413128316402435,0.51560765504837,1.23437893390656,0.543271720409393,0.365869343280792,1.26474404335022,0.49216303229332,0.582844376564026,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,0,2,42,13,0,7,1,7,3,48,4,0,5,0,0,14,12,11,15,15,6,48,29,0,84,10,12,31,9,0,0,1.55767464637756,0.647068917751312,0.727279901504517,1.64769756793976,0.413150757551193,0.515287101268768,1.22594344615936,0.544236242771149,0.371361285448074,1.26267516613007,0.491980880498886,0.587529718875885,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,45,14,0,7,1,7,0,47,4,0,2,1,0,1,15,11,13,18,5,50,27,1,83,8,16,28,8,0,0,1.55762922763824,0.647044062614441,0.727205514907837,1.64755344390869,0.413144648075104,0.515101134777069,1.22005975246429,0.544620394706726,0.375661820173264,1.26123666763306,0.492037206888199,0.590905666351318,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,2,0,49,11,0,9,1,9,1,49,10,1,0,14,5,1,12,8,10,19,7,50,25,0,85,8,19,29,12,1,0,1.5575225353241,0.647025167942047,0.727105379104614,1.64736688137054,0.413136899471283,0.514830350875855,1.21312725543976,0.544157266616821,0.381581008434296,1.25950884819031,0.492169678211212,0.595318675041199,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,2,3,48,9,0,7,0,11,1,41,8,0,5,7,2,0,13,7,16,18,1,47,26,13,87,13,18,29,8,0,0,1.55740487575531,0.647057890892029,0.726955413818359,1.64709484577179,0.41315633058548,0.514525592327118,1.20536315441132,0.545382797718048,0.3872349858284,1.25772643089294,0.492406249046326,0.599688231945038,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
5,8,3,45,9,0,7,0,8,2,43,0,0,6,0,12,2,9,7,7,16,8,51,27,0,85,7,16,30,9,1,0,1.5572966337204,0.647085130214691,0.72668182849884,1.64689111709595,0.413184404373169,0.514160752296448,1.19853699207306,0.545891463756561,0.393409460783005,1.255974650383,0.4924456179142,0.604279041290283,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,0,3,46,9,1,7,2,7,0,45,3,3,4,1,6,0,13,7,14,19,5,50,20,2,86,9,14,25,8,1,1,1.55725276470184,0.647135078907013,0.726434648036957,1.6467741727829,0.413166224956512,0.513899564743042,1.19332981109619,0.546360075473785,0.398163795471191,1.25458753108978,0.492564082145691,0.6078941822052,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
8,0,7,42,10,0,8,1,9,1,46,6,0,5,1,2,1,12,10,8,17,7,51,23,2,86,6,14,27,9,3,0,1.55719935894012,0.647211074829102,0.726158678531647,1.64660823345184,0.413171529769898,0.513563215732574,1.18655383586884,0.546959936618805,0.404548048973084,1.25315570831299,0.492562383413315,0.61250627040863,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,0,2,44,10,0,3,0,6,1,44,5,3,6,1,1,0,11,16,11,19,7,50,23,1,87,9,15,31,9,11,0,1.55718195438385,0.647236049175262,0.725805699825287,1.64629948139191,0.413118571043014,0.513084590435028,1.17777669429779,0.546369612216949,0.414680182933807,1.25098180770874,0.492988675832748,0.619829297065735,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
