S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
4.0,0.0,6.0,57.0,17.0,1.0,7.0,1.0,7.0,0.0,12.0,12.0,2.0,4.0,1.0,12.0,1.0,5.0,42.0,29.0,26.0,6.0,111.0,14.0,0.0,82.0,6.0,28.0,25.0,9.0,1.0,1.51273274421692,0.634562075138092,0.759794652462006,1.65050184726715,0.424079090356827,0.548925042152405,1.34245491027832,0.629976093769074,0.302959561347961,1.29515242576599,0.559444487094879,0.50703901052475,16_Aug_2023_12_41
5.0,1.0,5.0,55.0,17.0,1.0,8.0,0.0,6.0,0.0,13.0,2.0,2.0,0.0,0.0,13.0,11.0,6.0,39.0,26.0,24.0,5.0,106.0,16.0,1.0,82.0,3.0,30.0,25.0,9.0,1.0,1.51273274421692,0.634562075138092,0.759794652462006,1.65050184726715,0.424079090356827,0.548925042152405,1.34245491027832,0.629976093769074,0.302959561347961,1.29515242576599,0.559444487094879,0.50703901052475,16_Aug_2023_12_41
2.0,0.0,6.0,53.0,14.0,8.0,7.0,0.0,5.0,1.0,8.0,3.0,1.0,0.0,1.0,13.0,1.0,8.0,39.0,26.0,27.0,1.0,107.0,14.0,1.0,90.0,4.0,25.0,25.0,13.0,1.0,1.51274836063385,0.634560406208038,0.759797751903534,1.65052044391632,0.424105286598206,0.54887592792511,1.34248244762421,0.630003273487091,0.302966833114624,1.29516315460205,0.559469640254974,0.507049024105072,16_Aug_2023_12_41
6.0,1.0,2.0,59.0,15.0,0.0,7.0,0.0,3.0,6.0,10.0,6.0,3.0,3.0,1.0,12.0,1.0,8.0,42.0,31.0,25.0,9.0,109.0,18.0,1.0,84.0,5.0,29.0,27.0,13.0,1.0,1.51274836063385,0.634560406208038,0.759797751903534,1.65052044391632,0.424105286598206,0.54887592792511,1.34248244762421,0.630003273487091,0.302966833114624,1.29516315460205,0.559469640254974,0.507049024105072,16_Aug_2023_12_41
4.0,0.0,3.0,54.0,16.0,0.0,5.0,3.0,0.0,0.0,10.0,4.0,0.0,2.0,0.0,13.0,1.0,8.0,39.0,30.0,26.0,11.0,110.0,16.0,2.0,88.0,5.0,32.0,27.0,13.0,0.0,1.51275873184204,0.634558916091919,0.759811818599701,1.65040469169617,0.424106597900391,0.549019157886505,1.34249782562256,0.630033016204834,0.302977532148361,1.29516971111298,0.559494137763977,0.507054805755615,16_Aug_2023_12_41
5.0,2.0,3.0,53.0,17.0,2.0,6.0,1.0,4.0,0.0,8.0,3.0,2.0,4.0,1.0,15.0,2.0,4.0,39.0,27.0,28.0,4.0,109.0,13.0,2.0,87.0,5.0,28.0,27.0,13.0,3.0,1.5127694606781,0.634555757045746,0.759820401668549,1.65039205551147,0.424118667840958,0.54902571439743,1.34252190589905,0.630062580108643,0.302985191345215,1.29517865180969,0.559504151344299,0.507060706615448,16_Aug_2023_12_41
5.0,0.0,2.0,55.0,15.0,0.0,3.0,0.0,0.0,0.0,10.0,4.0,2.0,3.0,0.0,13.0,0.0,6.0,44.0,28.0,22.0,5.0,106.0,14.0,1.0,85.0,4.0,25.0,26.0,12.0,8.0,1.5127694606781,0.634555757045746,0.759820401668549,1.65039205551147,0.424118667840958,0.54902571439743,1.34252190589905,0.630062580108643,0.302985191345215,1.29517865180969,0.559504151344299,0.507060706615448,16_Aug_2023_12_41
6.0,1.0,5.0,54.0,19.0,0.0,5.0,0.0,3.0,0.0,14.0,2.0,12.0,5.0,3.0,12.0,8.0,7.0,39.0,28.0,25.0,5.0,108.0,14.0,2.0,84.0,3.0,28.0,26.0,9.0,0.0,1.51278340816498,0.634557068347931,0.759823203086853,1.65038299560547,0.424135118722916,0.54903656244278,1.34253716468811,0.630110561847687,0.302995622158051,1.29518616199493,0.559522926807404,0.507065534591675,16_Aug_2023_12_41
3.0,0.0,3.0,53.0,18.0,0.0,6.0,7.0,3.0,3.0,10.0,3.0,1.0,2.0,7.0,13.0,4.0,8.0,42.0,28.0,23.0,6.0,109.0,16.0,2.0,77.0,4.0,28.0,27.0,11.0,1.0,1.51278340816498,0.634557068347931,0.759823203086853,1.65038299560547,0.424135118722916,0.54903656244278,1.34253716468811,0.630110561847687,0.302995622158051,1.29518616199493,0.559522926807404,0.507065534591675,16_Aug_2023_12_41
3.0,0.0,2.0,55.0,18.0,0.0,11.0,0.0,5.0,1.0,11.0,2.0,5.0,4.0,1.0,12.0,0.0,8.0,41.0,28.0,24.0,6.0,109.0,15.0,3.0,84.0,0.0,26.0,25.0,13.0,9.0,1.5128014087677,0.634555041790008,0.75982803106308,1.65049433708191,0.424185037612915,0.548860490322113,1.34256255626678,0.630153298377991,0.303003042936325,1.29516291618347,0.559590756893158,0.507070958614349,16_Aug_2023_12_41
6.0,0.0,6.0,54.0,13.0,0.0,7.0,13.0,7.0,2.0,6.0,5.0,1.0,4.0,0.0,12.0,1.0,5.0,39.0,26.0,26.0,4.0,106.0,15.0,1.0,84.0,11.0,28.0,25.0,12.0,0.0,1.5128014087677,0.634555041790008,0.75982803106308,1.65049433708191,0.424185037612915,0.548860490322113,1.34256255626678,0.630153298377991,0.303003042936325,1.29516291618347,0.559590756893158,0.507070958614349,16_Aug_2023_12_41
6.0,0.0,5.0,53.0,15.0,1.0,6.0,0.0,2.0,0.0,10.0,4.0,0.0,6.0,1.0,12.0,1.0,6.0,39.0,27.0,22.0,6.0,104.0,15.0,1.0,78.0,4.0,22.0,25.0,13.0,1.0,1.51281833648682,0.634558260440826,0.759828090667725,1.65053284168243,0.424221724271774,0.5488161444664,1.34254312515259,0.63018411397934,0.303060799837112,1.29519176483154,0.559580326080322,0.507085263729095,16_Aug_2023_12_41
3.0,1.0,3.0,55.0,17.0,0.0,7.0,9.0,3.0,2.0,9.0,2.0,0.0,7.0,1.0,12.0,1.0,10.0,41.0,29.0,24.0,7.0,108.0,16.0,3.0,79.0,5.0,29.0,27.0,11.0,1.0,1.51281833648682,0.634558260440826,0.759828090667725,1.65053284168243,0.424221724271774,0.5488161444664,1.34254312515259,0.63018411397934,0.303060799837112,1.29519176483154,0.559580326080322,0.507085263729095,16_Aug_2023_12_41
3.0,0.0,3.0,56.0,18.0,0.0,7.0,1.0,11.0,2.0,9.0,2.0,2.0,2.0,2.0,12.0,11.0,7.0,40.0,29.0,26.0,7.0,107.0,16.0,1.0,81.0,5.0,25.0,32.0,15.0,0.0,1.5128356218338,0.63456130027771,0.759831011295319,1.6505252122879,0.424244552850723,0.54880827665329,1.34270739555359,0.630053639411926,0.303051769733429,1.29517757892609,0.559646964073181,0.507084488868713,16_Aug_2023_12_41
7.0,12.0,5.0,53.0,17.0,0.0,7.0,0.0,2.0,2.0,8.0,4.0,1.0,4.0,1.0,13.0,2.0,7.0,41.0,27.0,24.0,5.0,107.0,17.0,1.0,81.0,5.0,29.0,26.0,12.0,7.0,1.51284956932068,0.634572207927704,0.759820759296417,1.6504088640213,0.424248188734055,0.548990607261658,1.34260666370392,0.63027960062027,0.303117424249649,1.29517960548401,0.559677064418793,0.507096230983734,16_Aug_2023_12_41
4.0,2.0,5.0,54.0,13.0,0.0,7.0,0.0,2.0,2.0,10.0,1.0,2.0,2.0,1.0,14.0,2.0,10.0,43.0,27.0,25.0,5.0,106.0,17.0,2.0,80.0,6.0,26.0,22.0,13.0,0.0,1.51284956932068,0.634572207927704,0.759820759296417,1.6504088640213,0.424248188734055,0.548990607261658,1.34260666370392,0.63027960062027,0.303117424249649,1.29517960548401,0.559677064418793,0.507096230983734,16_Aug_2023_12_41
5.0,0.0,3.0,53.0,15.0,0.0,7.0,1.0,3.0,1.0,11.0,3.0,0.0,3.0,1.0,14.0,2.0,5.0,39.0,27.0,24.0,10.0,107.0,14.0,2.0,82.0,0.0,30.0,28.0,11.0,0.0,1.51285624504089,0.634580731391907,0.759836196899414,1.65040445327759,0.424270302057266,0.548985600471497,1.34261476993561,0.630317091941834,0.303145527839661,1.29517841339111,0.559711873531342,0.507100105285645,16_Aug_2023_12_41
9.0,1.0,5.0,56.0,18.0,0.0,5.0,0.0,4.0,0.0,10.0,4.0,1.0,7.0,3.0,14.0,5.0,8.0,41.0,29.0,26.0,8.0,106.0,16.0,1.0,80.0,0.0,28.0,25.0,10.0,1.0,1.51285624504089,0.634580731391907,0.759836196899414,1.65040445327759,0.424270302057266,0.548985600471497,1.34261476993561,0.630317091941834,0.303145527839661,1.29517841339111,0.559711873531342,0.507100105285645,16_Aug_2023_12_41
7.0,0.0,3.0,54.0,17.0,0.0,8.0,0.0,3.0,0.0,10.0,6.0,2.0,4.0,1.0,14.0,7.0,6.0,41.0,28.0,25.0,8.0,107.0,16.0,1.0,84.0,2.0,31.0,25.0,13.0,0.0,1.51287078857422,0.634590744972229,0.759836673736572,1.65051305294037,0.424304276704788,0.54883599281311,1.3427015542984,0.630207777023315,0.303129583597183,1.29518210887909,0.559738159179688,0.507108092308044,16_Aug_2023_12_41
4.0,2.0,4.0,58.0,18.0,0.0,7.0,0.0,3.0,0.0,10.0,3.0,0.0,4.0,0.0,12.0,1.0,5.0,41.0,23.0,26.0,3.0,106.0,17.0,2.0,80.0,6.0,28.0,27.0,14.0,0.0,1.51287078857422,0.634590744972229,0.759836673736572,1.65051305294037,0.424304276704788,0.54883599281311,1.3427015542984,0.630207777023315,0.303129583597183,1.29518210887909,0.559738159179688,0.507108092308044,16_Aug_2023_12_41
