S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
26,24,24,26,24,25,24,24,25,24,25,24,24,25,24,24,28,27,27,27,27,26,27,28,27,26,24,26,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.99281507730484,0.022080706432462,-0.468962281942368,1.09678769111633,0.01637102663517,-0.553148627281189,1.3166139125824,0.039433345198631,-0.505031228065491,03_May_2023_14:59
25,24,25,25,24,24,24,24,24,24,25,25,24,23,24,25,30,22,27,27,26,27,29,27,27,27,27,27,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.99281507730484,0.022080706432462,-0.468962281942368,1.09678769111633,0.01637102663517,-0.553148627281189,1.3166139125824,0.039433345198631,-0.505031228065491,03_May_2023_14:59
25,24,25,24,23,24,23,24,23,24,24,24,26,25,21,24,28,27,27,26,26,27,27,27,26,27,27,27,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992813587188721,0.022073704749346,-0.468967825174332,1.09679579734802,0.016328148543835,-0.553167700767517,1.31660234928131,0.039451103657484,-0.505017042160034,03_May_2023_14:59
26,21,24,24,25,23,25,24,24,23,24,24,25,24,23,23,27,25,26,26,27,26,26,26,26,26,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992813587188721,0.022073704749346,-0.468967825174332,1.09679579734802,0.016328148543835,-0.553167700767517,1.31660234928131,0.039451103657484,-0.505017042160034,03_May_2023_14:59
26,24,24,24,24,24,25,25,23,24,25,24,24,24,24,24,25,27,25,27,27,26,27,26,27,28,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992822706699371,0.02205983735621,-0.468965739011764,1.09677600860596,0.016350952908397,-0.553169846534729,1.31661474704742,0.039428800344467,-0.505027294158935,03_May_2023_14:59
26,25,25,24,25,25,25,24,24,24,25,25,25,25,24,24,29,28,27,27,26,27,27,26,27,27,27,27,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992822706699371,0.02205983735621,-0.468965739011764,1.09677600860596,0.016350952908397,-0.553169846534729,1.31661474704742,0.039428800344467,-0.505027294158935,03_May_2023_14:59
26,24,25,24,21,23,23,24,23,25,23,24,24,25,24,24,27,26,26,27,26,27,27,27,26,28,26,26,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992834389209747,0.022042183205485,-0.46894645690918,1.09680259227753,0.016332786530256,-0.553168177604675,1.31661212444305,0.039433654397726,-0.505017399787903,03_May_2023_14:59
25,24,24,24,24,23,24,24,26,24,23,24,24,23,24,25,28,27,26,29,27,26,27,27,28,27,26,27,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992834389209747,0.022042183205485,-0.46894645690918,1.09680259227753,0.016332786530256,-0.553168177604675,1.31661212444305,0.039433654397726,-0.505017399787903,03_May_2023_14:59
26,25,25,25,25,24,24,25,24,25,25,24,25,25,25,25,29,27,27,30,27,27,28,27,28,27,27,27,28,0.83457362651825,0.017551463097334,-0.335338473320007,0.992849290370941,0.022025987505913,-0.468942761421204,1.09680449962616,0.016328791156411,-0.553170502185822,1.31663477420807,0.039397567510605,-0.505031824111939,03_May_2023_14:59
25,24,24,24,24,25,25,25,25,25,25,25,23,24,24,23,28,26,26,26,26,27,25,26,28,26,26,26,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992849290370941,0.022025987505913,-0.468942761421204,1.09680449962616,0.016328791156411,-0.553170502185822,1.31663477420807,0.039397567510605,-0.505031824111939,03_May_2023_14:59
