S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
26,25,25,26,24,25,25,25,24,26,24,24,25,24,24,24,28,28,27,27,27,27,27,27,27,27,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992833912372589,0.022076582536101,-0.46895295381546,1.09678840637207,0.01633851416409,-0.55315351486206,1.31660914421082,0.039471633732319,-0.505001962184906,03_May_2023_14:58
26,24,24,23,24,24,25,23,24,25,24,25,24,24,24,24,28,26,27,26,27,27,27,26,27,27,27,26,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.99284815788269,0.022064786404371,-0.468949615955353,1.09681415557861,0.016338899731636,-0.553153395652771,1.31662011146545,0.039467185735703,-0.505002498626709,03_May_2023_14:58
27,23,24,23,24,25,24,24,23,24,24,25,25,24,24,25,28,26,27,26,26,27,27,27,28,26,29,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.99284815788269,0.022064786404371,-0.468949615955353,1.09681415557861,0.016338899731636,-0.553153395652771,1.31662011146545,0.039467185735703,-0.505002498626709,03_May_2023_14:58
25,24,24,24,25,24,24,24,24,23,27,27,28,24,25,25,27,27,27,27,27,30,27,26,28,26,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992863893508911,0.022048538550735,-0.468928843736649,1.09683120250702,0.01634506881237,-0.553149104118347,1.31663370132446,0.03946490585804,-0.505000412464142,03_May_2023_14:58
27,25,25,24,25,24,24,25,25,25,24,25,24,24,25,24,27,26,27,26,26,27,27,27,27,26,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992863893508911,0.022048538550735,-0.468928843736649,1.09683120250702,0.01634506881237,-0.553149104118347,1.31663370132446,0.03946490585804,-0.505000412464142,03_May_2023_14:58
25,24,24,24,24,24,24,25,24,25,23,26,23,24,25,24,28,26,26,28,26,25,26,27,24,26,26,26,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992863893508911,0.022048538550735,-0.468928843736649,1.09683120250702,0.01634506881237,-0.553149104118347,1.31663370132446,0.03946490585804,-0.505000412464142,03_May_2023_14:58
26,25,24,24,25,25,24,25,25,24,24,25,25,24,25,23,28,25,27,27,27,27,28,26,27,28,27,27,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992873430252075,0.022037029266358,-0.468924283981323,1.09683930873871,0.016349632292986,-0.553153395652771,1.31664037704468,0.039456985890865,-0.504998981952667,03_May_2023_14:58
26,25,24,25,24,25,25,26,25,24,26,26,24,25,25,25,28,27,27,28,28,26,28,27,27,28,28,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992873430252075,0.022037029266358,-0.468924283981323,1.09683930873871,0.016349632292986,-0.553153395652771,1.31664037704468,0.039456985890865,-0.504998981952667,03_May_2023_14:58
26,24,24,24,24,24,23,23,21,24,25,24,24,23,25,19,28,27,27,26,26,26,26,27,26,27,23,26,28,0.83457362651825,0.017551463097334,-0.335338473320007,0.99287736415863,0.022036023437977,-0.468920111656189,1.09684884548187,0.016345987096429,-0.553148329257965,1.31664383411407,0.039450701326132,-0.504998028278351,03_May_2023_14:58
25,25,24,24,25,24,24,25,26,24,23,24,24,25,25,24,28,27,27,27,26,27,26,27,27,26,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.99287736415863,0.022036023437977,-0.468920111656189,1.09684884548187,0.016345987096429,-0.553148329257965,1.31664383411407,0.039450701326132,-0.504998028278351,03_May_2023_14:58
25,25,25,24,24,25,23,24,25,26,26,25,25,25,25,25,28,27,27,27,27,27,27,28,27,27,27,27,28,0.83457362651825,0.017551463097334,-0.335338473320007,0.99287736415863,0.022036023437977,-0.468920111656189,1.09684884548187,0.016345987096429,-0.553148329257965,1.31664383411407,0.039450701326132,-0.504998028278351,03_May_2023_14:58
26,24,24,22,24,26,24,25,23,26,24,23,24,25,24,26,29,27,26,27,26,26,27,26,27,26,26,27,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992873668670654,0.022040102630854,-0.468922644853592,1.09684085845947,0.016313053667545,-0.55315363407135,1.31663501262665,0.039459396153689,-0.504986703395844,03_May_2023_14:58
26,24,23,24,24,25,24,24,23,24,22,24,25,23,24,24,27,26,26,25,26,27,26,27,27,27,26,26,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992873668670654,0.022040102630854,-0.468922644853592,1.09684085845947,0.016313053667545,-0.55315363407135,1.31663501262665,0.039459396153689,-0.504986703395844,03_May_2023_14:58
24,24,25,25,26,25,24,24,24,24,25,26,25,25,25,24,28,27,27,26,27,27,26,27,27,27,26,27,30,0.83457362651825,0.017551463097334,-0.335338473320007,0.992851555347443,0.022040329873562,-0.468926727771759,1.09682667255402,0.016323132440448,-0.553156435489655,1.31662631034851,0.039465308189392,-0.504986464977264,03_May_2023_14:58
26,25,26,27,25,25,24,24,25,25,25,26,24,24,24,22,28,27,27,29,28,26,27,26,27,27,26,26,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992851555347443,0.022040329873562,-0.468926727771759,1.09682667255402,0.016323132440448,-0.553156435489655,1.31662631034851,0.039465308189392,-0.504986464977264,03_May_2023_14:58
27,23,24,25,25,24,24,24,24,23,23,23,23,24,24,27,27,26,26,27,26,27,28,26,26,26,27,26,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992838203907013,0.022049868479371,-0.468926221132278,1.09679472446442,0.016323987394571,-0.553152859210968,1.31661593914032,0.039472028613091,-0.504985988140106,03_May_2023_14:58
26,24,24,27,24,23,23,23,25,24,24,25,24,24,25,24,29,28,27,27,26,27,27,27,27,28,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992838203907013,0.022049868479371,-0.468926221132278,1.09679472446442,0.016323987394571,-0.553152859210968,1.31661593914032,0.039472028613091,-0.504985988140106,03_May_2023_14:58
26,26,24,24,25,25,25,24,24,26,26,24,26,23,25,26,29,26,27,27,27,28,28,26,27,28,27,28,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992838203907013,0.022049868479371,-0.468926221132278,1.09679472446442,0.016323987394571,-0.553152859210968,1.31661593914032,0.039472028613091,-0.504985988140106,03_May_2023_14:58
25,23,24,24,24,21,25,24,24,25,22,23,24,25,24,24,28,26,27,27,27,25,27,26,27,27,27,26,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992838323116302,0.022064540535212,-0.468940198421478,1.09681975841522,0.016301013529301,-0.553133189678192,1.31659996509552,0.039498943835497,-0.504971623420715,03_May_2023_14:58
25,23,24,24,24,24,24,24,24,24,23,23,24,24,24,24,28,27,26,27,26,27,27,27,27,27,27,27,26,0.83457362651825,0.017551463097334,-0.335338473320007,0.992838323116302,0.022064540535212,-0.468940198421478,1.09681975841522,0.016301013529301,-0.553133189678192,1.31659996509552,0.039498943835497,-0.504971623420715,03_May_2023_14:58
26,25,23,25,25,25,25,26,24,24,24,25,25,24,25,25,28,27,26,27,27,27,26,27,27,28,27,27,27,0.83457362651825,0.017551463097334,-0.335338473320007,0.992839097976685,0.022080637514591,-0.468939363956451,1.09682250022888,0.016299638897181,-0.553131103515625,1.31660437583923,0.039492607116699,-0.50497579574585,03_May_2023_14:58
