S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,41,2,1,68,7,296,2,47,137,8,55,0,67,8,68,4,58,23,40,24,0,17,76,27,176,39,161,231,-1.45906436443329,0.26951801776886,0.505800247192383,-1.80932104587555,0.206055343151093,0.396054536104202,-1.54468274116516,0.63203239440918,0.583813011646271,-1.7770117521286,0.345985293388367,0.51855194568634,14_Jun_2023_08:30
2,32,0,1,61,13,329,5,53,138,13,56,0,72,3,75,10,78,3,46,23,1,20,86,27,191,39,163,233,-1.45906436443329,0.26951801776886,0.505800247192383,-1.80932104587555,0.206055343151093,0.396054536104202,-1.54468274116516,0.63203239440918,0.583813011646271,-1.7770117521286,0.345985293388367,0.51855194568634,14_Jun_2023_08:30
1,63,1,3,71,12,349,1,59,174,13,60,1,76,5,88,16,61,7,18,39,2,25,97,35,252,22,167,289,-1.45844554901123,0.270312696695328,0.506429314613342,-1.80917692184448,0.206541180610657,0.39576917886734,-1.54497170448303,0.632456243038178,0.585531949996948,-1.77684473991394,0.346336215734482,0.518372476100922,14_Jun_2023_08:30
3,125,1,1,94,7,367,1,63,312,12,88,1,47,5,192,11,13,4,0,45,0,37,127,34,279,15,154,348,-1.45721280574799,0.271852105855942,0.507776379585266,-1.80883800983429,0.207657739520073,0.395061254501343,-1.54535746574402,0.633154988288879,0.58884984254837,-1.77634918689728,0.347048550844192,0.518322706222534,14_Jun_2023_08:30
0,162,0,1,104,1,352,2,49,317,9,88,0,40,2,187,9,17,4,8,25,2,34,127,43,279,17,150,313,-1.43005549907684,0.295913368463516,0.538030862808228,-1.79995584487915,0.227502375841141,0.385014563798904,-1.55280947685242,0.639411807060242,0.643251419067383,-1.768434882164,0.356289952993393,0.520673453807831,14_Jun_2023_08:30
0,166,3,1,87,3,338,2,59,292,13,80,0,43,2,153,2,23,1,2,26,0,38,87,38,264,18,148,288,-1.4120557308197,0.318329781293869,0.562684178352356,-1.79871225357056,0.282476216554642,0.393881022930145,-1.54688930511475,0.647460162639618,0.696836888790131,-1.77201330661774,0.38222399353981,0.551353454589844,14_Jun_2023_08:30
1,177,2,1,82,3,279,3,46,269,4,81,1,46,1,144,5,16,11,3,43,1,40,80,43,251,21,146,317,-1.39322340488434,0.336109399795532,0.578253865242004,-1.78590381145477,0.360760152339935,0.407698303461075,-1.52218413352966,0.651113212108612,0.749289631843567,-1.76642286777496,0.422562718391418,0.581391990184784,14_Jun_2023_08:30
1,193,0,2,91,4,295,1,33,320,8,88,0,47,0,195,9,20,2,2,31,0,46,104,42,280,7,173,333,-1.34760367870331,0.345492988824844,0.598209619522095,-1.76969277858734,0.42584890127182,0.419199943542481,-1.48287510871887,0.648301541805267,0.788661420345306,-1.73856329917908,0.459118098020554,0.599048614501953,14_Jun_2023_08:30
1,193,2,0,134,3,366,0,21,329,14,89,1,22,1,199,9,31,1,1,20,1,32,97,23,273,1,188,275,-1.2866336107254,0.348271936178207,0.625134229660034,-1.74059975147247,0.480770856142044,0.431657701730728,-1.43513131141663,0.644434809684753,0.817074775695801,-1.69265043735504,0.492162853479385,0.611126780509949,14_Jun_2023_08:30
0,193,2,4,132,4,358,1,33,256,5,75,0,36,0,180,6,29,1,1,23,0,29,96,25,237,4,192,239,-1.25743746757507,0.356124699115753,0.644343495368958,-1.74425268173218,0.536004722118378,0.452850311994553,-1.41081714630127,0.647373735904694,0.841678738594055,-1.66941201686859,0.530163586139679,0.625629723072052,14_Jun_2023_08:30
1,178,0,2,0,3,366,71,25,267,4,73,0,37,4,131,1,72,1,7,20,0,27,79,28,211,3,186,235,-1.25265741348267,0.351312667131424,0.656275808811188,-1.77771508693695,0.572812080383301,0.482538819313049,-1.40554869174957,0.64853709936142,0.848652958869934,-1.67664277553558,0.556457996368408,0.641968250274658,14_Jun_2023_08:30
2,141,5,2,1,3,341,98,45,201,8,63,1,45,2,88,2,110,3,2,26,0,27,90,28,211,15,203,194,-1.25238120555878,0.351048707962036,0.660369098186493,-1.77757692337036,0.575742661952972,0.479519903659821,-1.40663373470306,0.647820830345154,0.853617191314697,-1.67109298706055,0.559981763362885,0.635948657989502,14_Jun_2023_08:30
1,91,1,1,110,1,320,92,13,213,3,70,0,49,0,92,0,91,1,5,40,0,30,90,38,204,20,260,232,-1.25890231132507,0.352253049612045,0.664704918861389,-1.71394455432892,0.561230897903442,0.429244935512543,-1.41273891925812,0.645386159420013,0.860604524612427,-1.64226520061493,0.549758195877075,0.604764521121979,14_Jun_2023_08:30
2,127,1,4,127,6,365,70,20,281,9,82,1,42,0,77,0,54,7,6,43,0,35,112,47,256,43,313,245,-1.26885771751404,0.353748261928558,0.666782557964325,-1.60792851448059,0.536376476287842,0.378469079732895,-1.42529332637787,0.643086552619934,0.863503694534302,-1.5951087474823,0.532449424266815,0.569150626659393,14_Jun_2023_08:31
1,168,1,1,1,16,419,203,24,310,35,84,0,47,1,85,2,78,7,25,49,0,37,109,55,280,29,349,247,-1.27388250827789,0.353700220584869,0.668884813785553,-1.4919695854187,0.514003932476044,0.356741458177567,-1.43965077400208,0.639964699745178,0.858142495155335,-1.5383312702179,0.517656266689301,0.541930496692658,14_Jun_2023_08:31
0,107,2,5,0,5,555,82,7,323,37,87,1,49,0,102,2,105,3,24,47,1,43,114,62,312,37,322,255,-1.27507638931274,0.35450866818428,0.667926847934723,-1.39048457145691,0.49171707034111,0.36976084113121,-1.45103013515472,0.636291861534119,0.853438854217529,-1.4881694316864,0.501226186752319,0.533958375453949,14_Jun_2023_08:31
0,113,1,19,1,6,636,97,27,358,40,94,1,52,1,114,3,168,4,15,61,0,37,97,51,245,29,275,250,-1.2742110490799,0.355443030595779,0.665172517299652,-1.32755625247955,0.458111375570297,0.401593416929245,-1.45723867416382,0.632079541683197,0.849100053310394,-1.45953392982483,0.475861370563507,0.53810715675354,14_Jun_2023_08:31
5,104,1,13,3,17,479,47,36,262,28,78,2,50,3,110,9,133,9,11,60,0,38,91,49,160,13,229,243,-1.27335619926453,0.355472564697266,0.664323091506958,-1.33447623252869,0.469897300004959,0.396260797977448,-1.45756220817566,0.631783008575439,0.848562180995941,-1.46450591087341,0.48309600353241,0.534684181213379,14_Jun_2023_08:31
1,108,1,1,101,9,288,42,34,225,8,72,0,56,0,96,3,54,9,6,63,1,39,82,52,139,11,194,253,-1.27496373653412,0.354654908180237,0.665298402309418,-1.39844584465027,0.490186452865601,0.371486395597458,-1.45309340953827,0.633693337440491,0.852963209152222,-1.49953305721283,0.499671936035156,0.532860159873962,14_Jun_2023_08:31
0,106,2,2,76,3,245,55,34,181,5,60,0,53,2,111,4,27,27,26,48,1,33,79,51,108,5,203,286,-1.27736783027649,0.353864878416061,0.664531290531158,-1.49805188179016,0.498943746089935,0.362772315740585,-1.44574987888336,0.634949624538422,0.859939277172089,-1.55411183834076,0.507083654403687,0.544599592685699,14_Jun_2023_08:31
1,102,0,2,96,2,245,42,38,164,7,57,1,51,3,107,1,27,0,3,50,1,35,76,28,119,9,203,294,-1.2814211845398,0.353737443685532,0.661493837833405,-1.60927772521973,0.527563273906708,0.384755223989487,-1.4379940032959,0.635706901550293,0.868075788021088,-1.61400985717773,0.524553000926971,0.574960827827454,14_Jun_2023_08:31
0,168,2,0,84,2,275,42,32,138,4,54,1,50,1,99,0,31,0,4,13,0,32,75,28,115,8,195,294,-1.28083980083466,0.353422671556473,0.657825827598572,-1.71518504619598,0.567746460437775,0.446023434400559,-1.43000555038452,0.639292240142822,0.871776580810547,-1.67389059066772,0.545569360256195,0.628924310207367,14_Jun_2023_08:31
3,133,1,2,100,6,271,21,26,129,14,57,0,49,2,102,2,21,0,1,16,0,34,69,28,127,2,164,331,-1.28388094902039,0.353107243776321,0.652800738811493,-1.79694712162018,0.608029425144196,0.526646375656128,-1.42145979404449,0.641909182071686,0.874697804450989,-1.70611798763275,0.567816913127899,0.687193691730499,14_Jun_2023_08:31
0,79,1,1,71,3,365,3,14,132,12,52,0,46,1,128,0,25,1,1,6,1,27,74,26,100,1,158,371,-1.28511786460876,0.352015882730484,0.647530376911163,-1.85097455978394,0.616430222988129,0.61488002538681,-1.41164147853851,0.645083487033844,0.871730089187622,-1.72046053409576,0.571734368801117,0.744837164878845,14_Jun_2023_08:31
0,61,1,1,54,3,386,0,6,141,3,56,1,48,3,158,1,22,1,11,8,0,26,75,18,80,1,142,402,-1.28490042686462,0.350851327180862,0.640733301639557,-1.88142561912537,0.615458786487579,0.709901809692383,-1.40619921684265,0.647374749183655,0.86520528793335,-1.72411406040192,0.56744110584259,0.802374303340912,14_Jun_2023_08:31
1,60,1,2,48,10,483,4,1,128,5,54,1,46,4,148,1,11,1,6,6,0,24,95,11,68,0,132,402,-1.28764939308167,0.350343078374863,0.634461581707001,-1.8951210975647,0.631488740444183,0.798422276973724,-1.40311527252197,0.648999691009522,0.859316885471344,-1.71884918212891,0.57984060049057,0.843426525592804,14_Jun_2023_08:31
2,54,1,2,54,9,461,2,4,116,8,58,0,48,3,135,3,7,2,1,3,0,23,101,11,79,2,130,410,-1.29358100891113,0.350355207920074,0.62871116399765,-1.89842760562897,0.627298593521118,0.866622626781464,-1.40141952037811,0.651202738285065,0.856882572174072,-1.71357178688049,0.586470365524292,0.869411885738373,14_Jun_2023_08:31
0,40,2,0,81,6,469,2,3,115,8,52,0,49,4,150,1,16,0,2,3,1,26,102,11,53,0,116,361,-1.29925835132599,0.350876241922379,0.623968064785004,-1.897381067276,0.609144866466522,0.897211134433746,-1.40158402919769,0.651125192642212,0.856649041175842,-1.71143817901611,0.576477646827698,0.886305153369904,14_Jun_2023_08:31
1,64,0,3,94,3,471,2,5,122,10,51,0,49,2,128,1,87,2,7,4,2,28,69,15,71,1,113,303,-1.30096304416657,0.351277381181717,0.623475313186646,-1.90076577663422,0.603289604187012,0.894971370697022,-1.40399122238159,0.649597227573395,0.857726752758026,-1.71454322338104,0.57284677028656,0.885613262653351,14_Jun_2023_08:31
