S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,3,1,1,1,1,2,4,6,1,0,25,2,41,3,2,6,2,0,1,4,2,1,12,29,2,0,4,5,-1.40370655059814,0.229150265455246,0.855339169502258,-1.66222786903381,0.10667759925127,1.07254362106323,-2.19193625450134,0.03302888199687,1.44722294807434,-1.51751911640167,0.2153400182724,1.09400379657745,14_Jun_2023_08_35
0,2,0,5,1,2,0,3,5,2,0,25,1,40,2,1,4,1,1,1,5,1,2,16,31,1,0,3,3,-1.40355432033539,0.226699665188789,0.851764261722565,-1.66818118095398,0.104887545108795,1.07014489173889,-2.19198966026306,0.032869305461645,1.44724214076996,-1.52940368652344,0.22414219379425,1.08317172527313,14_Jun_2023_08_35
2,2,0,0,0,0,1,4,7,2,0,25,1,40,1,0,5,2,0,0,4,1,1,17,29,1,0,4,4,-1.40654122829437,0.226972430944443,0.843842267990112,-1.67169606685638,0.10737382620573,1.06763672828674,-2.19195437431335,0.032840400934219,1.44718503952026,-1.53796482086182,0.232614099979401,1.07451605796814,14_Jun_2023_08_35
1,3,2,1,1,3,1,4,7,3,2,25,1,40,1,2,4,2,1,2,4,1,1,14,30,2,1,3,4,-1.41059935092926,0.227234020829201,0.830062806606293,-1.67804825305939,0.108700484037399,1.06320595741272,-2.1919641494751,0.032817117869854,1.44722211360931,-1.55287206172943,0.24202436208725,1.06073486804962,14_Jun_2023_08_35
0,2,3,1,1,3,1,5,6,3,1,25,2,39,2,0,3,4,0,4,4,1,5,17,32,5,1,4,3,-1.40587878227234,0.223574116826057,0.806858837604523,-1.6783607006073,0.109332181513309,1.05876302719116,-2.19193029403687,0.03278399258852,1.44722032546997,-1.55468428134918,0.243160501122475,1.0462898015976,14_Jun_2023_08_35
0,1,0,2,2,1,3,7,7,2,1,23,1,40,2,2,5,1,1,1,5,1,1,17,28,2,1,4,4,-1.39680314064026,0.2204709649086,0.779807031154633,-1.67892372608185,0.116233430802822,1.05151569843292,-2.19198274612427,0.032804824411869,1.44717907905579,-1.54891967773438,0.243279427289963,1.03065276145935,14_Jun_2023_08_35
2,2,1,2,0,2,0,5,6,1,0,26,0,42,2,1,5,1,0,2,7,1,1,13,28,5,3,3,3,-1.39137840270996,0.215952768921852,0.75804215669632,-1.67852973937988,0.110601104795933,1.04154801368713,-2.19196248054504,0.032770678400993,1.44716954231262,-1.55521774291992,0.238776445388794,1.01116251945496,14_Jun_2023_08_35
1,1,0,1,1,3,0,2,8,2,0,28,0,42,3,2,4,2,0,0,4,1,0,15,30,1,2,2,5,-1.39442241191864,0.215517103672028,0.743775606155396,-1.68082857131958,0.111168146133423,1.03943300247192,-2.19198870658875,0.032795708626509,1.44723355770111,-1.56400227546692,0.242708772420883,1.00336575508118,14_Jun_2023_08_35
3,4,0,1,0,2,2,7,6,2,2,25,0,40,3,2,7,3,0,1,6,1,1,14,30,2,0,3,4,-1.40075516700745,0.215627297759056,0.73307079076767,-1.68371617794037,0.112078614532948,1.03669250011444,-2.19194793701172,0.032705556601286,1.44719958305359,-1.5705748796463,0.244899436831474,0.998064875602722,14_Jun_2023_08_35
3,2,1,1,1,1,0,4,7,3,2,27,1,40,1,1,5,1,0,1,5,1,0,16,29,1,2,5,3,-1.40403318405151,0.21579572558403,0.72746992111206,-1.68531799316406,0.112812884151936,1.03372728824615,-2.1919641494751,0.032726809382439,1.44720578193665,-1.57424962520599,0.246512681245804,0.992774367332458,14_Jun_2023_08_35
0,3,0,1,2,3,1,3,6,4,1,27,2,41,4,2,4,2,0,2,4,1,1,16,32,2,0,3,4,-1.4048103094101,0.215732127428055,0.725938081741333,-1.68553924560547,0.112727954983711,1.03361797332764,-2.19198107719421,0.032702457159758,1.44721508026123,-1.57553434371948,0.246961370110512,0.991750121116638,14_Jun_2023_08_35
2,2,0,1,0,2,0,4,6,3,1,27,0,43,3,1,7,2,4,1,5,4,0,17,29,1,1,3,5,-1.40312707424164,0.214622005820274,0.724652826786041,-1.68525362014771,0.112607650458813,1.03356969356537,-2.19194674491882,0.032709997147322,1.44722986221313,-1.57475030422211,0.246248155832291,0.991839051246643,14_Jun_2023_08_35
0,2,3,2,0,3,1,3,6,3,0,26,0,40,1,2,5,1,2,1,3,1,2,17,28,3,0,2,2,-1.40043342113495,0.213826790452003,0.724036991596222,-1.68468880653381,0.112335950136185,1.03303289413452,-2.19197344779968,0.032720930874348,1.4472097158432,-1.5735582113266,0.245690777897835,0.991344690322876,14_Jun_2023_08_35
1,3,1,2,1,2,0,3,7,4,1,27,1,43,0,2,6,1,0,5,4,0,1,17,31,2,1,4,5,-1.39816558361053,0.213341787457466,0.722891926765442,-1.68451821804047,0.112844422459602,1.03386676311493,-2.19197702407837,0.032693345099688,1.44719576835632,-1.57126474380493,0.244465664029121,0.992171347141266,14_Jun_2023_08_35
1,2,1,0,0,3,1,2,6,2,0,27,0,43,1,2,5,1,4,1,5,1,0,16,30,1,1,5,4,-1.3954713344574,0.21240496635437,0.723011493682861,-1.683229804039,0.112111993134022,1.03441047668457,-2.1919538974762,0.032726675271988,1.44719707965851,-1.56838405132294,0.243002712726593,0.993439674377441,14_Jun_2023_08_35
0,2,2,1,1,2,1,3,5,2,0,27,0,44,2,2,6,3,0,2,4,0,0,14,29,2,0,3,7,-1.39209830760956,0.210325852036476,0.723066508769989,-1.68189740180969,0.111400812864304,1.03508317470551,-2.19195938110352,0.032694090157747,1.44718945026398,-1.5647873878479,0.241015315055847,0.995352506637573,14_Jun_2023_08_35
1,5,0,3,2,5,1,3,6,4,0,25,1,44,3,1,5,1,0,0,5,1,0,14,31,1,2,4,5,-1.38828933238983,0.208739697933197,0.722744822502136,-1.67957878112793,0.11078592389822,1.03484570980072,-2.19194483757019,0.032724853605032,1.44720375537872,-1.56040596961975,0.238865211606026,0.997087359428406,14_Jun_2023_08_35
