S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,18,1,3,57,3,245,1,54,98,28,46,0,54,2,95,1,31,1,49,24,0,31,114,31,134,19,247,252,-1.39047205448151,0.20392718911171,0.594203531742096,-1.73975491523743,0.117172740399838,0.337222546339035,-1.52795124053955,0.557581603527069,0.513616442680359,-1.73617124557495,0.271502256393433,0.430202066898346,14_Jun_2023_08:27
0,26,1,1,78,5,246,13,45,122,28,46,0,61,3,98,0,25,34,63,42,3,32,138,21,174,5,160,325,-1.39012110233307,0.204286888241768,0.594585776329041,-1.73917973041534,0.117469638586044,0.337343007326126,-1.52769649028778,0.557869672775269,0.514214098453522,-1.73586869239807,0.271927326917648,0.430365949869156,14_Jun_2023_08:27
0,40,1,2,109,0,262,4,47,200,25,60,1,49,1,182,2,18,13,9,149,0,28,205,29,230,4,141,421,-1.38552248477936,0.209015116095543,0.597971022129059,-1.73252654075623,0.122641213238239,0.338348686695099,-1.5251647233963,0.562309741973877,0.521090745925903,-1.732213139534,0.27801701426506,0.431864976882935,14_Jun_2023_08:27
2,52,1,2,135,5,295,0,43,257,13,74,2,47,1,268,1,13,3,0,18,2,25,205,21,261,7,133,425,-1.368412733078,0.231392368674278,0.606602787971497,-1.71900105476379,0.162599593400955,0.337639838457108,-1.51627433300018,0.585957944393158,0.554883480072022,-1.72377634048462,0.310543715953827,0.446358442306519,14_Jun_2023_08:27
0,52,0,1,140,5,317,2,30,352,11,87,1,49,1,293,2,14,3,6,24,1,54,190,19,273,0,124,453,-1.3447173833847,0.255666643381119,0.619301915168762,-1.69773423671722,0.215269148349762,0.354686707258224,-1.49597239494324,0.611743330955505,0.603424072265625,-1.70791447162628,0.347318083047867,0.479051738977432,14_Jun_2023_08:27
1,81,0,2,131,3,320,5,31,255,7,67,1,50,0,298,1,15,0,2,23,0,54,172,20,277,3,145,412,-1.31090688705444,0.28501558303833,0.636002779006958,-1.6880214214325,0.314730733633041,0.365553081035614,-1.46116161346436,0.63988447189331,0.67415589094162,-1.68799448013306,0.408488541841507,0.522317469120026,14_Jun_2023_08:27
3,63,2,2,136,7,327,5,12,207,17,62,1,23,0,250,2,13,2,0,12,1,49,162,10,256,1,214,398,-1.27447986602783,0.310288220643997,0.656829118728638,-1.68827378749847,0.444158583879471,0.385774433612823,-1.41970884799957,0.659507811069489,0.744936227798462,-1.66479539871216,0.485691010951996,0.562519192695618,14_Jun_2023_08:27
1,90,2,3,136,2,273,1,5,171,18,49,1,39,1,211,4,18,0,5,14,2,27,170,29,218,1,303,327,-1.23889517784119,0.328220427036285,0.681217014789581,-1.67687487602234,0.548909783363342,0.406879633665085,-1.38445544242859,0.667907059192658,0.807718515396118,-1.62454569339752,0.55293869972229,0.586456656455994,14_Jun_2023_08:27
0,95,0,1,1,3,219,2,11,112,1,49,0,40,1,151,0,5,1,16,35,1,27,164,36,224,7,292,207,-1.22230195999146,0.341373533010483,0.697216212749481,-1.6355174779892,0.584375441074371,0.412537157535553,-1.36717557907105,0.671375215053558,0.850907325744629,-1.58094668388367,0.580730557441711,0.594331085681915,14_Jun_2023_08:27
1,86,0,4,3,2,191,4,6,107,1,49,1,53,1,145,3,9,4,12,29,0,35,150,36,292,12,308,192,-1.23470091819763,0.346496969461441,0.695080697536469,-1.54080295562744,0.561135768890381,0.401792407035828,-1.37025618553162,0.66734778881073,0.873015999794006,-1.54718506336212,0.562721788883209,0.590701103210449,14_Jun_2023_08:27
0,119,0,1,1,1,281,1,21,171,11,58,2,55,1,167,1,12,9,24,42,1,36,134,30,290,21,374,214,-1.25140511989594,0.348955690860748,0.69171679019928,-1.42559957504272,0.516283273696899,0.413574248552322,-1.38128137588501,0.666184663772583,0.876714825630188,-1.50401902198792,0.528967201709747,0.582674086093903,14_Jun_2023_08:27
