time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
253.31,20.21,0.11,4.63,0.80,0.47,0.36,0.26,0.28,-0.45,0,0,0,0,536,308,642,623,0,701,417,0,394,472,1
253.41,255.96,-9.62,-16.83,0.95,0.51,0.33,0.26,0.34,-0.42,0,0,0,0,549,318,669,634,1,730,476,0,334,459,1
253.52,-0.46,-77.95,-104.82,0.47,-0.75,1.44,0.20,0.53,-0.34,0,0,1,0,554,358,665,633,0,725,483,0,252,432,1
253.63,-55.73,10.08,19.54,0.89,0.71,0.20,0.13,0.47,-0.44,0,0,0,0,553,335,657,629,1,722,485,0,264,439,1
253.73,-82.02,1.94,1.42,0.55,-0.01,0.49,0.14,0.43,-0.46,0,0,0,0,552,332,647,618,0,711,466,0,266,425,1
253.84,-8.71,20.22,4.81,0.63,0.16,0.54,0.14,0.40,-0.48,0,0,0,0,541,328,643,618,0,700,458,0,288,428,1
253.94,-119.22,39.11,-20.84,0.77,0.15,0.53,0.17,0.34,-0.48,0,0,0,0,534,310,645,621,0,698,452,0,352,433,1
254.05,15.31,2.00,-1.90,0.69,0.44,0.64,0.18,0.32,-0.48,0,0,0,0,534,322,647,622,0,692,431,0,374,431,1
254.15,27.03,8.03,-8.96,0.72,0.29,0.55,0.18,0.34,-0.48,0,0,0,0,537,322,638,615,0,684,403,0,380,431,1
254.26,19.70,5.94,-5.57,0.78,0.27,0.51,0.18,0.35,-0.47,0,0,0,0,538,325,635,615,0,675,408,0,385,437,1
254.37,17.91,-0.39,-4.60,0.78,0.22,0.53,0.18,0.37,-0.46,0,0,0,0,539,324,635,615,0,685,400,0,382,437,1
254.47,12.73,-3.53,-0.89,0.78,0.22,0.55,0.18,0.38,-0.46,0,0,0,0,540,325,636,615,0,684,395,0,371,430,1
254.58,7.70,-2.72,-0.87,0.75,0.24,0.56,0.17,0.38,-0.46,0,0,0,0,546,336,636,615,0,684,397,0,354,417,1
