time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
385.87,4.58,-0.20,1.72,0.60,-0.17,0.73,0.12,0.59,-0.32,0,0,0,0,562,437,660,635,0,694,420,0,337,376,1
385.97,1.67,1.45,0.25,0.61,-0.16,0.73,0.12,0.59,-0.32,0,0,0,0,561,436,660,635,0,694,420,0,339,378,1
386.08,2.85,1.28,0.93,0.61,-0.16,0.73,0.12,0.59,-0.32,0,0,0,0,561,434,660,636,0,694,421,0,341,378,1
386.18,3.26,0.35,1.10,0.61,-0.17,0.73,0.11,0.59,-0.31,0,0,0,0,562,437,660,636,0,695,422,0,344,377,1
386.29,3.20,0.81,0.84,0.61,-0.17,0.73,0.12,0.59,-0.32,0,0,0,0,561,442,660,635,0,694,424,0,345,382,1
386.39,3.54,1.12,1.08,0.61,-0.17,0.73,0.12,0.59,-0.32,0,0,0,0,562,437,660,636,0,694,427,0,349,380,1
386.50,3.39,0.15,1.18,0.61,-0.17,0.72,0.11,0.59,-0.32,0,0,0,0,562,438,661,635,0,695,428,0,352,378,1
386.61,5.14,-1.76,0.94,0.61,-0.16,0.73,0.12,0.59,-0.31,0,0,0,0,562,439,660,636,0,695,424,0,345,377,1
386.71,7.33,-3.61,1.24,0.60,-0.17,0.74,0.12,0.59,-0.31,0,0,0,0,563,441,660,636,0,694,421,0,340,375,1
386.82,3.85,-1.05,1.46,0.61,-0.17,0.71,0.11,0.59,-0.31,0,0,0,0,562,444,660,634,0,695,419,0,339,375,1
386.92,-2.03,3.46,-0.44,0.61,-0.18,0.75,0.11,0.60,-0.32,0,0,0,0,562,445,660,635,0,694,420,0,342,375,1
387.03,-5.01,4.52,-0.21,0.62,-0.19,0.75,0.11,0.59,-0.32,0,0,0,0,562,447,660,635,0,695,420,0,352,377,1
387.13,-4.87,8.09,-13.55,0.63,-0.35,0.87,0.11,0.60,-0.32,0,0,0,0,561,440,670,642,0,724,458,0,353,405,1
387.24,-45.05,-10.39,-12.97,0.68,-0.25,0.92,0.10,0.59,-0.33,0,0,0,0,563,460,671,643,0,744,482,0,377,429,1
387.34,-95.58,-25.04,-26.17,0.58,-0.13,0.87,0.07,0.54,-0.40,0,0,0,0,564,449,669,643,0,738,474,0,330,420,1
387.45,-110.12,-69.16,-44.81,0.55,0.02,0.83,0.01,0.46,-0.47,0,0,0,0,564,453,666,638,0,725,438,0,279,399,1
387.55,-65.07,-68.13,-49.54,0.50,0.17,0.74,-0.06,0.38,-0.49,0,0,0,0,565,467,657,623,0,722,414,0,291,415,1
387.66,112.60,-75.71,-36.08,0.35,0.30,0.72,-0.14,0.39,-0.47,0,0,0,0,566,480,650,612,0,729,408,0,287,416,1
387.77,52.98,-47.35,-9.38,0.25,-0.03,1.05,-0.19,0.45,-0.42,0,0,0,0,566,502,653,614,0,744,407,0,248,346,1
387.87,-71.51,-25.66,18.12,0.08,0.27,0.89,-0.22,0.43,-0.41,0,0,0,0,569,528,655,615,0,752,404,98,227,306,1
387.98,-75.89,-23.28,55.62,0.16,0.32,1.31,-0.22,0.40,-0.43,0,0,0,0,572,537,650,608,0,752,394,93,245,334,1
388.08,-149.08,-13.43,74.21,-0.08,0.40,0.81,-0.21,0.34,-0.45,0,0,0,0,573,479,645,610,0,743,376,0,227,238,1
388.19,-136.83,6.21,83.03,-0.14,0.30,0.86,-0.20,0.27,-0.47,0,0,0,0,570,342,632,608,0,720,374,0,253,188,1
388.29,-286.72,-23.58,39.00,-0.33,0.41,0.14,-0.20,0.10,-0.45,0,0,0,0,570,306,623,605,0,688,389,33,301,208,1
388.40,-31.53,120.07,36.15,-0.04,1.38,-0.32,-0.17,-0.08,-0.35,0,0,0,0,571,282,630,608,0,675,394,0,382,213,1
388.51,44.19,98.67,69.90,-0.17,1.07,0.08,-0.12,-0.06,-0.38,0,0,0,0,566,267,639,619,0,672,399,0,469,219,1
388.61,70.66,111.58,55.87,-0.25,0.92,0.25,-0.10,-0.02,-0.44,0,0,0,0,565,279,643,622,0,670,400,0,509,312,1
388.72,23.51,54.03,36.28,-0.32,0.33,0.70,-0.05,0.03,-0.46,0,0,0,0,567,305,642,619,0,674,384,0,486,466,1
388.82,0.11,-14.79,-12.02,-0.41,0.52,0.49,-0.05,0.02,-0.44,0,0,0,0,575,331,656,611,0,666,369,0,436,465,1
388.93,-19.79,3.24,-17.12,-0.39,0.91,0.30,-0.06,0.00,-0.44,0,0,0,0,577,335,665,610,0,664,358,0,449,468,1
389.03,2.93,7.02,-8.10,-0.35,0.84,0.34,-0.05,-0.00,-0.43,0,0,0,0,585,342,675,618,0,661,350,0,462,475,1
389.14,-3.07,-5.77,-9.31,-0.38,0.86,0.24,-0.04,-0.02,-0.42,0,0,0,0,590,350,686,630,0,663,345,0,466,479,1
389.24,8.37,10.26,-15.23,-0.33,0.82,0.30,-0.03,-0.02,-0.42,0,0,0,0,593,355,690,647,0,666,324,0,416,450,1
389.35,13.06,-9.41,-12.85,-0.30,0.97,0.31,-0.02,-0.01,-0.43,0,0,0,0,592,354,674,641,0,666,329,0,461,452,1
389.46,11.08,-4.02,-1.59,-0.31,0.94,0.42,-0.02,-0.00,-0.43,0,0,0,0,587,350,671,642,0,669,326,0,470,444,1
389.56,6.76,2.26,8.75,-0.30,0.86,0.39,-0.03,-0.01,-0.44,0,0,0,0,586,348,668,642,0,667,321,0,463,450,1
389.67,-1.09,-4.41,2.23,-0.31,0.84,0.34,-0.03,-0.00,-0.43,0,0,0,0,585,347,667,641,0,664,314,0,446,446,1
389.77,-21.34,-10.40,-14.31,-0.26,0.80,0.30,-0.03,-0.02,-0.43,0,0,0,0,583,346,667,641,0,662,285,0,398,258,1
389.88,9.27,-7.01,-3.84,-0.31,1.01,0.24,-0.04,-0.02,-0.43,0,0,0,0,584,349,668,642,0,665,288,0,414,261,1
389.98,8.78,-1.01,6.26,-0.31,0.97,0.24,-0.03,-0.02,-0.44,0,0,0,0,584,349,669,642,0,667,292,0,426,273,1
390.09,18.77,-3.22,11.30,-0.33,0.92,0.23,-0.04,-0.01,-0.43,0,0,0,0,585,347,666,645,0,666,295,0,398,276,1
390.20,-0.04,1.72,7.31,-0.30,0.83,0.32,-0.04,-0.01,-0.43,0,0,0,0,586,349,665,645,0,663,293,0,369,271,1
390.30,-0.88,3.53,1.89,-0.35,0.89,0.30,-0.04,-0.01,-0.43,0,0,0,1,585,349,665,645,0,665,291,0,355,263,1
390.41,0.94,-4.67,2.20,-0.35,0.89,0.33,-0.04,-0.01,-0.43,0,0,0,0,585,348,664,642,0,664,292,0,364,273,1
390.51,4.97,5.23,4.13,-0.35,0.88,0.30,-0.05,-0.01,-0.44,0,0,0,0,583,347,663,641,0,667,291,0,355,271,1
390.62,3.89,-4.09,3.33,-0.34,0.84,0.36,-0.05,-0.00,-0.43,0,1,0,0,582,346,662,640,0,666,294,0,359,281,1
390.72,-3.44,-4.07,1.53,-0.34,0.90,0.29,-0.05,-0.01,-0.43,0,0,0,0,584,345,662,638,0,666,295,0,364,286,1
