S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M2x,M2y,M2z,M1x,M1y,M1z,M4x,M4y,M4z,M3x,M3y,M3z,sesion_time_stamp
2,9,5,13,15,0,0,0,9,2,20,1,0,7,3,10,4,6,8,22,26,5,30,6,0,23,1,1.48867869377136,0.635667443275452,0.893183469772339,1.58652234077454,0.410157769918442,0.689459681510925,1.31096839904785,0.15295098721981,0.734724521636963,1.32304215431213,0.285898000001907,0.874558508396149,11_Sep_2023_14_20
4,7,7,14,16,12,3,1,12,3,20,3,1,10,0,10,0,9,4,26,24,3,34,6,2,23,1,1.48867869377136,0.635667443275452,0.893183469772339,1.58652234077454,0.410157769918442,0.689459681510925,1.31096839904785,0.15295098721981,0.734724521636963,1.32304215431213,0.285898000001907,0.874558508396149,11_Sep_2023_14_20
2,11,7,13,10,0,1,0,11,3,20,3,14,0,4,11,1,9,6,21,22,4,31,6,0,25,0,1.48869645595551,0.635632395744324,0.893146336078644,1.58652019500732,0.410167843103409,0.689471125602722,1.31092643737793,0.152966007590294,0.734796106815338,1.32304894924164,0.285909503698349,0.874570548534393,11_Sep_2023_14_20
1,8,7,10,15,0,3,0,12,0,21,6,12,6,3,11,0,7,7,24,20,4,28,8,1,22,0,1.48871672153473,0.63563084602356,0.893200635910034,1.58651602268219,0.41018408536911,0.689480900764465,1.31089019775391,0.152968063950539,0.734800577163696,1.3230584859848,0.285906404256821,0.874585151672363,11_Sep_2023_14_20
5,11,4,15,13,0,1,6,7,0,21,8,0,2,3,9,1,6,5,22,19,5,31,8,0,26,0,1.48871672153473,0.63563084602356,0.893200635910034,1.58651602268219,0.41018408536911,0.689480900764465,1.31089019775391,0.152968063950539,0.734800577163696,1.3230584859848,0.285906404256821,0.874585151672363,11_Sep_2023_14_20
3,4,7,10,13,0,3,8,9,0,20,3,1,4,1,9,2,10,8,20,22,5,29,2,0,29,1,1.4887353181839,0.635632753372192,0.893252313137054,1.586510181427,0.410203605890274,0.689482927322388,1.31091165542603,0.153003051877022,0.734722793102264,1.32306408882141,0.285920143127441,0.874597787857056,11_Sep_2023_14_20
4,6,10,10,9,4,1,0,9,2,22,1,0,7,0,8,5,7,5,22,18,4,29,9,1,24,9,1.4887353181839,0.635632753372192,0.893252313137054,1.586510181427,0.410203605890274,0.689482927322388,1.31091165542603,0.153003051877022,0.734722793102264,1.32306408882141,0.285920143127441,0.874597787857056,11_Sep_2023_14_20
4,9,7,8,13,2,8,1,8,1,19,2,1,6,2,7,0,11,3,23,16,3,24,7,0,25,1,1.48873734474182,0.635636866092682,0.893279135227203,1.58650422096252,0.410224348306656,0.689502477645874,1.3108993768692,0.153053626418114,0.734802186489105,1.32305335998535,0.285930216312408,0.874612212181091,11_Sep_2023_14_20
1,7,2,12,14,7,7,0,6,0,23,0,1,5,0,6,1,7,6,22,19,0,24,7,0,27,0,1.48873734474182,0.635636866092682,0.893279135227203,1.58650422096252,0.410224348306656,0.689502477645874,1.3108993768692,0.153053626418114,0.734802186489105,1.32305335998535,0.285930216312408,0.874612212181091,11_Sep_2023_14_20
5,7,3,12,14,0,4,0,6,1,18,4,2,6,1,5,1,6,5,23,15,5,26,7,1,20,1,1.48874223232269,0.635642170906067,0.893309772014618,1.58650434017181,0.410238564014435,0.689508020877838,1.31096243858337,0.15310226380825,0.734765529632568,1.32304620742798,0.285933703184128,0.874624490737915,11_Sep_2023_14_20
3,10,7,11,10,0,4,1,7,0,19,1,0,6,1,7,1,5,5,17,17,3,26,7,1,23,0,1.48874223232269,0.635642170906067,0.893309772014618,1.58650434017181,0.410238564014435,0.689508020877838,1.31096243858337,0.15310226380825,0.734765529632568,1.32304620742798,0.285933703184128,0.874624490737915,11_Sep_2023_14_20
3,8,6,12,11,2,4,0,7,5,20,3,0,5,6,7,0,10,8,18,17,4,27,7,1,21,0,1.48871445655823,0.635626494884491,0.893250286579132,1.58651030063629,0.41024461388588,0.689519464969635,1.31102800369263,0.153143003582954,0.734822809696198,1.3230459690094,0.285948038101196,0.874648451805115,11_Sep_2023_14_20
1,10,4,13,16,0,4,0,9,4,19,2,1,3,7,7,1,10,5,21,16,6,28,9,1,24,1,1.48871445655823,0.635626494884491,0.893250286579132,1.58651030063629,0.41024461388588,0.689519464969635,1.31102800369263,0.153143003582954,0.734822809696198,1.3230459690094,0.285948038101196,0.874648451805115,11_Sep_2023_14_20
3,7,7,8,13,0,3,0,6,1,15,1,1,5,0,7,3,9,9,21,18,2,30,11,4,25,1,1.48873269557953,0.635659039020538,0.893396615982056,1.58651423454285,0.410251349210739,0.689556360244751,1.31095242500305,0.153160184621811,0.734842598438263,1.32304418087006,0.28596106171608,0.874663770198822,11_Sep_2023_14_20
0,4,7,13,14,1,3,0,3,5,17,2,0,4,4,9,1,7,6,20,17,2,30,7,0,25,1,1.48873269557953,0.635659039020538,0.893396615982056,1.58651423454285,0.410251349210739,0.689556360244751,1.31095242500305,0.153160184621811,0.734842598438263,1.32304418087006,0.28596106171608,0.874663770198822,11_Sep_2023_14_20
4,9,7,12,22,0,4,0,7,1,17,0,0,7,5,8,0,10,6,18,19,3,29,4,0,22,3,1.48872423171997,0.635641038417816,0.893329441547394,1.58651828765869,0.410257518291473,0.689556658267975,1.31088757514954,0.153151318430901,0.734820485115051,1.32303667068481,0.285949230194092,0.874673962593079,11_Sep_2023_14_20
4,8,10,13,16,3,3,1,7,3,17,3,2,3,0,2,1,11,6,18,18,1,27,5,0,25,1,1.48872423171997,0.635641038417816,0.893329441547394,1.58651828765869,0.410257518291473,0.689556658267975,1.31088757514954,0.153151318430901,0.734820485115051,1.32303667068481,0.285949230194092,0.874673962593079,11_Sep_2023_14_20
