S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M2x,M2y,M2z,M1x,M1y,M1z,M4x,M4y,M4z,M3x,M3y,M3z,sesion_time_stamp
4,0,8,11,5,0,4,2,8,2,53,11,1,0,12,12,16,18,0,18,5,2,50,17,0,70,1,1.56150341,0.66799587,0.777251005,1.666418672,0.41871205,0.592367411,1.146129012,0.817081392,0.700754881,1.251545429,0.672790289,0.746451318,11_Sep_2023_13_59
5,0,4,9,5,1,2,0,14,0,55,0,0,0,6,1,10,22,0,19,4,2,46,20,1,66,8,1.561801434,0.668171406,0.777401865,1.666233897,0.418817133,0.592203319,1.147344112,0.818937004,0.700815618,1.252236009,0.674309015,0.746676326,11_Sep_2023_13_59
0,0,6,5,1,0,5,0,6,2,52,1,2,1,6,0,13,17,0,24,8,0,48,21,0,69,0,1.562140346,0.668323874,0.777717292,1.666091442,0.418918997,0.59206754,1.148177505,0.820275307,0.700789392,1.252749324,0.675226212,0.746693134,11_Sep_2023_13_59
3,0,4,10,7,0,2,1,6,0,52,1,1,0,7,0,11,17,0,25,4,2,46,25,0,71,1,1.562254071,0.668248594,0.777885735,1.665933013,0.419010282,0.591953874,1.14933598,0.821716368,0.700108349,1.253155112,0.67630446,0.74666816,11_Sep_2023_13_59
0,1,7,11,5,0,2,1,8,14,54,0,3,1,0,1,11,19,0,24,4,1,45,20,10,74,1,1.562486768,0.668284655,0.778072596,1.665734053,0.419084877,0.591832936,1.150523901,0.822947621,0.698841751,1.25374496,0.677144051,0.746582448,11_Sep_2023_13_59
3,0,14,0,4,0,3,15,5,1,55,1,0,0,4,1,12,17,0,24,12,1,42,21,2,71,1,1.562635541,0.668366253,0.778173566,1.665523052,0.41911754,0.591838717,1.151320457,0.823585093,0.697786212,1.253987312,0.677529335,0.746506512,11_Sep_2023_13_59
6,3,8,6,4,0,2,0,7,0,50,1,1,1,8,3,10,18,0,24,2,1,44,19,1,74,0,1.562825322,0.668340802,0.778199792,1.665272474,0.419246137,0.591590226,1.152085304,0.823845148,0.696373701,1.254123211,0.677622318,0.746308565,11_Sep_2023_13_59
2,5,6,7,5,0,0,0,13,0,57,0,1,1,8,0,8,18,0,26,8,3,42,18,12,75,1,1.562958598,0.668245137,0.778340876,1.665047526,0.419268698,0.591570735,1.152445197,0.823529243,0.695129752,1.254051924,0.67727679,0.745991766,11_Sep_2023_13_59
5,0,0,4,5,0,11,0,8,0,58,1,2,4,7,0,14,18,0,26,4,0,45,19,14,76,0,1.563047409,0.668123066,0.778540075,1.66489327,0.419281483,0.591327429,1.152573228,0.822680116,0.693763196,1.253829718,0.676625252,0.745535135,11_Sep_2023_13_59
2,0,7,5,5,0,3,0,7,0,58,1,3,0,15,2,9,17,1,23,4,2,45,17,0,72,1,1.563081145,0.667916477,0.778575718,1.664805055,0.419312298,0.591297746,1.152538776,0.821800649,0.692480922,1.253615499,0.675899267,0.745117605,11_Sep_2023_13_59
3,4,7,6,1,0,2,0,14,0,59,1,1,2,8,0,11,18,0,23,3,1,44,18,0,78,0,1.563080072,0.667702436,0.778669775,1.664811969,0.419402719,0.591059923,1.15245235,0.820320547,0.69032675,1.253285527,0.674717426,0.744429648,11_Sep_2023_13_59
3,0,7,10,3,0,1,1,8,0,59,1,0,0,10,3,8,17,0,31,5,1,45,16,0,76,5,1.563068748,0.66754669,0.778721571,1.664656997,0.419265091,0.591149569,1.152265906,0.818511069,0.68769908,1.252841711,0.673280895,0.743625283,11_Sep_2023_13_59
3,0,5,5,3,2,4,4,7,0,63,0,1,0,11,0,9,17,14,30,1,1,43,19,0,80,0,1.563006639,0.667464316,0.778773606,1.664486289,0.419217795,0.59140259,1.151991725,0.816904724,0.68562001,1.252465725,0.672036707,0.742910802,11_Sep_2023_13_59
3,2,6,5,3,0,2,0,7,0,54,0,8,4,11,0,7,17,14,29,3,5,43,15,2,71,0,1.562921166,0.667165577,0.778812706,1.664502621,0.419369936,0.591429651,1.151373029,0.814389706,0.682704449,1.251829982,0.670189202,0.741825998,11_Sep_2023_13_59
2,1,6,6,7,0,2,0,15,2,62,1,1,0,8,1,8,15,0,29,8,10,40,17,0,71,0,1.562807441,0.666841507,0.778713524,1.664552093,0.419359803,0.591191471,1.150540829,0.81140697,0.679685354,1.251331687,0.668224216,0.740634799,11_Sep_2023_13_59
3,1,7,0,4,0,2,0,10,1,61,1,2,0,8,3,10,15,0,31,7,0,45,16,1,75,0,1.562720895,0.66664952,0.778577805,1.664571762,0.419388235,0.59119153,1.149835825,0.808988392,0.677320302,1.25079298,0.666576505,0.739675581,11_Sep_2023_13_59
1,1,7,1,2,0,2,0,11,0,60,2,0,1,11,0,8,15,1,31,3,2,41,14,0,74,2,1.562494636,0.666372836,0.77884227,1.664635897,0.41940254,0.591243327,1.148843765,0.805393696,0.673729837,1.250119448,0.664148986,0.738292992,11_Sep_2023_13_59
4,1,6,6,5,1,5,0,6,0,62,1,2,1,7,0,13,14,0,31,6,3,46,16,0,68,3,1.562388182,0.665982425,0.778831661,1.66461587,0.419317812,0.591334879,1.147629976,0.801486135,0.669811964,1.249297142,0.661495328,0.736890554,11_Sep_2023_13_59
4,1,5,10,7,1,3,1,5,0,63,3,0,0,9,0,13,12,5,28,5,2,46,17,0,67,3,1.562210917,0.665745735,0.778688252,1.664703488,0.419383377,0.591244996,1.146564126,0.798285723,0.666819453,1.248630643,0.659378946,0.735743225,11_Sep_2023_13_59
