S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,
11.00,8.00,5.00,0.00,13.00,0.00,4.00,0.00,2.00,8.00,38.00,16.00,0.00,2.00,14.00,4.00,7.00,3.00,9.00,5.00,18.00,1.00,72.00,52.00,3.00,23.00,3.00,1.00,21.00,1.00,2.00,1.00,1.5543040037155151,0.6120434999465942,0.8487247824668884,1.6658827066421509,0.3877604901790619,0.6235987544059753,1.3976460695266724,0.12893858551979065,0.6307244896888733,1.394521713256836,0.26637691259384155,0.7828637957572937,11_Sep_2023_14_40
11.00,1.00,4.00,4.00,12.00,2.00,0.00,12.00,0.00,4.00,30.00,11.00,0.00,2.00,19.00,4.00,5.00,0.00,9.00,5.00,16.00,1.00,66.00,50.00,6.00,21.00,3.00,7.00,17.00,0.00,1.00,0.00,1.5543040037155151,0.6120434999465942,0.8487247824668884,1.6658827066421509,0.3877604901790619,0.6235987544059753,1.3976460695266724,0.12893858551979065,0.6307244896888733,1.394521713256836,0.26637691259384155,0.7828637957572937,11_Sep_2023_14_40
11.00,0.00,8.00,5.00,11.00,0.00,1.00,2.00,3.00,5.00,37.00,14.00,3.00,2.00,13.00,4.00,5.00,1.00,7.00,5.00,23.00,1.00,65.00,53.00,0.00,22.00,0.00,8.00,20.00,0.00,1.00,0.00,1.5543080568313599,0.6120256185531616,0.8486783504486084,1.66591477394104,0.38782253861427307,0.6235437393188477,1.397681474685669,0.12880748510360718,0.6306660771369934,1.3945143222808838,0.26641085743904114,0.7828623056411743,11_Sep_2023_14_40
11.00,0.00,8.00,3.00,13.00,0.00,5.00,1.00,0.00,6.00,29.00,12.00,0.00,0.00,13.00,6.00,6.00,0.00,3.00,6.00,20.00,1.00,57.00,52.00,2.00,18.00,2.00,7.00,19.00,0.00,1.00,1.00,1.5543080568313599,0.6120256185531616,0.8486783504486084,1.66591477394104,0.38782253861427307,0.6235437393188477,1.397681474685669,0.12880748510360718,0.6306660771369934,1.3945143222808838,0.26641085743904114,0.7828623056411743,11_Sep_2023_14_40
17.00,0.00,9.00,3.00,11.00,0.00,3.00,0.00,3.00,6.00,26.00,11.00,2.00,0.00,15.00,5.00,6.00,0.00,6.00,10.00,18.00,0.00,39.00,50.00,3.00,19.00,2.00,0.00,17.00,1.00,2.00,0.00,1.5543230772018433,0.6120245456695557,0.8486528992652893,1.6659458875656128,0.38782966136932373,0.6235147714614868,1.3976761102676392,0.1288343071937561,0.6306846737861633,1.394504427909851,0.26643407344818115,0.7828665971755981,11_Sep_2023_14_40
13.00,0.00,6.00,2.00,18.00,0.00,1.00,0.00,4.00,3.00,24.00,10.00,0.00,2.00,15.00,5.00,6.00,1.00,10.00,9.00,18.00,1.00,39.00,50.00,3.00,22.00,0.00,6.00,15.00,1.00,2.00,0.00,1.5543230772018433,0.6120245456695557,0.8486528992652893,1.6659458875656128,0.38782966136932373,0.6235147714614868,1.3976761102676392,0.1288343071937561,0.6306846737861633,1.394504427909851,0.26643407344818115,0.7828665971755981,11_Sep_2023_14_40
13.00,1.00,9.00,2.00,13.00,0.00,0.00,0.00,3.00,4.00,25.00,12.00,0.00,0.00,11.00,0.00,7.00,0.00,3.00,8.00,18.00,0.00,37.00,48.00,3.00,20.00,2.00,0.00,16.00,0.00,2.00,0.00,1.5543230772018433,0.6120245456695557,0.8486528992652893,1.6659458875656128,0.38782966136932373,0.6235147714614868,1.3976761102676392,0.1288343071937561,0.6306846737861633,1.394504427909851,0.26643407344818115,0.7828665971755981,11_Sep_2023_14_40
12.00,0.00,2.00,4.00,10.00,0.00,1.00,0.00,5.00,3.00,22.00,12.00,3.00,1.00,16.00,1.00,6.00,1.00,4.00,9.00,15.00,0.00,36.00,52.00,2.00,21.00,0.00,5.00,16.00,0.00,1.00,2.00,1.5543230772018433,0.6120245456695557,0.8486528992652893,1.6659458875656128,0.38782966136932373,0.6235147714614868,1.3976761102676392,0.1288343071937561,0.6306846737861633,1.394504427909851,0.26643407344818115,0.7828665971755981,11_Sep_2023_14_40
11.00,11.00,3.00,3.00,9.00,0.00,10.00,0.00,3.00,4.00,26.00,11.00,10.00,0.00,14.00,1.00,8.00,0.00,6.00,4.00,15.00,0.00,37.00,53.00,3.00,20.00,2.00,0.00,15.00,1.00,1.00,1.00,1.5543122291564941,0.6120128035545349,0.8486270904541016,1.6659797430038452,0.3878297805786133,0.6234975457191467,1.3976248502731323,0.1289166957139969,0.630772590637207,1.3944861888885498,0.2664591073989868,0.782874345779419,11_Sep_2023_14_40
12.00,1.00,7.00,3.00,11.00,11.00,1.00,4.00,3.00,8.00,25.00,9.00,0.00,0.00,13.00,1.00,15.00,1.00,6.00,6.00,13.00,1.00,34.00,52.00,9.00,22.00,1.00,4.00,16.00,8.00,2.00,0.00,1.5543104410171509,0.612006425857544,0.8485476970672607,1.6660315990447998,0.3878301978111267,0.6234819889068604,1.3970288038253784,0.12879569828510284,0.6310461759567261,1.394456148147583,0.26652705669403076,0.7829077839851379,11_Sep_2023_14_40
