S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MCx,MCy,MCz,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,sesion_time_stamp
35,54,18,1,14,0,3,9,5,0,1,6,1,2,0,3,2,13,11,11,32,65,7,28,6,8,6,0,0.08992593735456467,-0.16723132133483887,0.12285476177930832,-0.1732957810163498,-0.32648319005966187,0.5639025568962097,0.011890255846083164,-0.44825881719589233,0.31106191873550415,-0.08035928010940552,-0.1403556764125824,0.22271570563316345,29_Jan_2024_11_11
36,53,18,1,14,1,3,0,5,0,3,2,0,2,0,0,5,14,12,17,34,71,7,30,5,5,7,0,0.08992593735456467,-0.16723132133483887,0.12285476177930832,-0.1732957810163498,-0.32648319005966187,0.5639025568962097,0.011890255846083164,-0.44825881719589233,0.31106191873550415,-0.08035928010940552,-0.1403556764125824,0.22271570563316345,29_Jan_2024_11_11
37,56,20,1,12,0,2,0,3,1,2,1,1,2,1,0,3,13,13,15,33,70,7,26,12,5,8,0,0.08991730958223343,-0.16722823679447174,0.12285418063402176,-0.1733292043209076,-0.3264792561531067,0.5638979077339172,0.011864667758345604,-0.448260098695755,0.3110576868057251,-0.08036982268095016,-0.14036394655704498,0.2227015495300293,29_Jan_2024_11_11
30,53,19,0,14,0,9,0,4,0,0,1,0,8,0,14,3,10,10,13,30,67,7,29,6,6,7,0,0.08991105854511261,-0.16722925007343292,0.12285313010215759,-0.17336146533489227,-0.3264748156070709,0.5638905763626099,0.011840352788567543,-0.4482613205909729,0.3110518157482147,-0.0803818479180336,-0.14036495983600616,0.22269189357757568,29_Jan_2024_11_11
33,54,18,1,14,0,3,0,6,1,2,5,1,1,0,0,1,11,12,17,33,70,4,30,5,5,7,0,0.08991105854511261,-0.16722925007343292,0.12285313010215759,-0.17336146533489227,-0.3264748156070709,0.5638905763626099,0.011840352788567543,-0.4482613205909729,0.3110518157482147,-0.0803818479180336,-0.14036495983600616,0.22269189357757568,29_Jan_2024_11_11
34,54,18,0,12,0,3,0,3,1,4,6,4,1,3,0,8,10,8,11,36,70,8,28,4,3,8,0,0.0899057611823082,-0.16723181307315826,0.12284792959690094,-0.17338967323303223,-0.3264663517475128,0.5638799071311951,0.011816835962235928,-0.4482625722885132,0.31104516983032227,-0.08039450645446777,-0.14036642014980316,0.2226831018924713,29_Jan_2024_11_11
33,54,18,1,13,0,4,1,7,1,1,1,0,0,1,0,8,10,13,16,33,69,10,30,5,5,7,1,0.0899057611823082,-0.16723181307315826,0.12284792959690094,-0.17338967323303223,-0.3264663517475128,0.5638799071311951,0.011816835962235928,-0.4482625722885132,0.31104516983032227,-0.08039450645446777,-0.14036642014980316,0.2226831018924713,29_Jan_2024_11_11
33,55,18,0,9,2,9,0,12,1,3,2,0,0,0,0,3,13,9,11,36,70,8,26,4,0,9,1,0.08990037441253662,-0.1672283262014389,0.12284670770168304,-0.17341828346252441,-0.3264569044113159,0.5638650059700012,0.011793801560997963,-0.44826382398605347,0.3110387623310089,-0.08040834218263626,-0.14036747813224792,0.22267483174800873,29_Jan_2024_11_11
31,59,18,0,15,0,1,0,3,1,1,2,0,0,0,0,5,12,12,14,34,69,5,26,6,5,7,0,0.08990037441253662,-0.1672283262014389,0.12284670770168304,-0.17341828346252441,-0.3264569044113159,0.5638650059700012,0.011793801560997963,-0.44826382398605347,0.3110387623310089,-0.08040834218263626,-0.14036747813224792,0.22267483174800873,29_Jan_2024_11_11
33,55,21,1,14,0,1,1,3,1,3,1,1,0,0,0,0,7,10,14,38,72,7,25,3,6,8,3,0.08989600092172623,-0.16722695529460907,0.122846819460392,-0.17344911396503448,-0.32645419239997864,0.5638554096221924,0.01177053153514862,-0.4482678472995758,0.31103387475013733,-0.08042357116937637,-0.14036406576633453,0.22266452014446259,29_Jan_2024_11_11
