S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MCx,MCy,MCz,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,sesion_time_stamp
23,57,6,0,8,2,2,0,9,4,1,11,5,2,2,0,9,13,38,3,15,36,7,19,22,0,1,0,0.07695092260837555,-0.1718384325504303,0.12677933275699615,-0.1869410127401352,-0.3316764831542969,0.5764045119285583,0.010259146802127361,-0.4572490453720093,0.3081071376800537,-0.09031271934509277,-0.1433344930410385,0.241771399974823,29_Jan_2024_11_15
24,61,13,0,11,1,2,0,9,0,0,2,2,1,6,4,6,17,34,5,17,40,7,20,24,0,1,0,0.07695092260837555,-0.1718384325504303,0.12677933275699615,-0.1869410127401352,-0.3316764831542969,0.5764045119285583,0.010259146802127361,-0.4572490453720093,0.3081071376800537,-0.09031271934509277,-0.1433344930410385,0.241771399974823,29_Jan_2024_11_15
25,61,12,0,10,9,4,0,7,0,0,2,1,3,3,0,6,16,34,5,16,39,8,22,26,0,4,0,0.07694163173437119,-0.1718141734600067,0.12678834795951843,-0.18697461485862732,-0.3316652476787567,0.5763941407203674,0.010241817682981491,-0.45724377036094666,0.30811169743537903,-0.09032042324542999,-0.14333683252334595,0.24176770448684692,29_Jan_2024_11_15
22,59,12,0,9,0,1,0,10,5,4,2,1,11,1,1,6,13,39,8,13,39,8,25,22,0,0,1,0.07694163173437119,-0.1718141734600067,0.12678834795951843,-0.18697461485862732,-0.3316652476787567,0.5763941407203674,0.010241817682981491,-0.45724377036094666,0.30811169743537903,-0.09032042324542999,-0.14333683252334595,0.24176770448684692,29_Jan_2024_11_15
23,62,13,14,5,0,1,1,11,4,5,3,1,9,0,0,8,18,32,6,16,43,6,18,24,0,5,0,0.07694163173437119,-0.1718141734600067,0.12678834795951843,-0.18697461485862732,-0.3316652476787567,0.5763941407203674,0.010241817682981491,-0.45724377036094666,0.30811169743537903,-0.09032042324542999,-0.14333683252334595,0.24176770448684692,29_Jan_2024_11_15
24,62,13,0,9,1,3,0,10,5,1,1,2,1,1,0,8,15,36,3,17,44,8,21,25,0,1,1,0.07694163173437119,-0.1718141734600067,0.12678834795951843,-0.18697461485862732,-0.3316652476787567,0.5763941407203674,0.010241817682981491,-0.45724377036094666,0.30811169743537903,-0.09032042324542999,-0.14333683252334595,0.24176770448684692,29_Jan_2024_11_15
24,58,19,1,9,7,0,0,6,2,3,2,2,8,4,1,6,13,37,7,15,36,8,25,23,0,0,2,0.07694163173437119,-0.1718141734600067,0.12678834795951843,-0.18697461485862732,-0.3316652476787567,0.5763941407203674,0.010241817682981491,-0.45724377036094666,0.30811169743537903,-0.09032042324542999,-0.14333683252334595,0.24176770448684692,29_Jan_2024_11_15
25,62,15,0,11,0,3,0,9,1,0,0,0,0,2,0,7,16,35,6,17,41,10,21,21,0,1,3,0.0769440233707428,-0.17181508243083954,0.1267932802438736,-0.18700723350048065,-0.3316538631916046,0.5763832330703735,0.010224609635770321,-0.45723843574523926,0.30811670422554016,-0.09032826870679855,-0.14333994686603546,0.24176481366157532,29_Jan_2024_11_15
23,61,13,0,8,0,6,0,9,4,1,3,1,2,1,0,12,13,35,6,19,42,8,24,23,0,0,2,0.0769440233707428,-0.17181508243083954,0.1267932802438736,-0.18700723350048065,-0.3316538631916046,0.5763832330703735,0.010224609635770321,-0.45723843574523926,0.30811670422554016,-0.09032826870679855,-0.14333994686603546,0.24176481366157532,29_Jan_2024_11_15
21,58,12,0,5,0,2,0,9,6,1,2,3,5,4,0,14,14,38,5,17,36,8,23,23,0,1,0,0.0769440233707428,-0.17181508243083954,0.1267932802438736,-0.18700723350048065,-0.3316538631916046,0.5763832330703735,0.010224609635770321,-0.45723843574523926,0.30811670422554016,-0.09032826870679855,-0.14333994686603546,0.24176481366157532,29_Jan_2024_11_15
25,60,15,0,10,1,4,0,7,2,2,3,5,7,4,1,12,19,35,4,20,34,6,22,26,2,0,4,0.07693720608949661,-0.1718151569366455,0.1267954707145691,-0.18703898787498474,-0.3316423296928406,0.5763732194900513,0.010207869112491608,-0.4572337567806244,0.30811893939971924,-0.09033679962158203,-0.14334331452846527,0.24176180362701416,29_Jan_2024_11_15
25,59,13,0,11,2,4,1,10,4,1,3,3,0,2,1,10,19,36,5,17,33,5,22,25,1,0,0,0.07693720608949661,-0.1718151569366455,0.1267954707145691,-0.18703898787498474,-0.3316423296928406,0.5763732194900513,0.010207869112491608,-0.4572337567806244,0.30811893939971924,-0.09033679962158203,-0.14334331452846527,0.24176180362701416,29_Jan_2024_11_15
