S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MCx,MCy,MCz,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,sesion_time_stamp
52,10,15,0,6,0,0,0,3,1,12,9,0,9,1,0,2,10,3,11,40,107,2,44,0,7,13,0,0.002670740243047476,0.0034125298261642456,0.28765231370925903,-0.23197710514068604,-0.3253905177116394,0.5674735307693481,-0.031785015016794205,-0.4642430543899536,0.3136718273162842,-0.18461649119853973,-0.04639033228158951,0.3297354578971863,29_Jan_2024_11_07
48,11,15,0,5,0,0,1,0,1,13,3,1,5,3,0,4,11,5,14,47,114,2,47,1,5,9,0,0.003912837244570255,0.005423680413514376,0.2900313436985016,-0.23216785490512848,-0.3254495859146118,0.5674983263015747,-0.03183543682098389,-0.46423596143722534,0.313740611076355,-0.1835974156856537,-0.045340120792388916,0.3312559425830841,29_Jan_2024_11_07
55,11,15,0,5,0,9,0,3,8,14,4,14,1,8,0,8,16,5,13,41,111,3,45,1,2,14,0,0.0058881500735878944,0.008377691730856895,0.29354140162467957,-0.2324703186750412,-0.3255513608455658,0.5675290822982788,-0.03190267086029053,-0.46422845125198364,0.313850998878479,-0.18201585114002228,-0.04371936246752739,0.33356577157974243,29_Jan_2024_11_07
56,9,16,1,6,0,1,0,4,1,8,11,1,2,6,0,6,16,0,9,44,109,3,48,2,2,11,0,0.007912459783256054,0.011275193654000759,0.2971417009830475,-0.23273444175720215,-0.32572293281555176,0.5675721168518066,-0.03196576237678528,-0.4642094075679779,0.3139588236808777,-0.18033874034881592,-0.04212615638971329,0.3359030485153198,29_Jan_2024_11_07
55,10,14,0,7,5,0,0,0,2,13,4,0,2,11,0,4,14,3,10,42,113,2,46,0,1,17,0,0.009286959655582905,0.01326731126755476,0.29958635568618774,-0.2329140603542328,-0.32584264874458313,0.5675932168960571,-0.031998418271541595,-0.46419382095336914,0.31403911113739014,-0.17916589975357056,-0.04108137637376785,0.3375034034252167,29_Jan_2024_11_07
60,10,16,0,12,4,2,2,5,1,13,4,0,10,11,1,7,12,4,13,47,118,3,50,1,2,14,0,0.011117379181087017,0.016850333660840988,0.3033699095249176,-0.23318995535373688,-0.32603201270103455,0.5676274299621582,-0.032024383544921875,-0.46415549516677856,0.31417712569236755,-0.1772918552160263,-0.03954135254025459,0.3399280607700348,29_Jan_2024_11_07
62,7,16,0,5,0,1,1,3,0,15,9,0,4,4,0,5,11,4,13,48,123,3,50,8,4,11,0,0.012418724596500397,0.019221508875489235,0.30603501200675964,-0.23336561024188995,-0.326177716255188,0.5676533579826355,-0.032044827938079834,-0.46412232518196106,0.3142677843570709,-0.1759965419769287,-0.03852011263370514,0.34154048562049866,29_Jan_2024_11_07
64,12,15,0,9,0,0,0,6,1,14,7,1,4,0,0,4,10,4,11,48,123,3,49,0,0,12,0,0.014196892268955708,0.023074669763445854,0.31017133593559265,-0.2336592972278595,-0.3263455033302307,0.5676873922348022,-0.032084956765174866,-0.4640502631664276,0.31440824270248413,-0.17397508025169373,-0.0370061881840229,0.3439757525920868,29_Jan_2024_11_07
69,13,15,0,4,0,0,0,0,0,19,3,0,1,9,1,4,10,3,12,48,128,4,48,1,3,15,0,0.0159967839717865,0.026854556053876877,0.31435638666152954,-0.233988419175148,-0.32645151019096375,0.5677288174629211,-0.03215978294610977,-0.4639630615711212,0.3145093023777008,-0.17190514504909515,-0.035557832568883896,0.3463905155658722,29_Jan_2024_11_07
65,15,17,0,5,6,0,1,6,1,14,5,0,4,6,0,3,13,5,14,51,128,4,51,1,2,14,1,0.017165375873446465,0.029191112145781517,0.3171297013759613,-0.23418238759040833,-0.3265489935874939,0.5677609443664551,-0.03222028911113739,-0.4638993740081787,0.31456470489501953,-0.17048101127147675,-0.03463922068476677,0.347983717918396,29_Jan_2024_11_07
68,7,16,1,3,0,6,0,1,1,15,3,4,6,6,7,5,13,2,10,47,132,3,54,1,2,15,1,0.019044198095798492,0.032353390008211136,0.3213280439376831,-0.23446592688560486,-0.32670554518699646,0.5678150653839111,-0.03229983150959015,-0.4638102650642395,0.3146587312221527,-0.1683228313922882,-0.03331294283270836,0.3503575921058655,29_Jan_2024_11_07
68,15,20,0,5,1,3,0,3,0,17,6,0,5,12,0,7,14,7,13,49,141,7,52,1,2,11,15,0.020419301465153694,0.0341932512819767,0.3240547776222229,-0.23464882373809814,-0.32682377099990845,0.5678688287734985,-0.03235265985131264,-0.46375465393066406,0.3147215247154236,-0.1668521910905838,-0.03248371183872223,0.35192936658859253,29_Jan_2024_11_07
72,12,15,0,6,0,0,0,1,0,14,6,0,9,8,0,3,13,5,13,53,138,6,53,1,2,18,0,0.02260526269674301,0.03657377511262894,0.3281266987323761,-0.23491312563419342,-0.3269686698913574,0.567942202091217,-0.0324321947991848,-0.4636724293231964,0.314809113740921,-0.1646096557378769,-0.03133264556527138,0.3543021082878113,29_Jan_2024_11_07
78,15,15,1,5,2,1,0,3,1,10,0,2,4,11,0,6,12,5,14,58,137,4,56,3,3,12,0,0.02481633424758911,0.03894326463341713,0.3322197496891022,-0.2351531982421875,-0.32711556553840637,0.5680137872695923,-0.03250265121459961,-0.4635941684246063,0.314898818731308,-0.16237731277942657,-0.03025555983185768,0.3566710352897644,29_Jan_2024_11_07
73,11,13,0,7,1,2,1,1,1,17,3,0,2,5,0,5,10,3,10,51,140,6,58,1,4,7,2,0.02623184770345688,0.04040283337235451,0.3349345326423645,-0.23528523743152618,-0.3271665871143341,0.5680455565452576,-0.032549262046813965,-0.46355295181274414,0.31495755910873413,-0.16089987754821777,-0.029586993157863617,0.358246773481369,29_Jan_2024_11_07
74,16,13,0,5,1,1,1,1,5,18,5,13,4,5,0,7,12,4,13,54,139,7,56,1,3,9,0,0.028493203222751617,0.04260929301381111,0.3391444981098175,-0.23548229038715363,-0.327229768037796,0.5680944919586182,-0.032619453966617584,-0.46350690722465515,0.3150516450405121,-0.15869443118572235,-0.02864796295762062,0.3606071472167969,29_Jan_2024_11_07
