time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
377.81,-0.83,-3.39,-3.67,0.67,-0.07,0.71,0.13,0.55,-0.35,0,0,0,0,1,0,582,480,172,179,0
377.91,-1.49,-4.45,1.04,0.67,-0.06,0.68,0.12,0.54,-0.35,0,0,0,0,0,0,582,481,171,179,0
378.02,14.61,-1.50,10.81,0.65,-0.06,0.67,0.12,0.54,-0.36,0,1,0,0,0,0,582,478,169,179,0
378.12,16.12,3.61,11.44,0.61,-0.09,0.78,0.13,0.55,-0.35,0,0,0,0,0,0,584,478,169,179,0
378.23,-6.92,4.98,3.88,0.61,-0.08,0.70,0.14,0.55,-0.34,0,0,0,0,0,0,583,477,168,179,0
378.33,-16.35,-0.11,0.25,0.69,-0.04,0.66,0.14,0.54,-0.35,0,0,0,0,0,0,582,477,165,179,0
378.44,12.99,0.60,4.32,0.62,-0.03,0.75,0.15,0.54,-0.36,0,0,0,0,0,0,580,476,157,179,0
378.55,12.23,-3.26,5.33,0.66,-0.03,0.66,0.14,0.54,-0.35,0,0,0,0,0,0,581,473,152,178,0
378.65,6.96,3.75,0.09,0.64,-0.06,0.74,0.14,0.54,-0.35,0,0,1,0,0,0,581,474,151,178,0
378.76,1.26,4.19,-2.20,0.64,-0.10,0.72,0.14,0.54,-0.34,0,0,0,0,0,0,572,467,144,178,0
378.86,5.22,3.83,-3.29,0.65,-0.07,0.72,0.15,0.54,-0.34,0,0,0,0,0,0,574,466,144,177,0
378.97,-0.03,-3.05,-2.64,0.68,-0.06,0.63,0.14,0.54,-0.34,0,0,0,0,0,0,581,469,146,178,0
379.07,12.27,-6.64,-2.83,0.67,-0.10,0.75,0.14,0.55,-0.34,0,0,0,0,0,0,580,468,145,177,0
379.18,-3.26,7.57,-6.60,0.60,-0.10,0.82,0.13,0.55,-0.34,0,0,0,0,1,0,581,489,171,178,0
379.28,-16.53,5.40,-4.72,0.67,-0.09,0.65,0.13,0.55,-0.34,0,0,0,0,0,0,581,489,172,179,0
379.39,2.67,-0.11,0.32,0.69,-0.09,0.71,0.14,0.55,-0.35,0,0,0,0,0,0,582,502,181,178,0
379.49,2.94,-0.52,3.49,0.67,-0.08,0.72,0.13,0.54,-0.34,0,0,0,0,0,0,583,506,185,180,0
379.60,5.47,-1.53,4.47,0.66,-0.10,0.72,0.14,0.54,-0.34,0,0,0,0,0,0,582,507,184,180,0
379.71,2.98,-0.56,2.82,0.66,-0.08,0.70,0.13,0.55,-0.34,0,0,0,0,0,0,583,529,186,180,0
379.81,5.09,-1.36,2.66,0.66,-0.07,0.67,0.13,0.55,-0.34,0,0,0,0,0,0,583,530,187,179,0
379.92,3.29,-0.15,2.74,0.65,-0.07,0.72,0.13,0.55,-0.35,0,0,0,0,0,0,583,531,187,180,0
380.02,2.35,0.65,3.46,0.66,-0.08,0.70,0.13,0.55,-0.35,0,0,1,0,0,0,582,530,187,180,0
380.13,4.93,-1.42,3.75,0.65,-0.07,0.69,0.13,0.55,-0.34,0,1,0,0,0,0,581,527,185,181,0
380.23,6.34,-3.80,3.86,0.67,-0.08,0.68,0.13,0.55,-0.34,0,0,0,0,0,0,560,501,172,180,0
380.34,12.61,-6.43,3.96,0.64,-0.09,0.71,0.14,0.55,-0.35,0,0,0,0,0,0,549,495,160,181,0
380.45,15.91,-4.88,4.29,0.64,-0.09,0.71,0.13,0.55,-0.34,0,0,0,0,0,0,551,489,150,180,0
380.55,5.62,2.49,3.20,0.61,-0.11,0.73,0.14,0.56,-0.34,0,0,0,0,0,0,555,489,146,180,0
380.66,-6.15,4.56,1.82,0.63,-0.09,0.71,0.14,0.55,-0.33,0,0,0,0,0,0,556,492,148,180,0
380.76,4.31,-1.93,6.62,0.68,-0.09,0.67,0.14,0.55,-0.34,0,1,0,0,0,0,552,487,150,180,0
380.87,7.96,-1.73,5.57,0.62,-0.07,0.75,0.14,0.55,-0.34,0,0,0,0,0,0,550,476,139,179,0
380.97,-0.86,1.25,-1.05,0.64,-0.07,0.72,0.14,0.55,-0.34,0,0,0,0,0,0,550,475,140,180,0
381.08,-1.86,0.49,-1.20,0.65,-0.07,0.71,0.14,0.55,-0.34,0,0,0,0,0,0,549,476,145,180,0
381.18,7.54,-2.63,2.35,0.64,-0.07,0.70,0.14,0.54,-0.34,0,0,0,0,0,0,551,477,147,180,0
381.29,4.49,-1.45,0.19,0.64,-0.06,0.70,0.14,0.55,-0.34,0,0,0,0,0,0,554,479,150,179,0
381.39,8.29,-1.94,2.13,0.62,-0.08,0.71,0.14,0.55,-0.34,0,0,1,0,0,0,551,479,151,180,0
381.50,3.39,-0.87,0.28,0.63,-0.07,0.74,0.14,0.55,-0.34,0,0,0,0,0,0,551,478,150,180,0
381.61,3.82,0.50,-0.22,0.62,-0.07,0.73,0.13,0.55,-0.34,0,0,0,0,0,0,557,478,151,180,0
381.71,1.70,1.32,0.67,0.64,-0.09,0.73,0.14,0.55,-0.35,0,0,0,0,0,0,557,479,151,180,0
