time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,F1,F2,F3,F4,B1,B2,S1,S2,S3,S4,class
433.32,2.84,0.34,1.04,0.61,-0.00,0.75,0.13,0.52,-0.36,0,0,0,0,0,0,541,457,167,174,1
433.43,3.35,0.25,1.75,0.60,-0.02,0.74,0.13,0.52,-0.36,0,1,0,0,0,0,541,459,168,174,1
433.53,3.81,-0.14,1.17,0.61,-0.01,0.75,0.13,0.53,-0.36,0,0,0,0,0,0,542,458,168,174,1
433.64,4.27,0.00,1.66,0.60,-0.00,0.74,0.13,0.52,-0.36,0,0,0,0,0,0,541,458,169,174,1
433.74,4.04,-0.40,1.69,0.60,-0.00,0.75,0.13,0.53,-0.36,0,0,0,0,0,0,541,458,167,174,1
433.85,3.58,0.58,0.80,0.60,-0.00,0.75,0.13,0.53,-0.37,0,0,0,0,0,0,541,459,168,174,1
433.95,3.63,0.34,1.18,0.60,-0.00,0.75,0.13,0.52,-0.36,0,0,0,0,0,0,541,459,169,175,1
434.06,3.30,0.49,1.42,0.60,-0.02,0.75,0.13,0.53,-0.36,0,0,0,0,0,0,540,458,169,174,1
434.17,4.05,0.29,1.24,0.60,-0.01,0.73,0.13,0.53,-0.37,0,0,0,0,0,0,543,458,168,174,1
434.27,3.88,0.10,1.49,0.61,-0.02,0.76,0.13,0.53,-0.36,0,0,0,0,0,0,551,459,168,174,1
434.38,2.63,0.74,0.67,0.60,-0.00,0.75,0.13,0.52,-0.36,0,0,0,0,0,0,552,459,171,174,1
434.48,4.44,-0.08,1.22,0.60,-0.00,0.74,0.14,0.52,-0.37,0,0,0,0,0,0,555,461,174,174,1
434.59,3.59,0.02,0.83,0.61,-0.00,0.74,0.13,0.52,-0.37,0,0,0,0,0,0,557,461,178,174,1
434.69,4.15,0.09,1.25,0.61,-0.02,0.74,0.13,0.52,-0.36,0,0,0,0,0,0,560,463,181,174,1
434.80,6.00,-1.00,1.98,0.60,-0.02,0.75,0.14,0.53,-0.36,0,0,0,0,0,0,573,465,181,174,1
434.90,0.05,3.92,-1.34,0.59,0.00,0.74,0.13,0.53,-0.36,0,0,0,0,0,0,582,470,187,174,1
435.01,-0.43,4.10,0.43,0.63,-0.01,0.72,0.13,0.52,-0.37,0,0,0,0,0,0,593,476,193,175,1
435.11,1.37,4.70,1.99,0.62,-0.00,0.73,0.13,0.52,-0.37,0,0,0,0,0,0,596,481,196,175,1
435.22,40.07,-0.46,-15.28,0.67,-0.11,0.98,0.14,0.52,-0.37,0,0,0,0,0,0,609,481,198,175,1
435.33,-54.60,-74.01,-41.90,0.70,-0.05,1.09,0.10,0.58,-0.33,0,0,0,0,0,0,627,474,222,176,1
435.43,-8.91,-128.53,-57.96,0.36,0.02,0.81,-0.01,0.56,-0.37,0,1,0,0,0,0,618,427,218,176,1
435.54,46.59,-158.46,-33.35,0.18,-0.16,1.12,-0.13,0.57,-0.35,0,0,0,0,0,0,618,378,226,176,1
435.64,-155.27,-159.76,-11.25,0.12,0.39,0.73,-0.22,0.56,-0.32,0,0,0,0,0,0,626,408,305,181,1
435.75,-285.29,-27.81,63.57,-0.04,0.36,0.62,-0.24,0.55,-0.30,0,0,0,0,0,0,658,413,353,222,1
435.85,30.84,-3.61,112.70,-0.32,-0.08,0.75,-0.19,0.54,-0.35,0,0,0,0,0,0,723,423,363,247,1
435.96,-42.44,12.85,105.11,-0.33,-0.17,0.93,-0.09,0.55,-0.36,0,0,0,0,0,0,748,481,408,260,1
436.07,-158.57,-35.80,55.90,-0.33,-0.12,0.71,-0.04,0.50,-0.40,0,0,0,0,0,0,738,484,390,264,1
436.17,-72.14,38.26,47.04,-0.16,-0.06,0.94,-0.01,0.40,-0.47,0,0,0,0,0,0,700,477,332,260,1
436.28,-126.56,5.25,0.70,-0.33,0.37,0.73,-0.00,0.32,-0.49,0,0,0,0,0,0,673,477,338,264,1
436.38,-26.37,-33.42,-18.34,-0.41,0.52,0.60,-0.02,0.25,-0.49,0,0,0,0,0,0,572,452,325,265,1
436.49,-23.39,-14.74,-15.19,-0.44,0.42,0.67,-0.04,0.24,-0.49,0,0,0,0,0,0,496,421,309,263,1
436.59,-22.74,-0.99,-3.68,-0.39,0.57,0.73,-0.04,0.21,-0.49,0,0,0,0,0,0,494,412,298,264,1
436.70,25.63,-1.96,-2.84,-0.42,0.60,0.56,-0.04,0.21,-0.50,0,0,0,0,0,0,494,385,291,262,1
436.80,-3.80,-1.44,-9.36,-0.45,0.66,0.65,-0.04,0.22,-0.49,0,0,0,0,0,1,501,381,299,259,1
436.91,-0.46,4.46,8.81,-0.41,0.61,0.70,-0.04,0.22,-0.50,0,0,0,0,0,0,506,379,310,259,1
437.02,-4.03,-1.58,5.83,-0.42,0.49,0.70,-0.04,0.22,-0.49,0,0,0,0,0,0,505,375,301,257,1
437.12,1.94,2.62,4.90,-0.44,0.53,0.69,-0.04,0.21,-0.50,0,0,0,0,0,0,506,373,303,257,1
437.23,8.94,2.57,5.19,-0.45,0.58,0.64,-0.04,0.21,-0.49,0,0,0,0,0,0,509,375,307,257,1
437.33,5.95,1.16,4.99,-0.42,0.55,0.69,-0.04,0.22,-0.50,0,0,0,0,0,0,532,376,310,258,1
437.44,-7.83,5.06,3.33,-0.44,0.56,0.68,-0.03,0.21,-0.49,0,0,0,0,0,0,536,384,329,258,1
437.54,3.18,-2.00,1.33,-0.37,0.58,0.54,-0.04,0.20,-0.50,0,0,0,0,0,0,582,421,347,259,1
437.65,-35.83,18.44,17.28,-0.41,0.64,0.69,-0.02,0.19,-0.50,0,0,0,0,0,1,617,461,353,259,1
437.75,6.38,5.58,17.89,-0.41,0.50,0.74,-0.01,0.18,-0.49,0,0,0,0,0,0,623,450,343,259,1
